DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
5C, E, D, 11           1   67.12   67.51   49.62
2SX, N, D, 9           1  100.00   83.90   66.10
2SX, S, C, 8           1   95.89   95.89   50.00
3C, E, D, 11           1   21.23   21.23   50.00
3D, S, C, 9            2   91.10   89.43   51.67
3DX, N, D, 9           1   95.89   95.89   50.00
3DX, S, C, 9           3   95.89   91.21   54.68
3H, E, C, 10           1   25.34   30.14   45.21
3H, E, C, 11           4   32.19   30.14   52.05
3H, E, D, 10           1   25.34   30.14   45.21
3H, E, D, 11           1   32.19   30.14   52.05
3NT, E, D, 11          1   95.89   70.21   75.68
3NT, E, D, 9           3   61.64   70.21   41.44
3NT, W, D, 10          1   89.73   57.83   81.89
3NT, W, D, 8           5   15.07   57.83    7.24
3NT, W, D, 9          29   61.64   57.83   53.81
3NTX, W, D, 9          1   98.63   87.50   61.13
3SX, N, D, 7           1    2.74   50.69    2.05
4C, E, D, 11           2   21.23   21.23   50.00
4C, W, D, 11           1   21.23   21.23   50.00
4CX, W, D, 11          1  100.00  100.00   50.00
4D, S, C, 8            1   67.81   78.87   38.94
4H, E, C, 11           1   93.15   91.51   51.64
4H, E, D, 10           1   87.67   91.51   46.16
4H, E, D, 11           1   93.15   91.51   51.64
4H, W, D, 11           1   93.15   93.15   50.00
4NT, W, D, 10          1   89.73   20.28  119.44
4NTX, W, D, 9          1   10.96   17.44   43.52
5C, E, D, 11           2   61.64   61.64   50.00
5C, W, D, 11           2   61.64   61.64   50.00
5C, W, S, 11           1   61.64   61.64   50.00

DEFENDER, Board 18|18

Contract           Count Overall     Bid    Lead Restdef
2NT, W, H, 10          1   72.60   78.59   44.01   50.00
2SX, N, D, 9           1    0.00   16.10   50.00   33.90
2SX, S, C, 8           1    4.11    4.11   50.00   50.00
3C, E, D, 11           1   78.77   78.77   50.00   50.00
3D, S, C, 9            2    8.90   10.57   50.00   48.33
3DX, N, D, 9           1    4.11    4.11   50.00   50.00
3DX, S, C, 9           3    4.11    8.79   50.00   45.32
3H, E, C, 10           1   74.66   69.86   49.09   55.71
3H, E, C, 11           4   67.81   69.86   49.09   48.86
3H, E, D, 10           1   74.66   69.86   51.37   53.42
3H, E, D, 11           1   67.81   69.86   51.37   46.58
3NT, E, D, 11          1    4.11   29.79   50.00   24.32
3NT, E, D, 9           3   38.36   29.79   50.00   58.56
3NT, W, D, 10          1   10.27   42.17   50.84   17.27
3NT, W, D, 8           5   84.93   42.17   50.84   91.93
3NT, W, D, 9          29   38.36   42.17   50.84   45.35
3NTX, W, D, 9          1    1.37   12.50   50.33   38.54
3SX, N, D, 7           1   97.26   49.31   50.00   97.95
4C, E, D, 11           2   78.77   78.77   50.00   50.00
4C, W, D, 11           1   78.77   78.77   50.00   50.00
4CX, W, D, 11          1    0.00    0.00   50.00   50.00
4D, S, C, 8            1   32.19   21.13   50.00   61.06
4H, E, C, 11           1    6.85    8.49   49.27   49.09
4H, E, D, 10           1   12.33    8.49   51.10   52.74
4H, E, D, 11           1    6.85    8.49   51.10   47.26
4H, W, D, 11           1    6.85    6.85   50.00   50.00
4NT, W, D, 10          1   10.27   79.72   51.83  -21.27
4NTX, W, D, 9          1   89.04   82.56   52.17   54.31
5C, E, D, 11           2   38.36   38.36   50.00   50.00
5C, W, D, 11           2   38.36   38.36   50.00   50.00
5C, W, S, 11           1   38.36   38.36   50.00   50.00

DECLARER, Board 19|1

Contract           Count Overall     Bid    Play
1NT, N, C, 7           1    0.00    1.27   48.73
2HX, E, S, 6           1   98.63   98.63   50.00
3NT, N, C, 10          3   25.34   30.35   44.99
3NT, N, C, 9           6    7.53   30.35   27.18
3NT, N, H, 11          2   67.81   30.35   87.46
3NT, N, S, 11          3   67.81   30.35   87.46
3NT, S, H, 10         14   25.34   56.37   18.97
3NT, S, H, 11         36   67.81   56.37   61.44
3NT, S, H, 12          2   99.32   56.37   92.95
3NT, S, H, 9           2    7.53   56.37    1.17
3NT, S, S, 11          3   67.81   56.37   61.44
4NT, N, D, 10          1   25.34   27.53   47.82

DEFENDER, Board 19|1

Contract           Count Overall     Bid    Lead Restdef
1NT, N, C, 7           1  100.00   98.73   50.05   51.22
2HX, E, S, 6           1    1.37    1.37   50.00   50.00
3NT, N, C, 10          3   74.66   69.65   68.23   36.78
3NT, N, C, 9           6   92.47   69.65   68.23   54.59
3NT, N, H, 11          2   32.19   69.65   12.54   50.00
3NT, N, S, 11          3   32.19   69.65   12.54   50.00
3NT, S, H, 10         14   74.66   43.63   50.64   80.39
3NT, S, H, 11         36   32.19   43.63   50.64   37.92
3NT, S, H, 12          2    0.68   43.63   50.64    6.42
3NT, S, H, 9           2   92.47   43.63   50.64   98.20
3NT, S, S, 11          3   32.19   43.63   38.56   50.00
4NT, N, D, 10          1   74.66   72.47   52.18   50.00

DECLARER, Board 19|2

Contract           Count Overall     Bid    Play
4S, E, C, 10           1    0.00   48.87    1.13
4S, E, C, 11           1   46.58   48.87   47.71
4S, E, C, 12           2   96.58   48.87   97.71
4S, E, D, 11           9   46.58   48.87   47.71
4S, E, H, 11          43   46.58   48.87   47.71
4S, E, H, 12           2   96.58   48.87   97.71
4S, E, S, 11           1   46.58   48.87   47.71
4S, W, C, 11           2   46.58   60.86   35.71
4S, W, C, 12           2   96.58   60.86   85.71
4S, W, D, 11           1   46.58   60.86   35.71
4S, W, H, 11           1   46.58   60.86   35.71
5S, E, C, 11           1   46.58   48.87   47.71
5S, E, D, 11           2   46.58   48.87   47.71
5S, E, H, 11           5   46.58   48.87   47.71
5S, W, D, 11           1   46.58   60.86   35.71

DEFENDER, Board 19|2

Contract           Count Overall     Bid    Lead Restdef
4S, E, C, 10           1  100.00   51.13   41.60  107.26
4S, E, C, 11           1   53.42   51.13   41.60   60.68
4S, E, C, 12           2    3.42   51.13   41.60   10.68
4S, E, D, 11           9   53.42   51.13   52.29   50.00
4S, E, H, 11          43   53.42   51.13   50.29   52.00
4S, E, H, 12           2    3.42   51.13   50.29    2.00
4S, E, S, 11           1   53.42   51.13   52.29   50.00
4S, W, C, 11           2   53.42   39.14   39.29   75.00
4S, W, C, 12           2    3.42   39.14   39.29   25.00
4S, W, D, 11           1   53.42   39.14   64.29   50.00
4S, W, H, 11           1   53.42   39.14   64.29   50.00
5S, E, C, 11           1   53.42   51.13   41.60   60.68
5S, E, D, 11           2   53.42   51.13   52.29   50.00
5S, E, H, 11           5   53.42   51.13   50.29   52.00
5S, W, D, 11           1   53.42   39.14   64.29   50.00

DECLARER, Board 1|1

Contract           Count Overall     Bid    Play
1NT, E, S, 7           4   10.27   51.12    9.15
1NT, E, S, 8          14   52.05   51.12   50.93
1NT, E, S, 9           2   83.56   51.12   82.44
1NT, W, D, 8           1   52.05   63.87   38.18
1NT, W, S, 8           1   52.05   63.87   38.18
2NT, E, D, 8           1   52.05   50.72   51.33
2NT, E, S, 8          17   52.05   50.72   51.33
2NT, E, S, 9           1   83.56   50.72   82.84
2NT, W, H, 9           2   83.56   63.87   69.69
2NT, W, S, 8           3   52.05   63.87   38.18
2S, S, C, 8            1   96.58   92.67   53.90
2S, S, H, 8            1   96.58   92.67   53.90
2SX, S, C, 7           1   83.56   77.31   56.25
2SX, S, C, 8           1   99.32   77.31   72.00
2SX, S, D, 8           1   99.32   77.31   72.00
2SX, S, H, 7           1   83.56   77.31   56.25
2SX, S, S, 6           2    8.22   77.31  -19.09
3C, E, H, 9            1   23.29   41.78   31.51
3C, E, S, 10           2   78.77   41.78   86.99
3C, E, S, 9            3   23.29   41.78   31.51
3C, W, S, 9            1   23.29   23.29   50.00
3D, E, S, 8            1    6.16    6.16   50.00
3NT, E, D, 10          1   98.63   15.01  133.62
3NT, E, S, 8           1    6.16   15.01   41.15
3NT, W, S, 9           1   97.26   40.33  106.93
3SX, N, D, 7           1    8.22    8.22   50.00
3SX, S, C, 6           1    0.00   44.35    5.65
3SX, S, C, 7           1    8.22   44.35   13.87
3SX, S, C, 8           3   83.56   44.35   89.21
3SX, S, D, 7           1    8.22   44.35   13.87
3SX, S, H, 7           1    8.22   44.35   13.87
4SX, S, C, 8           1    8.22    4.11   54.11

DEFENDER, Board 1|1

Contract           Count Overall     Bid    Lead Restdef
1NT, E, S, 7           4   89.73   48.88   50.93   89.92
1NT, E, S, 8          14   47.95   48.88   50.93   48.14
1NT, E, S, 9           2   16.44   48.88   50.93   16.63
1NT, W, D, 8           1   47.95   36.13   61.82   50.00
1NT, W, S, 8           1   47.95   36.13   55.51   56.30
2NT, E, D, 8           1   47.95   49.28   31.45   67.22
2NT, E, S, 8          17   47.95   49.28   50.95   47.72
2NT, E, S, 9           1   16.44   49.28   50.95   16.21
2NT, W, H, 9           2   16.44   36.13   30.31   50.00
2NT, W, S, 8           3   47.95   36.13   55.51   56.30
2S, S, C, 8            1    3.42    7.33   48.58   47.51
2S, S, H, 8            1    3.42    7.33   49.22   46.88
2SX, S, C, 7           1   16.44   22.69   41.62   52.13
2SX, S, C, 8           1    0.68   22.69   41.62   36.38
2SX, S, D, 8           1    0.68   22.69   35.87   42.12
2SX, S, H, 7           1   16.44   22.69   38.50   55.25
2SX, S, S, 6           2   91.78   22.69  119.09   50.00
3C, E, H, 9            1   76.71   58.22   68.49   50.00
3C, E, S, 10           2   21.23   58.22   46.30   16.71
3C, E, S, 9            3   76.71   58.22   46.30   72.19
3C, W, S, 9            1   76.71   76.71   50.00   50.00
3D, E, S, 8            1   93.84   93.84   50.00   50.00
3NT, E, D, 10          1    1.37   84.99   12.61    3.77
3NT, E, S, 8           1   93.84   84.99   51.92   56.93
3NT, W, S, 9           1    2.74   59.67   65.94  -22.88
3SX, N, D, 7           1   91.78   91.78   50.00   50.00
3SX, S, C, 6           1  100.00   55.65   36.82  107.53
3SX, S, C, 7           1   91.78   55.65   36.82   99.32
3SX, S, C, 8           3   16.44   55.65   36.82   23.97
3SX, S, D, 7           1   91.78   55.65   48.46   87.67
3SX, S, H, 7           1   91.78   55.65   61.02   75.11
4SX, S, C, 8           1   91.78   95.89   48.63   47.26

DECLARER, Board 1|2

Contract           Count Overall     Bid    Play
3NT, N, C, 10          5   86.30   50.74   85.56
3NT, N, C, 8           3   23.97   50.74   23.23
3NT, N, C, 9           8   59.59   50.74   58.85
3NT, N, D, 8           2   23.97   50.74   23.23
3NT, N, H, 10          1   86.30   50.74   85.56
3NT, N, S, 10          2   86.30   50.74   85.56
3NT, N, S, 8          11   23.97   50.74   23.23
3NT, N, S, 9           3   59.59   50.74   58.85
3NT, S, C, 8           2   23.97   61.35   12.63
3NT, S, C, 9           4   59.59   61.35   48.24
3NT, S, S, 10          3   86.30   61.35   74.95
3NT, S, S, 11          4   97.26   61.35   85.91
3NT, S, S, 8           3   23.97   61.35   12.63
3NT, S, S, 9          11   59.59   61.35   48.24
4H, S, C, 10           1   78.08   46.06   82.02
4H, S, C, 8            1    4.11   46.06    8.05
4H, S, C, 9            1   23.97   46.06   27.91
4NT, N, S, 11          1   97.26   31.03  116.23
4NT, S, C, 9           2   23.97   36.67   37.31
4NT, S, S, 9           1   23.97   36.67   37.31
5D, N, S, 9            1    4.11   10.73   43.38
5H, S, S, 10           1   23.97   13.36   60.62
6C, N, S, 8            1    0.00    0.00   50.00
6D, N, C, 10           1    4.11    2.28   51.83
6D, N, C, 9            1    1.37    2.28   49.09

DEFENDER, Board 1|2

Contract           Count Overall     Bid    Lead Restdef
3NT, N, C, 10          5   13.70   49.26   39.48   24.96
3NT, N, C, 8           3   76.03   49.26   39.48   87.29
3NT, N, C, 9           8   40.41   49.26   39.48   51.67
3NT, N, D, 8           2   76.03   49.26   76.77   50.00
3NT, N, H, 10          1   13.70   49.26   14.44   50.00
3NT, N, S, 10          2   13.70   49.26   58.84    5.60
3NT, N, S, 8          11   76.03   49.26   58.84   67.93
3NT, N, S, 9           3   40.41   49.26   58.84   32.31
3NT, S, C, 8           2   76.03   38.65   60.66   76.71
3NT, S, C, 9           4   40.41   38.65   60.66   41.10
3NT, S, S, 10          3   13.70   38.65   46.12   28.92
3NT, S, S, 11          4    2.74   38.65   46.12   17.96
3NT, S, S, 8           3   76.03   38.65   46.12   91.25
3NT, S, S, 9          11   40.41   38.65   46.12   55.64
4H, S, C, 10           1   21.92   53.94   60.67    7.31
4H, S, C, 8            1   95.89   53.94   60.67   81.28
4H, S, C, 9            1   76.03   53.94   60.67   61.42
4NT, N, S, 11          1    2.74   68.97   58.27  -24.50
4NT, S, C, 9           2   76.03   63.33   67.66   45.03
4NT, S, S, 9           1   76.03   63.33   43.58   69.12
5D, N, S, 9            1   95.89   89.27   56.62   50.00
5H, S, S, 10           1   76.03   86.64   39.38   50.00
6C, N, S, 8            1  100.00  100.00   50.00   50.00
6D, N, C, 10           1   95.89   97.72   49.54   48.63
6D, N, C, 9            1   98.63   97.72   49.54   51.37

DECLARER, Board 20|3

Contract           Count Overall     Bid    Play
1NT, N, H, 10          1   17.81   16.21   51.60
1NT, S, D, 9           2    8.22   13.32   44.90
2DX, W, S, 7           1   76.71   76.71   50.00
2HX, E, D, 4           1    0.00    0.00   50.00
2NT, N, D, 10          1   17.81   16.21   51.60
2NT, N, D, 9           1    8.22   16.21   42.01
2NT, N, S, 10          1   17.81   16.21   51.60
2NT, S, D, 10          3   17.81   13.32   54.49
2NT, S, D, 9           3    8.22   13.32   44.90
2NT, S, H, 10          1   17.81   13.32   54.49
2NT, S, S, 9           1    8.22   13.32   44.90
3C, S, H, 10           1    2.74    2.74   50.00
3NT, N, C, 10          1   68.49   63.01   55.48
3NT, N, D, 10          2   68.49   63.01   55.48
3NT, N, D, 9           1   35.62   63.01   22.60
3NT, N, H, 10          3   68.49   63.01   55.48
3NT, N, S, 10          6   68.49   63.01   55.48
3NT, N, S, 9           1   35.62   63.01   22.60
3NT, S, C, 10          1   68.49   52.60   65.90
3NT, S, C, 9           1   35.62   52.60   33.02
3NT, S, D, 10         17   68.49   52.60   65.90
3NT, S, D, 11          2   91.10   52.60   88.50
3NT, S, D, 9          11   35.62   52.60   33.02
3NT, S, H, 9           1   35.62   52.60   33.02
3NT, S, S, 10          1   68.49   52.60   65.90
3NT, S, S, 9           2   35.62   52.60   33.02
3NTX, S, S, 10         3   97.26   92.18   55.08
3NTX, S, S, 8          2    0.68   92.18  -41.50
3NTX, S, S, 9          2   93.84   92.18   51.65

DEFENDER, Board 20|3

Contract           Count Overall     Bid    Lead Restdef
1NT, N, H, 10          1   82.19   83.79   48.40   50.00
1NT, S, D, 9           2   91.78   86.68   49.21   55.89
2DX, W, S, 7           1   23.29   23.29   50.00   50.00
2HX, E, D, 4           1  100.00  100.00   50.00   50.00
2NT, N, D, 10          1   82.19   83.79   52.24   46.16
2NT, N, D, 9           1   91.78   83.79   52.24   55.75
2NT, N, S, 10          1   82.19   83.79   49.60   48.80
2NT, S, D, 10          3   82.19   86.68   49.21   46.31
2NT, S, D, 9           3   91.78   86.68   49.21   55.89
2NT, S, H, 10          1   82.19   86.68   50.31   45.21
2NT, S, S, 9           1   91.78   86.68   52.62   52.48
3C, S, H, 10           1   97.26   97.26   50.00   50.00
3NT, N, C, 10          1   31.51   36.99   44.52   50.00
3NT, N, D, 10          2   31.51   36.99   57.67   36.85
3NT, N, D, 9           1   64.38   36.99   57.67   69.73
3NT, N, H, 10          3   31.51   36.99   44.52   50.00
3NT, N, S, 10          6   31.51   36.99   48.63   45.89
3NT, N, S, 9           1   64.38   36.99   48.63   78.77
3NT, S, C, 10          1   31.51   47.40   50.54   33.56
3NT, S, C, 9           1   64.38   47.40   50.54   66.44
3NT, S, D, 10         17   31.51   47.40   46.76   37.35
3NT, S, D, 11          2    8.90   47.40   46.76   14.74
3NT, S, D, 9          11   64.38   47.40   46.76   70.22
3NT, S, H, 9           1   64.38   47.40   50.54   66.44
3NT, S, S, 10          1   31.51   47.40   61.01   23.09
3NT, S, S, 9           2   64.38   47.40   61.01   55.97
3NTX, S, S, 10         3    2.74    7.82   64.04   30.88
3NTX, S, S, 8          2   99.32    7.82   64.04  127.46
3NTX, S, S, 9          2    6.16    7.82   64.04   34.31

DECLARER, Board 20|4

Contract           Count Overall     Bid    Play
4H, N, C, 10           1    0.00   49.74    0.26
4H, N, C, 11          33   34.25   49.74   34.50
4H, N, D, 11           1   34.25   49.74   34.50
4H, N, D, 12          18   84.25   49.74   84.50
4H, N, H, 11           2   34.25   49.74   34.50
4H, N, H, 12           1   84.25   49.74   84.50
4H, N, S, 11           8   34.25   49.74   34.50
4H, N, S, 12           3   84.25   49.74   84.50
4H, S, C, 11           1   34.25   59.25   25.00
4H, S, D, 12           1   84.25   59.25   75.00
5H, N, C, 11           2   34.25   49.74   34.50
5H, N, D, 12           1   84.25   49.74   84.50
5H, N, S, 11           2   34.25   49.74   34.50

DEFENDER, Board 20|4

Contract           Count Overall     Bid    Lead Restdef
4H, N, C, 10           1  100.00   50.26   66.45   83.30
4H, N, C, 11          33   65.75   50.26   66.45   49.05
4H, N, D, 11           1   65.75   50.26   18.00   97.50
4H, N, D, 12          18   15.75   50.26   18.00   47.50
4H, N, H, 11           2   65.75   50.26   48.83   66.67
4H, N, H, 12           1   15.75   50.26   48.83   16.67
4H, N, S, 11           8   65.75   50.26   53.96   61.54
4H, N, S, 12           3   15.75   50.26   53.96   11.54
4H, S, C, 11           1   65.75   40.75   75.00   50.00
4H, S, D, 12           1   15.75   40.75   25.00   50.00
5H, N, C, 11           2   65.75   50.26   66.45   49.05
5H, N, D, 12           1   15.75   50.26   18.00   47.50
5H, N, S, 11           2   65.75   50.26   53.96   61.54

DECLARER, Board 21|5

Contract           Count Overall     Bid    Play
1NT, E, S, 6           2   30.82   30.82   50.00
2D, W, C, 9            1   80.14   65.25   64.89
2S, S, C, 8            1   81.51   76.52   54.99
2S, S, C, 9            1   88.36   76.52   61.84
2S, S, H, 8            1   81.51   76.52   54.99
3D, E, C, 8            1   30.82   62.41   18.41
3D, E, C, 9            1   80.14   62.41   67.72
3D, E, D, 8            1   30.82   62.41   18.41
3D, E, H, 9            1   80.14   62.41   67.72
3D, E, S, 9            1   80.14   62.41   67.72
3D, W, C, 8            4   30.82   60.82   20.00
3D, W, C, 9            1   80.14   60.82   69.32
3D, W, S, 8            2   30.82   60.82   20.00
3D, W, S, 9            3   80.14   60.82   69.32
3S, N, C, 8            1   41.78   41.78   50.00
3S, N, D, 8            1   41.78   41.78   50.00
3S, S, C, 7            5    6.85   47.05    9.80
3S, S, C, 8           20   41.78   47.05   44.73
3S, S, C, 9            7   88.36   47.05   91.31
3S, S, H, 7            2    6.85   47.05    9.80
3S, S, H, 8            1   41.78   47.05   44.73
3SX, S, C, 8           1    6.85   27.79   29.06
3SX, S, C, 9           1   98.63   27.79  120.84
3SX, S, S, 8           1    6.85   27.79   29.06
4D, E, S, 9            1   30.82   33.80   47.02
4D, W, S, 10           1   86.30   30.30  106.00
4D, W, S, 9            3   30.82   30.30   50.52
4DX, E, C, 10          1  100.00   24.18  125.82
4DX, E, S, 8           1    4.11   24.18   29.93
4H, E, S, 7            1    5.48   18.15   37.33
4H, E, S, 9            2   30.82   18.15   62.67
4HX, E, H, 7           1    2.74   11.50   41.23
4S, S, C, 9            1   41.78   14.25   77.53
5CX, E, C, 7           1    0.00    0.00   50.00

DEFENDER, Board 21|5

Contract           Count Overall     Bid    Lead Restdef
1NT, E, S, 6           2   69.18   69.18   50.00   50.00
2D, W, C, 9            1   19.86   34.75   60.61   24.50
2S, S, C, 8            1   18.49   23.48   48.53   46.48
2S, S, C, 9            1   11.64   23.48   48.53   39.63
2S, S, H, 8            1   18.49   23.48   64.87   30.14
3D, E, C, 8            1   69.18   37.59   46.66   84.93
3D, E, C, 9            1   19.86   37.59   46.66   35.62
3D, E, D, 8            1   69.18   37.59   81.59   50.00
3D, E, H, 9            1   19.86   37.59   32.28   50.00
3D, E, S, 9            1   19.86   37.59   48.72   33.56
3D, W, C, 8            4   69.18   39.18   63.56   66.44
3D, W, C, 9            1   19.86   39.18   63.56   17.12
3D, W, S, 8            2   69.18   39.18   40.96   89.04
3D, W, S, 9            3   19.86   39.18   40.96   39.73
3S, N, C, 8            1   58.22   58.22   50.00   50.00
3S, N, D, 8            1   58.22   58.22   50.00   50.00
3S, S, C, 7            5   93.15   52.95   47.40   92.80
3S, S, C, 8           20   58.22   52.95   47.40   57.87
3S, S, C, 9            7   11.64   52.95   47.40   11.29
3S, S, H, 7            2   93.15   52.95   72.73   67.47
3S, S, H, 8            1   58.22   52.95   72.73   32.53
3SX, S, C, 8           1   93.15   72.21   46.87   74.06
3SX, S, C, 9           1    1.37   72.21   46.87  -17.72
3SX, S, S, 8           1   93.15   72.21   70.94   50.00
4D, E, S, 9            1   69.18   66.20   56.50   46.48
4D, W, S, 10           1   13.70   69.70   45.66   -1.66
4D, W, S, 9            3   69.18   69.70   45.66   53.82
4DX, E, C, 10          1    0.00   75.82   32.72   -8.54
4DX, E, S, 8           1   95.89   75.82   59.29   60.77
4H, E, S, 7            1   94.52   81.85   45.78   66.89
4H, E, S, 9            2   69.18   81.85   45.78   41.55
4HX, E, H, 7           1   97.26   88.50   58.77   50.00
4S, S, C, 9            1   58.22   85.75   48.70   23.77
5CX, E, C, 7           1  100.00  100.00   50.00   50.00

DECLARER, Board 21|6

Contract           Count Overall     Bid    Play
3NT, E, D, 11          1   83.56   83.56   50.00
3NT, E, S, 11          6   83.56   83.56   50.00
3NT, W, D, 12          1   90.41   90.41   50.00
3S, N, S, 6            1   96.58   96.94   49.64
4D, N, C, 7            1   96.58   96.08   50.50
4DX, N, C, 6           1    4.79   70.03  -15.24
4H, E, D, 11           1   44.52   55.65   38.87
4H, E, H, 12           1   89.04   55.65   83.39
4H, E, S, 11           1   44.52   55.65   38.87
4H, W, C, 11           8   44.52   44.52   50.00
4H, W, D, 11           2   44.52   44.52   50.00
4H, W, S, 11          33   44.52   44.52   50.00
4HX, W, C, 11          1  100.00  100.00   50.00
4SX, N, C, 8           1   94.52   48.97   95.55
4SX, N, H, 7           1   91.78   48.97   92.81
4SX, N, S, 6           1    4.79   48.97    5.82
4SX, S, C, 7           2   91.78   70.03   71.75
4SX, S, H, 6           1    4.79   70.03  -15.24
5DX, N, C, 7           1    4.79    3.60   51.20
5DX, N, H, 7           1    4.79    3.60   51.20
5H, E, D, 11           1   44.52   55.65   38.87
5H, W, S, 11           4   44.52   44.52   50.00
5SX, S, C, 7           1    4.79    3.60   51.20
6H, W, D, 11           2    0.68    0.68   50.00

DEFENDER, Board 21|6

Contract           Count Overall     Bid    Lead Restdef
3NT, E, D, 11          1   16.44   16.44   50.00   50.00
3NT, E, S, 11          6   16.44   16.44   50.00   50.00
3NT, W, D, 12          1    9.59    9.59   50.00   50.00
3S, N, S, 6            1    3.42    3.06   50.36   50.00
4D, N, C, 7            1    3.42    3.92   50.17   49.34
4DX, N, C, 6           1   95.21   29.97   57.25  107.99
4H, E, D, 11           1   55.48   44.35   61.13   50.00
4H, E, H, 12           1   10.96   44.35   16.61   50.00
4H, E, S, 11           1   55.48   44.35   61.13   50.00
4H, W, C, 11           8   55.48   55.48   50.00   50.00
4H, W, D, 11           2   55.48   55.48   50.00   50.00
4H, W, S, 11          33   55.48   55.48   50.00   50.00
4HX, W, C, 11          1    0.00    0.00   50.00   50.00
4SX, N, C, 8           1    5.48   51.03    4.45   50.00
4SX, N, H, 7           1    8.22   51.03    7.19   50.00
4SX, N, S, 6           1   95.21   51.03   94.18   50.00
4SX, S, C, 7           2    8.22   29.97   28.25   50.00
4SX, S, H, 6           1   95.21   29.97  115.24   50.00
5DX, N, C, 7           1   95.21   96.40   50.40   48.40
5DX, N, H, 7           1   95.21   96.40   48.80   50.00
5H, E, D, 11           1   55.48   44.35   61.13   50.00
5H, W, S, 11           4   55.48   55.48   50.00   50.00
5SX, S, C, 7           1   95.21   96.40   48.80   50.00
6H, W, D, 11           2   99.32   99.32   50.00   50.00

DECLARER, Board 22|7

Contract           Count Overall     Bid    Play
3NT, S, D, 10          4   74.66   37.79   86.87
3NT, S, D, 11          1  100.00   37.79  112.21
3NT, S, S, 8           4    5.48   37.79   17.69
3NT, S, S, 9           3   10.96   37.79   23.17
4H, N, C, 10           3   42.47   53.79   38.68
4H, N, C, 11           3   88.36   53.79   84.57
4H, N, D, 10           6   42.47   53.79   38.68
4H, N, S, 10           2   42.47   53.79   38.68
4H, N, S, 11           2   88.36   53.79   84.57
4H, S, C, 10           2   42.47   52.86   39.60
4H, S, C, 11           3   88.36   52.86   85.49
4H, S, D, 10          27   42.47   52.86   39.60
4H, S, D, 11           8   88.36   52.86   85.49
4H, S, S, 10           3   42.47   52.86   39.60
5H, S, D, 9            1    1.37   25.65   25.72
5H, S, S, 10           1    5.48   25.65   29.83
6H, N, S, 9            1    0.00    2.50   47.50

DEFENDER, Board 22|7

Contract           Count Overall     Bid    Lead Restdef
3NT, S, D, 10          4   25.34   62.21    8.06   55.07
3NT, S, D, 11          1    0.00   62.21    8.06   29.73
3NT, S, S, 8           4   94.52   62.21   79.96   52.35
3NT, S, S, 9           3   89.04   62.21   79.96   46.87
4H, N, C, 10           3   57.53   46.21   38.38   72.95
4H, N, C, 11           3   11.64   46.21   38.38   27.05
4H, N, D, 10           6   57.53   46.21   61.32   50.00
4H, N, S, 10           2   57.53   46.21   50.36   60.96
4H, N, S, 11           2   11.64   46.21   50.36   15.07
4H, S, C, 10           2   57.53   47.14   32.86   77.53
4H, S, C, 11           3   11.64   47.14   32.86   31.64
4H, S, D, 10          27   57.53   47.14   51.23   59.17
4H, S, D, 11           8   11.64   47.14   51.23   13.28
4H, S, S, 10           3   57.53   47.14   60.40   50.00
5H, S, D, 9            1   98.63   74.35   51.86   72.41
5H, S, S, 10           1   94.52   74.35   70.17   50.00
6H, N, S, 9            1  100.00   97.50   49.76   52.74

DECLARER, Board 22|8

Contract           Count Overall     Bid    Play
2H, E, C, 10           1   20.55   21.03   49.51
2H, E, H, 10           1   20.55   21.03   49.51
3NT, E, H, 10          2   72.60   72.60   50.00
3NT, W, C, 6           3    2.74   20.21   32.53
3NT, W, S, 10          1   72.60   20.21  102.40
3S, E, C, 10           1   20.55   21.36   49.19
4H, E, C, 10           2   46.58   54.79   41.78
4S, E, C, 10          28   46.58   60.27   36.30
4S, E, C, 11           2   87.67   60.27   77.40
4S, E, D, 11           2   87.67   60.27   77.40
4S, E, H, 10           3   46.58   60.27   36.30
4S, E, H, 11          13   87.67   60.27   77.40
4S, W, C, 10           2   46.58   46.58   50.00
5H, E, C, 11           1   87.67   29.04  108.63
5S, E, C, 10           4   14.38   38.81   25.57
5S, E, D, 11           1   87.67   38.81   98.86
6H, W, C, 10           1    7.53    7.53   50.00
6S, E, C, 10           2    7.53    9.82   47.72
6S, E, D, 11           1   14.38    9.82   54.57
6S, E, H, 10           1    7.53    9.82   47.72
6S, E, H, 11           1   14.38    9.82   54.57
6SX, E, C, 10          1    0.00    2.51   47.49

DEFENDER, Board 22|8

Contract           Count Overall     Bid    Lead Restdef
2H, E, C, 10           1   79.45   78.97   49.88   50.61
2H, E, H, 10           1   79.45   78.97   50.49   50.00
3NT, E, H, 10          2   27.40   27.40   50.00   50.00
3NT, W, C, 6           3   97.26   79.79   67.47   50.00
3NT, W, S, 10          1   27.40   79.79   -2.40   50.00
3S, E, C, 10           1   79.45   78.64   50.68   50.13
4H, E, C, 10           2   53.42   45.21   47.95   60.27
4S, E, C, 10          28   53.42   39.73   61.54   52.16
4S, E, C, 11           2   12.33   39.73   61.54   11.07
4S, E, D, 11           2   12.33   39.73   22.60   50.00
4S, E, H, 10           3   53.42   39.73   31.74   81.96
4S, E, H, 11          13   12.33   39.73   31.74   40.87
4S, W, C, 10           2   53.42   53.42   50.00   50.00
