DECLARER, Board 10|19

Contract           Count Overall     Bid    Play
1NT, E, S, 8           1   55.39   55.39   50.00
3CX, E, H, 8           1   98.13   99.06   49.40   49.66
3H, S, S, 7            1   72.00   77.97   50.25   43.77
3HX, S, S, 6           1   98.98   96.65   49.93   52.40
3NT, E, H, 8           1   94.27   61.14   46.18   86.95

DECLARER, Board 20|7

Contract           Count Overall     Bid    Play
4H, N, C, 12           7   22.45   22.45   50.00
4H, N, D, 12           2   22.45   22.45   50.00
4H, S, D, 12           4   22.45   22.45   50.00
5DX, E, S, 8           1   53.06   53.06   50.00
5H, N, C, 12           7   22.45   22.45   50.00
5H, N, D, 12           2   22.45   22.45   50.00
5H, S, D, 12           1   22.45   22.45   50.00
6H, N, C, 12          11   74.49   74.49   50.00
6H, N, D, 12           6   74.49   74.49   50.00
6H, N, S, 12           5   74.49   74.49   50.00
6H, S, D, 12           4   74.49   74.49   50.00

DEFENDER, Board 20|7

Contract           Count Overall     Bid    Lead Restdef
4H, N, C, 12           7   77.55   77.55   50.00   50.00
4H, N, D, 12           2   77.55   77.55   50.00   50.00
4H, S, D, 12           4   77.55   77.55   50.00   50.00
5DX, E, S, 8           1   46.94   46.94   50.00   50.00
5H, N, C, 12           7   77.55   77.55   50.00   50.00
5H, N, D, 12           2   77.55   77.55   50.00   50.00
5H, S, D, 12           1   77.55   77.55   50.00   50.00
6H, N, C, 12          11   25.51   25.51   50.00   50.00
6H, N, D, 12           6   25.51   25.51   50.00   50.00
6H, N, S, 12           5   25.51   25.51   50.00   50.00
6H, S, D, 12           4   25.51   25.51   50.00   50.00

DECLARER, Board 20|8

Contract           Count Overall     Bid    Play
1H, E, C, 4            2   25.51   25.51   50.00
1NT, E, D, 5           1   29.17   29.17   50.00
2D, S, C, 6            1   37.24   37.24   50.00
3C, E, C, 9            1   83.04   83.04   50.00
3C, W, D, 9            1   83.04   83.04   50.00
3H, N, C, 9            1   72.09   70.04   52.05
4H, N, C, 10           2   84.12   60.11   74.02
4H, N, C, 8            1   37.88   60.11   27.77
4H, N, C, 9            2   62.59   60.11   52.48
4H, N, D, 10           1   84.12   60.11   74.02
4H, N, D, 8            6   37.88   60.11   27.77
4H, N, D, 9            1   62.59   60.11   52.48
4H, N, H, 8            1   37.88   60.11   27.77
4H, N, S, 8            4   37.88   60.11   27.77
4H, N, S, 9            2   62.59   60.11   52.48
4H, S, C, 8            1   37.24   37.24   50.00
4HX, N, C, 10          3   95.38   43.88  101.50
4HX, N, C, 9           1   37.18   43.88   43.30
4HX, N, D, 10          3   95.38   43.88  101.50
4HX, N, D, 8           1    5.46   43.88   11.58
4HX, N, D, 9           3   37.18   43.88   43.30
4HXX, N, C, 10         1   99.67   35.39  114.28
4HXX, N, D, 10         1   99.67   35.39  114.28
4S, N, D, 10           1   84.00   46.76   87.24
4S, N, H, 8            4   37.45   46.76   40.69
4S, S, D, 8            1   36.99   31.54   55.45
4S, S, H, 7            1   13.64   31.54   32.10
4S, S, S, 9            1   61.88   31.54   80.35
5S, S, C, 7            1   10.74   17.71   43.03

DEFENDER, Board 20|8

Contract           Count Overall     Bid    Lead Restdef
1H, E, C, 4            2   74.49   74.49   50.00   50.00
1NT, E, D, 5           1   70.83   70.83   48.56   51.44
2D, S, C, 6            1   62.76   62.76   54.59   45.41
3C, E, C, 9            1   16.96   16.96   40.19   59.81
3C, W, D, 9            1   16.96   16.96   40.19   59.81
3H, N, C, 9            1   27.91   29.96   46.95   51.00
4H, N, C, 10           2   15.88   39.89   40.53   35.45
4H, N, C, 8            1   62.12   39.89   40.53   81.70
4H, N, C, 9            2   37.41   39.89   40.53   56.98
4H, N, D, 10           1   15.88   39.89   55.07   20.91
4H, N, D, 8            6   62.12   39.89   55.07   67.16
4H, N, D, 9            1   37.41   39.89   55.07   42.45
4H, N, H, 8            1   62.12   39.89   77.45   44.78
4H, N, S, 8            4   62.12   39.89   67.59   54.64
4H, N, S, 9            2   37.41   39.89   67.59   29.93
4H, S, C, 8            1   62.76   62.76   54.59   45.41
4HX, N, C, 10          3    4.62   56.12   32.47   16.03
4HX, N, C, 9           1   62.82   56.12   32.47   74.23
4HX, N, D, 10          3    4.62   56.12   57.34   -8.83
4HX, N, D, 8           1   94.54   56.12   57.34   81.08
4HX, N, D, 9           3   62.82   56.12   57.34   49.36
4HXX, N, C, 10         1    0.33   64.61   30.66    5.06
4HXX, N, D, 10         1    0.33   64.61   53.95  -18.23
4S, N, D, 10           1   16.00   53.24   16.15   46.61
4S, N, H, 8            4   62.55   53.24   64.11   45.20
4S, S, D, 8            1   63.01   68.46   48.89   45.66
4S, S, H, 7            1   86.36   68.46   77.46   40.44
4S, S, S, 9            1   38.12   68.46   19.29   50.36
5S, S, C, 7            1   89.26   82.29   65.67   41.30

DECLARER, Board 21|10

Contract           Count Overall     Bid    Play
1NT, E, C, 9           1   63.52   54.19   59.33
1NT, E, D, 8           1   35.54   54.19   31.35
1NT, E, H, 9           1   63.52   54.19   59.33
1NT, N, S, 8           1   81.42   81.42   50.00
1NT, W, C, 11          1   77.23   46.89   80.34
1NT, W, C, 8           1   35.18   46.89   38.29
1NT, W, C, 9           2   63.37   46.89   66.48
1NT, W, H, 7           1   23.90   46.89   27.01
1NT, W, H, 8           3   35.18   46.89   38.29
1NT, W, S, 10          1   74.65   46.89   77.76
1NT, W, S, 8           6   35.18   46.89   38.29
1NT, W, S, 9           1   63.37   46.89   66.48
2NT, W, S, 8           1   35.18   46.78   38.40
2S, E, D, 9            1   53.06   53.06   50.00
3C, E, D, 10           2   49.32   53.94   45.38
3C, E, S, 11           1   63.18   53.94   59.24
3C, W, C, 11           1   63.60   60.14   53.46
3C, W, H, 11           2   63.60   60.14   53.46
3C, W, S, 10           1   49.74   60.14   39.61
3NT, W, H, 9           1   79.05   42.73   86.33
3NT, W, S, 10          1   81.42   42.73   88.69
4S, W, H, 10           1   80.99   80.99   50.00
pass                  18   77.93   77.93   50.00

DEFENDER, Board 21|10

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 9           1   36.48   45.81   22.56   68.12
1NT, E, D, 8           1   64.46   45.81   52.15   66.51
1NT, E, H, 9           1   36.48   45.81   22.56   68.12
1NT, N, S, 8           1   18.58   18.58   31.42   68.58
1NT, W, C, 11          1   22.77   53.11   19.59   50.07
1NT, W, C, 8           1   64.82   53.11   19.59   92.12
1NT, W, C, 9           2   36.63   53.11   19.59   63.92
1NT, W, H, 7           1   76.10   53.11   41.58   81.41
1NT, W, H, 8           3   64.82   53.11   41.58   70.13
1NT, W, S, 10          1   25.35   53.11   33.93   38.31
1NT, W, S, 8           6   64.82   53.11   33.93   77.78
1NT, W, S, 9           1   36.63   53.11   33.93   49.59
2NT, W, S, 8           1   64.82   53.22   33.82   77.78
2S, E, D, 9            1   46.94   46.94   31.63   68.37
3C, E, D, 10           2   50.68   46.06   36.59   68.03
3C, E, S, 11           1   36.82   46.06   22.31   68.46
3C, W, C, 11           1   36.40   39.86   28.50   68.03
3C, W, H, 11           2   36.40   39.86   28.50   68.03
3C, W, S, 10           1   50.26   39.86   42.79   67.60
3NT, W, H, 9           1   20.95   57.27   72.34   -8.67
3NT, W, S, 10          1   18.58   57.27   61.74   -0.43
4S, W, H, 10           1   19.01   19.01   33.03   66.97
pass                  18   22.07   22.07   50.00   50.00

DECLARER, Board 21|9

Contract           Count Overall     Bid    Play
4S, E, D, 12           3   30.90   30.90   50.00
4S, E, H, 12           4   30.90   30.90   50.00
4S, E, S, 12           3   30.90   30.90   50.00
5S, E, C, 12           2   30.90   30.90   50.00
5S, E, D, 12           2   30.90   30.90   50.00
5S, E, H, 12           4   30.90   30.90   50.00
5S, E, S, 12           1   30.90   30.90   50.00
5S, W, H, 12           2   30.90   30.90   50.00
6HX, N, H, 9           1   94.46   83.55   60.91
6HX, S, S, 10          1   99.42   99.42   50.00
6S, E, D, 12           4   76.53   76.53   50.00
6S, E, H, 12           7   76.53   76.53   50.00
6S, E, S, 12           5   76.53   76.53   50.00
6S, W, D, 12           1   76.53   76.53   50.00
6S, W, H, 12           1   76.53   76.53   50.00
6SX, E, C, 12          1   97.96   97.96   50.00
6SX, E, D, 12          1   97.96   97.96   50.00
6SX, E, S, 12          1   97.96   97.96   50.00
7HX, N, C, 10          1   93.73   72.91   70.82
7HX, N, H, 8           1   44.31   72.91   21.41
7HX, N, S, 10          3   93.73   72.91   70.82
7HX, N, S, 8           1   44.31   72.91   21.41

DEFENDER, Board 21|9

Contract           Count Overall     Bid    Lead Restdef
4S, E, D, 12           3   69.10   69.10   48.25   51.75
4S, E, H, 12           4   69.10   69.10   48.25   51.75
4S, E, S, 12           3   69.10   69.10   48.25   51.75
5S, E, C, 12           2   69.10   69.10   48.25   51.75
5S, E, D, 12           2   69.10   69.10   48.25   51.75
5S, E, H, 12           4   69.10   69.10   48.25   51.75
5S, E, S, 12           1   69.10   69.10   48.25   51.75
5S, W, H, 12           2   69.10   69.10   48.25   51.75
6HX, N, H, 9           1    5.54   16.45   63.61   25.48
6HX, S, S, 10          1    0.58    0.58   49.42   50.58
6S, E, D, 12           4   23.47   23.47   50.00   50.00
6S, E, H, 12           7   23.47   23.47   50.00   50.00
6S, E, S, 12           5   23.47   23.47   50.00   50.00
6S, W, D, 12           1   23.47   23.47   50.00   50.00
6S, W, H, 12           1   23.47   23.47   50.00   50.00
6SX, E, C, 12          1    2.04    2.04   50.00   50.00
6SX, E, D, 12          1    2.04    2.04   50.00   50.00
6SX, E, S, 12          1    2.04    2.04   50.00   50.00
7HX, N, C, 10          1    6.27   27.09   29.03   50.15
7HX, N, H, 8           1   55.69   27.09   77.97   50.62
7HX, N, S, 10          3    6.27   27.09   41.53   37.65
7HX, N, S, 8           1   55.69   27.09   41.53   87.06

DECLARER, Board 22|11

Contract           Count Overall     Bid    Play
1NT, N, H, 6          14   25.89   47.31   28.58
1NT, N, H, 7          10   60.10   47.31   62.79
1NT, N, H, 8           2   88.22   47.31   90.91
1NT, N, S, 7           3   60.10   47.31   62.79
1NT, N, S, 8           2   88.22   47.31   90.91
1NT, S, S, 8           1   89.12   89.12   50.00
2H, W, H, 7            1   54.78   61.68   43.10
2H, W, S, 7            1   54.78   61.68   43.10
2HX, W, C, 7           1   21.30   43.46   27.85
2HX, W, C, 8           1   99.66   43.46  106.20
2NT, N, H, 6           1    5.60   23.31   32.30
2NT, N, S, 7           1   24.99   23.31   51.68
2S, E, D, 6            1   21.19   21.19   50.00
3C, N, H, 7            1    5.57   15.21   40.37
3C, N, H, 8            1   24.84   15.21   59.63
3C, S, C, 8            1   25.35   25.35   50.00
3H, E, C, 8            1   54.15   37.93   66.23
3H, W, C, 6            1    6.24   28.85   27.39
3H, W, C, 7            1   21.30   28.85   42.45
3HX, E, H, 7           1    3.17   11.93   41.25
3HX, W, C, 6           1    0.45    8.17   42.28
3HX, W, S, 8           2   20.51    8.17   62.34
3NT, N, H, 6           1    1.36    5.45   45.91

DEFENDER, Board 22|11

Contract           Count Overall     Bid    Lead Restdef
1NT, N, H, 6          14   74.11   52.69   55.03   66.38
1NT, N, H, 7          10   39.90   52.69   55.03   32.18
1NT, N, H, 8           2   11.78   52.69   55.03    4.05
1NT, N, S, 7           3   39.90   52.69   26.56   60.65
1NT, N, S, 8           2   11.78   52.69   26.56   32.53
1NT, S, S, 8           1   10.88   10.88   49.33   50.67
2H, W, H, 7            1   45.22   38.32   56.58   50.32
2H, W, S, 7            1   45.22   38.32   29.31   77.59
2HX, W, C, 7           1   78.70   56.54   64.48   57.68
2HX, W, C, 8           1    0.34   56.54   64.48  -20.68
2NT, N, H, 6           1   94.40   76.69   55.23   62.47
2NT, N, S, 7           1   75.01   76.69   27.05   71.27
2S, E, D, 6            1   78.81   78.81   50.78   49.22
3C, N, H, 7            1   94.43   84.79   50.41   59.22
3C, N, H, 8            1   75.16   84.79   50.41   39.96
3C, S, C, 8            1   74.65   74.65   50.86   49.14
3H, E, C, 8            1   45.85   62.07   32.82   50.95
3H, W, C, 6            1   93.76   71.15   58.03   64.58
3H, W, C, 7            1   78.70   71.15   58.03   49.51
3HX, E, H, 7           1   96.83   88.07   59.89   48.87
3HX, W, C, 6           1   99.55   91.83   53.27   54.44
3HX, W, S, 8           2   79.49   91.83   43.89   43.78
3NT, N, H, 6           1   98.64   94.55   50.72   53.38

DECLARER, Board 22|12

Contract           Count Overall     Bid    Play
1NT, E, D, 5           1   74.90   84.20   40.69
1NT, E, D, 6           2   83.61   84.20   49.40
1NT, E, D, 7           1   89.46   84.20   55.25
1NT, N, H, 8           3   70.19   76.20   44.00
1NT, S, C, 8           1   69.85   69.85   50.00
1NT, S, S, 8           1   69.85   69.85   50.00
1NT, W, D, 7           1   90.07   90.07   50.00
1NTX, E, H, 7          1   97.69   70.46   77.24
1S, N, H, 7            1   21.63   21.63   50.00
2C, S, S, 7            1    4.69    4.69   50.00
2CX, W, C, 5           1    3.90    3.90   50.00
2D, N, D, 9            1   46.12   50.00   46.11
2D, S, C, 10           3   80.06   48.56   81.49
2D, S, C, 9            7   46.21   48.56   47.64
2H, E, D, 5            1   11.12   11.12   50.00
2NT, N, C, 9           1   88.20   76.20   62.01
2NT, N, D, 9           1   88.20   76.20   62.01
2NT, N, H, 8           1   70.19   76.20   44.00
2S, E, D, 7            1   83.40   83.40   50.00
2S, W, C, 6            1   74.76   80.29   44.47
2S, W, D, 7            1   83.06   80.29   52.77
2SX, W, H, 7           1   73.74   51.89   71.85
3CX, E, D, 6           2    3.90    3.90   50.00
3D, N, C, 10           1   80.22   43.90   86.32
3D, N, C, 8            1    5.37   43.90   11.47
3D, S, C, 10           1   80.06   48.17   81.88
3D, S, C, 7            1    1.15   48.17    2.98
3D, S, C, 9            7   46.21   48.17   48.03
3D, S, H, 9            1   46.21   48.17   48.03
3D, S, S, 9            2   46.21   48.17   48.03
3DX, S, C, 7           1    0.00   91.30  -41.30

DEFENDER, Board 22|12

Contract           Count Overall     Bid    Lead Restdef
1NT, E, D, 5           1   25.10   15.80   52.32   56.99
1NT, E, D, 6           2   16.39   15.80   52.32   48.28
1NT, E, D, 7           1   10.54   15.80   52.32   42.43
1NT, N, H, 8           3   29.81   23.80   53.75   52.26
1NT, S, C, 8           1   30.15   30.15   47.40   52.60
1NT, S, S, 8           1   30.15   30.15   47.40   52.60
1NT, W, D, 7           1    9.93    9.93   51.29   48.71
1NTX, E, H, 7          1    2.31   29.54   24.54   48.23
1S, N, H, 7            1   78.37   78.37   49.18   50.82
2C, S, S, 7            1   95.31   95.31   47.55   52.45
2CX, W, C, 5           1   96.10   96.10   51.86   48.14
2D, N, D, 9            1   53.88   50.00   52.04   51.84
2D, S, C, 10           3   19.94   51.44   47.54   20.96
2D, S, C, 9            7   53.79   51.44   47.54   54.82
2H, E, D, 5            1   88.88   88.88   52.95   47.05
2NT, N, C, 9           1   11.80   23.80   34.36   53.63
2NT, N, D, 9           1   11.80   23.80   34.36   53.63
2NT, N, H, 8           1   29.81   23.80   53.75   52.26
2S, E, D, 7            1   16.60   16.60   50.75   49.25
2S, W, C, 6            1   25.24   19.71   56.83   48.71
2S, W, D, 7            1   16.94   19.71   47.64   49.59
2SX, W, H, 7           1   26.26   48.11   28.42   49.73
3CX, E, D, 6           2   96.10   96.10   51.86   48.14
3D, N, C, 10           1   19.78   56.10   48.49   15.19
3D, N, C, 8            1   94.63   56.10   48.49   90.04
3D, S, C, 10           1   19.94   51.83   47.66   20.45
3D, S, C, 7            1   98.85   51.83   47.66   99.36
3D, S, C, 9            7   53.79   51.83   47.66   54.30
3D, S, H, 9            1   53.79   51.83   50.22   51.75
3D, S, S, 9            2   53.79   51.83   50.22   51.75
3DX, S, C, 7           1  100.00    8.70   51.30  140.00

DECLARER, Board 23|13

Contract           Count Overall     Bid    Play
3NT, E, H, 10          1   11.36   12.74   48.62
3NT, W, H, 10          1   11.56   20.69   40.88
3NT, W, H, 12          5   22.07   20.69   51.39
3NT, W, H, 13          1   39.73   20.69   69.04
4NT, W, H, 10          2   11.56   20.69   40.88
4S, E, H, 13           5   33.93   32.48   51.45
5D, W, H, 12           1    6.56    6.56   50.00
5NT, W, H, 12          1   22.07   18.26   53.81
5S, E, H, 13           1   33.93   32.48   51.45
6D, E, H, 12          22   63.35   65.22   48.13
6D, W, H, 12           1   63.27   63.27   50.00
6NT, E, C, 11          1    2.26    1.13   51.13
6S, E, H, 12           1   89.97   93.71   46.26
6S, E, H, 13           4   94.05   93.71   50.34
7D, E, H, 13           1   98.04   10.79  137.25
7D, E, S, 13           1   98.04   10.79  137.25
7S, E, H, 13           1  100.00   91.98   58.02

DEFENDER, Board 23|13

Contract           Count Overall     Bid    Lead Restdef
3NT, E, H, 10          1   88.64   87.26   55.60   45.78
3NT, W, H, 10          1   88.44   79.31   54.46   54.66
3NT, W, H, 12          5   77.93   79.31   54.46   44.15
3NT, W, H, 13          1   60.27   79.31   54.46   26.50
4NT, W, H, 10          2   88.44   79.31   54.46   54.66
4S, E, H, 13           5   66.07   67.52   54.36   44.20
5D, W, H, 12           1   93.44   93.44   54.52   45.48
5NT, W, H, 12          1   77.93   81.74   54.18   42.01
5S, E, H, 13           1   66.07   67.52   54.36   44.20
6D, E, H, 12          22   36.65   34.78   53.01   48.86
6D, W, H, 12           1   36.73   36.73   52.04   47.96
6NT, E, C, 11          1   97.74   98.87   51.13   47.74
6S, E, H, 12           1   10.03    6.29   53.32   50.43
6S, E, H, 13           4    5.95    6.29   53.32   46.34
7D, E, H, 13           1    1.96   89.21   56.57  -43.83
7D, E, S, 13           1    1.96   89.21  -36.15   48.89
7S, E, H, 13           1    0.00    8.02   50.31   41.67

DECLARER, Board 23|14

Contract           Count Overall     Bid    Play
1NT, W, S, 5           1   55.84   67.05   38.79
2NT, W, S, 7           1   64.74   35.96   78.78
2S, N, C, 10           1   93.77   69.38   74.39
2S, N, C, 8            1   56.12   69.38   36.74
2S, N, C, 9            3   77.80   69.38   58.42
2S, N, D, 8            6   56.12   69.38   36.74
2S, N, D, 9            7   77.80   69.38   58.42
2S, N, S, 8            1   56.12   69.38   36.74
2SX, N, S, 8           1   98.73   99.40   49.34
3D, E, C, 4            1    3.82   29.32   24.50
3D, E, S, 7            1   54.82   29.32   75.50
3H, E, C, 9            4   90.71   90.71   50.00
3H, W, S, 8            5   65.62   74.51   41.11
3H, W, S, 9            4   90.06   74.51   65.55
3HX, E, C, 9           1  100.00  100.00   50.00
3S, N, C, 8            2   25.29   56.62   18.67
3S, N, D, 8            1   25.29   56.62   18.67
3S, N, D, 9            4   77.80   56.62   71.18
3SX, N, C, 9           1   98.73   65.91   82.82
3SX, S, S, 8           1   18.71   18.71   50.00
4H, W, S, 8            2   55.70   58.94   46.76
4SX, N, S, 9           1   18.33   14.40   53.93

DEFENDER, Board 23|14

Contract           Count Overall     Bid    Lead Restdef
1NT, W, S, 5           1   44.16   32.95   49.99   61.22
2NT, W, S, 7           1   35.26   64.04   48.80   22.42
2S, N, C, 10           1    6.23   30.62   47.31   28.29
2S, N, C, 8            1   43.88   30.62   47.31   65.94
2S, N, C, 9            3   22.20   30.62   47.31   44.27
2S, N, D, 8            6   43.88   30.62   49.54   63.72
2S, N, D, 9            7   22.20   30.62   49.54   42.04
2S, N, S, 8            1   43.88   30.62   55.77   57.48
2SX, N, S, 8           1    1.27    0.60   50.76   49.91
3D, E, C, 4            1   96.18   70.68   75.24   50.26
3D, E, S, 7            1   45.18   70.68   23.20   51.31
3H, E, C, 9            4    9.29    9.29   49.90   50.10
3H, W, S, 8            5   34.38   25.49   49.28   59.61
3H, W, S, 9            4    9.94   25.49   49.28   35.17
3HX, E, C, 9           1    0.00    0.00   50.00   50.00
3S, N, C, 8            2   74.71   43.38   46.42   84.91
3S, N, D, 8            1   74.71   43.38   49.08   82.25
3S, N, D, 9            4   22.20   43.38   49.08   29.74
3SX, N, C, 9           1    1.27   34.09   46.14   21.04
3SX, S, S, 8           1   81.29   81.29   49.33   50.67
4H, W, S, 8            2   44.30   41.06   49.10   54.13
4SX, N, S, 9           1   81.67   85.60   56.60   39.47

DECLARER, Board 24|15

Contract           Count Overall     Bid    Play
1H, S, S, 9            1   54.25   57.33   46.92
1NT, E, H, 7           1   91.79   92.37   49.42
1NT, S, D, 7           1   18.00   18.00   50.00
1NT, W, S, 5           1   77.71   85.56   42.15
1NT, W, S, 6           2   86.49   85.56   50.93
1NT, W, S, 7           1   90.64   85.56   55.07
1NTX, E, C, 9          1   97.62   96.71   50.91
1NTX, E, H, 7          1   96.26   96.71   49.55
2H, N, C, 10           2   82.80   62.41   70.40
2H, N, C, 8            1   31.39   62.41   18.99
2H, N, D, 9            3   54.41   62.41   42.01
2H, N, S, 10           3   82.80   62.41   70.40
2H, N, S, 8            1   31.39   62.41   18.99
2H, N, S, 9            1   54.41   62.41   42.01
2H, S, C, 10           2   82.56   57.33   75.24
2H, S, D, 9            3   54.25   57.33   46.92
2H, S, S, 10           1   82.56   57.33   75.24
2H, S, S, 8            1   31.47   57.33   24.14
2H, S, S, 9            8   54.25   57.33   46.92
2HX, S, D, 8           1   95.85   97.15   48.70
2NT, W, S, 6           1   76.90   68.51   58.39
3D, W, C, 8            1   85.67   64.88   70.79
3D, W, D, 7            1   76.90   64.88   62.02
3D, W, S, 5            1    8.03   64.88   -6.85
3D, W, S, 7            1   76.90   64.88   62.02
3DX, W, C, 7           1    5.78   19.63   36.15
3H, S, D, 9            3   54.25   55.15   49.10
3H, S, S, 10           1   82.56   55.15   77.42
3H, S, S, 9            1   54.25   55.15   49.10
3HX, N, D, 9           1   95.70   81.10   64.59
pass                   2   10.04   10.04   50.00

DEFENDER, Board 24|15

Contract           Count Overall     Bid    Lead Restdef
1H, S, S, 9            1   45.75   42.67   50.50   52.58
1NT, E, H, 7           1    8.21    7.63   47.48   53.10
1NT, S, D, 7           1   82.00   82.00   49.64   50.36
1NT, W, S, 5           1   22.29   14.44   49.85   58.00
1NT, W, S, 6           2   13.51   14.44   49.85   49.23
1NT, W, S, 7           1    9.36   14.44   49.85   45.08
1NTX, E, C, 9          1    2.38    3.29   46.71   52.38
1NTX, E, H, 7          1    3.74    3.29   48.75   51.70
2H, N, C, 10           2   17.20   37.59   46.42   33.18
2H, N, C, 8            1   68.61   37.59   46.42   84.59
2H, N, D, 9            3   45.59   37.59   58.32   49.67
2H, N, S, 10           3   17.20   37.59   45.26   34.34
2H, N, S, 8            1   68.61   37.59   45.26   85.75
2H, N, S, 9            1   45.59   37.59   45.26   62.73
2H, S, C, 10           2   17.44   42.67   23.65   51.11
2H, S, D, 9            3   45.75   42.67   56.60   46.48
2H, S, S, 10           1   17.44   42.67   50.50   24.26
2H, S, S, 8            1   68.53   42.67   50.50   75.36
2H, S, S, 9            8   45.75   42.67   50.50   52.58
2HX, S, D, 8           1    4.15    2.85   47.44   53.86
2NT, W, S, 6           1   23.10   31.49   50.25   41.37
3D, W, C, 8            1   14.33   35.12   33.75   45.45
3D, W, D, 7            1   23.10   35.12   38.35   49.64
3D, W, S, 5            1   91.97   35.12   73.55   83.30
3D, W, S, 7            1   23.10   35.12   73.55   14.43
3DX, W, C, 7           1   94.22   80.37   29.33   84.52
3H, S, D, 9            3   45.75   44.85   58.22   42.68
3H, S, S, 10           1   17.44   44.85   50.37   22.22
3H, S, S, 9            1   45.75   44.85   50.37   50.53
3HX, N, D, 9           1    4.30   18.90   31.10   54.30
pass                   2   89.96   89.96   50.00   50.00

DECLARER, Board 24|16

Contract           Count Overall     Bid    Play
2CXX, W, H, 8          1   97.96   97.96   50.00
2HX, N, C, 7           1   96.18   64.89   81.29
2S, E, D, 10           1   29.57   29.49   50.09
2S, E, H, 10           1   29.57   29.49   50.09
3D, E, D, 10           1    7.22    7.22   50.00
3D, W, C, 9            1    5.18    5.18   50.00
3H, N, C, 6            2   89.46   91.70   47.76
3HX, N, C, 6           1   46.52   47.09   49.43
3HX, N, C, 7           1   48.22   47.09   51.13
3NT, E, C, 7           1    0.00    0.00   50.00
3S, E, C, 10           1   29.57   29.49   50.09
3S, E, D, 10           2   29.57   29.49   50.09
3S, E, H, 10           5   29.57   29.49   50.09
3S, E, S, 10           2   29.57   29.49   50.09
3S, W, C, 10           1   29.65   30.90   48.75
3S, W, C, 11           1   47.20   30.90   66.30
3S, W, H, 10           4   29.65   30.90   48.75
4H, N, C, 6            1   52.19   64.27   37.92
4S, E, C, 10           2   75.00   72.98   52.02
4S, E, C, 11           1   94.90   72.98   71.92
4S, E, D, 10           1   75.00   72.98   52.02
4S, E, H, 10           8   75.00   72.98   52.02
4S, E, H, 9            1    2.55   72.98  -20.43
4S, E, S, 10           1   75.00   72.98   52.02
4S, W, C, 10           1   75.07   76.49   48.58
4S, W, H, 10           6   75.07   76.49   48.58
4SX, W, H, 10          1  100.00  100.00   50.00

DEFENDER, Board 24|16

Contract           Count Overall     Bid    Lead Restdef
2CXX, W, H, 8          1    2.04    2.04   50.00   50.00
2HX, N, C, 7           1    3.82   35.11   51.62   17.09
2S, E, D, 10           1   70.43   70.51   48.87   51.04
2S, E, H, 10           1   70.43   70.51   50.25   49.66
3D, E, D, 10           1   92.78   92.78   49.06   50.94
3D, W, C, 9            1   94.82   94.82   49.06   50.94
3H, N, C, 6            2   10.54    8.30   50.54   51.70
3HX, N, C, 6           1   53.48   52.91   51.51   49.06
3HX, N, C, 7           1   51.78   52.91   51.51   47.36
3NT, E, C, 7           1  100.00  100.00   50.00   50.00
3S, E, C, 10           1   70.43   70.51   44.03   55.89
3S, E, D, 10           2   70.43   70.51   48.87   51.04
3S, E, H, 10           5   70.43   70.51   50.25   49.66
3S, E, S, 10           2   70.43   70.51   48.87   51.04
3S, W, C, 10           1   70.35   69.10   43.83   57.43
3S, W, C, 11           1   52.80   69.10   43.83   39.87
3S, W, H, 10           4   70.35   69.10   50.29   50.97
4H, N, C, 6            1   47.81   35.73   51.35   60.73
4S, E, C, 10           2   25.00   27.02   42.37   55.61
4S, E, C, 11           1    5.10   27.02   42.37   35.71
4S, E, D, 10           1   25.00   27.02   47.47   50.51
4S, E, H, 10           8   25.00   27.02   52.37   45.61
4S, E, H, 9            1   97.45   27.02   52.37  118.06
4S, E, S, 10           1   25.00   27.02   47.47   50.51
4S, W, C, 10           1   24.93   23.51   44.18   57.24
4S, W, H, 10           6   24.93   23.51   50.98   50.44
4SX, W, H, 10          1    0.00    0.00   50.00   50.00

DECLARER, Board 2|3

Contract           Count Overall     Bid    Play
1NT, E, S, 6           2   49.64   61.53   38.11
1NT, E, S, 7           1   85.31   61.53   73.78
1NT, N, C, 6           1   19.01   14.12   54.90
1NT, N, D, 5           1    9.22   14.12   45.10
1NT, W, D, 4           1    5.54   46.71    8.83
1NT, W, D, 7           1   85.31   46.71   88.59
2CX, E, S, 6           1    0.33    0.33   50.00
2D, N, C, 7            1   20.34   34.28   36.06
2D, N, C, 8            1   26.12   34.28   41.84
2D, N, H, 8            2   26.12   34.28   41.84
2D, S, C, 7            1   19.86   21.72   48.14
2H, W, D, 7            1   49.30   49.30   50.00
2NT, W, D, 6           1   16.48   22.55   43.93
2S, E, C, 6            1   17.18   45.46   21.71
2S, E, C, 7            2   49.15   45.46   53.69
2S, E, D, 7            1   49.15   45.46   53.69
2S, E, H, 7            4   49.15   45.46   53.69
2S, E, H, 8            2   96.94   45.46  101.47
2S, E, S, 5            2    5.81   45.46   10.34
2S, E, S, 6            4   17.18   45.46   21.71
2S, E, S, 7           10   49.15   45.46   53.69
2S, E, S, 8            1   96.94   45.46  101.47
2S, W, C, 6            1   16.48   16.48   50.00
2S, W, H, 6            1   16.48   16.48   50.00
2S, W, S, 6            1   16.48   16.48   50.00
2SX, E, S, 7           1   16.34   21.40   44.94
