DECLARER, Board 10|3

Contract           Count Overall     Bid    Play
1NT, E, D, 8           1    9.67   36.86   22.81
2DX, E, C, 6           1    0.88    0.88   50.00
2S, N, H, 11           1   23.07   22.87   50.20
2S, S, H, 11           1   22.97   22.63   50.34
3NT, S, S, 11          1   96.49   96.49   50.00
4S, N, D, 11           1   70.33   61.66   58.67
4S, N, H, 10           1   35.65   61.66   23.99
4S, N, H, 11           2   70.33   61.66   58.67
4S, S, D, 10           1   35.49   56.01   29.48
4S, S, D, 9            1   14.41   56.01    8.40
4S, S, H, 10          10   35.49   56.01   29.48
4S, S, H, 11          19   70.22   56.01   64.21
4S, S, H, 9            2   14.41   56.01    8.40
4S, S, S, 11           3   70.22   56.01   64.21
5S, N, C, 10           1   14.24   56.31    7.94
5S, N, H, 11           2   70.33   56.31   64.02
5S, S, H, 11           1   70.22   48.81   71.41
6C, S, H, 10           1    3.11    3.11   50.00
6S, S, D, 11           2   13.26    9.48   53.78
6S, S, H, 10           3    3.60    9.48   44.12
6S, S, H, 11           3   13.26    9.48   53.78

DEFENDER, Board 19|22

Contract           Count Overall     Bid    Lead Restdef
2C, E, C, 3            1   99.12   99.12   50.00   50.00
2DX, E, C, 6           1   99.12   99.12   50.00   50.00
2S, N, H, 11           1   76.93   77.13   49.40   50.40
2S, S, H, 11           1   77.03   77.37   49.44   50.23
3NT, S, S, 11          1    3.51    3.51   50.00   50.00
4S, N, D, 11           1   29.67   38.34   40.61   50.72
4S, N, H, 10           1   64.35   38.34   46.45   79.55
4S, N, H, 11           2   29.67   38.34   46.45   44.88
4S, S, D, 10           1   64.51   43.99   57.99   62.54
4S, S, D, 9            1   85.59   43.99   57.99   83.62
4S, S, H, 10          10   64.51   43.99   49.58   70.94
4S, S, H, 11          19   29.78   43.99   49.58   36.21
4S, S, H, 9            2   85.59   43.99   49.58   92.03
4S, S, S, 11           3   29.78   43.99   34.96   50.83
5S, N, C, 10           1   85.76   43.69   92.27   49.79
5S, N, H, 11           2   29.67   43.69   44.76   41.22
5S, S, H, 11           1   29.78   51.19   50.28   28.31
6C, S, H, 10           1   96.89   96.89   50.48   49.52
6S, S, D, 11           2   86.74   90.52   51.81   44.41
6S, S, H, 10           3   96.40   90.52   49.97   55.91
6S, S, H, 11           3   86.74   90.52   49.97   46.25

DECLARER, Board 1|17

Contract           Count Overall     Bid    Play
1H, E, D, 11           1   50.14   45.86   54.28
2NT, E, D, 7           1   25.06   27.35   47.71
2S, E, H, 9            1   42.49   46.77   45.72
2S, W, D, 10           2   46.61   44.57   52.03
2S, W, S, 9            1   42.28   44.57   47.70
3NT, E, D, 7           3    5.46    8.58   46.88
3NT, E, D, 8           1   24.18    8.58   65.60
3NT, E, S, 7           1    5.46    8.58   46.88
3NT, W, D, 7           1    5.32    5.32   50.00
3S, E, D, 9            1   42.49   46.77   45.72
3S, W, D, 9            1   42.28   43.68   48.60
4H, E, D, 10           2   68.33   56.84   61.49
4H, E, D, 9            3   25.41   56.84   18.57
4H, W, D, 9            1   24.91   24.91   50.00
4S, E, D, 10           9   68.49   64.48   54.01
4S, E, D, 11           6   92.51   64.48   78.03
4S, E, D, 9            5   25.56   64.48   11.09
4S, E, H, 10           1   68.49   64.48   54.01
4S, E, H, 11           2   92.51   64.48   78.03
4S, E, S, 10           2   68.49   64.48   54.01
4S, W, C, 10           2   68.07   48.18   69.89
4S, W, D, 10           4   68.07   48.18   69.89
4S, W, D, 8            1    6.14   48.18    7.96
4S, W, D, 9            4   25.35   48.18   27.17
4S, W, S, 10           1   68.07   48.18   69.89
6H, E, D, 11           1   24.29    8.42   65.86

DEFENDER, Board 1|17

Contract           Count Overall     Bid    Lead Restdef
1H, E, D, 11           1   49.86   54.14   50.87   44.85
2NT, E, D, 7           1   74.94   72.65   50.82   51.47
2S, E, H, 9            1   57.51   53.23   50.28   54.00
2S, W, D, 10           2   53.39   55.43   50.99   46.98
2S, W, S, 9            1   57.72   55.43   50.71   51.58
3NT, E, D, 7           3   94.54   91.42   50.34   52.78
3NT, E, D, 8           1   75.82   91.42   50.34   34.06
3NT, E, S, 7           1   94.54   91.42   54.20   48.92
3NT, W, D, 7           1   94.68   94.68   50.93   49.07
3S, E, D, 9            1   57.51   53.23   51.03   53.25
3S, W, D, 9            1   57.72   56.32   51.28   50.12
4H, E, D, 10           2   31.67   43.16   50.33   38.19
4H, E, D, 9            3   74.59   43.16   50.33   81.10
4H, W, D, 9            1   75.09   75.09   51.23   48.77
4S, E, D, 10           9   31.51   35.52   51.57   44.42
4S, E, D, 11           6    7.49   35.52   51.57   20.40
4S, E, D, 9            5   74.44   35.52   51.57   87.34
4S, E, H, 10           1   31.51   35.52   44.52   51.47
4S, E, H, 11           2    7.49   35.52   44.52   27.45
4S, E, S, 10           2   31.51   35.52   46.06   49.93
4S, W, C, 10           2   31.93   51.82   29.76   50.35
4S, W, D, 10           4   31.93   51.82   53.74   26.37
4S, W, D, 8            1   93.86   51.82   53.74   88.31
4S, W, D, 9            4   74.65   51.82   53.74   69.09
4S, W, S, 10           1   31.93   51.82   52.13   27.98
6H, E, D, 11           1   75.71   91.58   50.40   33.73

DECLARER, Board 1|18

Contract           Count Overall     Bid    Play
1NT, E, C, 6           1   93.89   93.89   50.00
1S, E, C, 8            1   97.79   93.19   54.59
1S, N, D, 7            1    8.97    8.97   50.00
2H, S, D, 10           2   55.95   53.21   52.74
2H, S, D, 9            1   34.06   53.21   30.84
2H, S, H, 10           1   55.95   53.21   52.74
2NT, N, S, 11          1   66.73   66.73   50.00
2S, E, C, 6            4   85.61   83.48   52.14
2S, W, C, 5            1   59.82   72.50   37.32
2S, W, C, 6            1   85.17   72.50   62.68
2SX, E, C, 5           1   19.27   35.65   33.62
2SX, E, C, 6           1   29.07   35.65   43.42
2SX, E, D, 6           1   29.07   35.65   43.42
2SX, E, H, 7           1   84.89   35.65   99.24
3C, N, C, 12           3   55.51   36.66   68.85
3C, N, D, 10           2   26.60   36.66   39.94
3C, N, D, 9            1   20.35   36.66   33.69
3C, S, D, 10           3   26.38   26.38   50.00
3D, E, S, 6            1   59.38   59.38   50.00
3D, W, C, 6            1   59.38   59.38   50.00
3D, W, D, 6            1   59.38   59.38   50.00
3DX, W, H, 6           1   18.51   18.51   50.00
3H, N, D, 10           1   56.06   56.06   50.00
3H, S, D, 10           3   55.95   53.21   52.74
3NT, N, S, 11          1   91.15   91.15   50.00
3S, E, C, 5            1   35.36   59.93   25.43
3S, E, C, 6            2   59.38   59.93   49.45
3S, E, C, 7            1   84.89   59.93   74.96
3SX, E, C, 5           1    3.55   20.29   33.25
3SX, E, C, 6           5   18.51   20.29   48.21
3SX, E, D, 6           1   18.51   20.29   48.21
3SX, E, S, 6           2   18.51   20.29   48.21
4C, N, D, 10           2   26.60   34.56   42.04
4H, S, D, 10           1   89.40   78.66   60.73
4HX, N, D, 10          2   93.78   93.78   50.00
4SX, E, C, 6           1    2.78    4.95   47.84
4SX, N, D, 7           1    0.00    0.00   50.00
5C, S, D, 10           1    2.77    2.77   50.00
5DX, W, C, 6           1    0.11    0.11   50.00

DEFENDER, Board 1|18

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 6           1    6.11    6.11   49.15   50.85
1S, E, C, 8            1    2.21    6.81   49.72   45.69
1S, N, D, 7            1   91.03   91.03   51.95   48.05
2H, S, D, 10           2   44.05   46.79   50.83   46.43
2H, S, D, 9            1   65.94   46.79   50.83   68.32
2H, S, H, 10           1   44.05   46.79   47.95   49.31
2NT, N, S, 11          1   33.27   33.27   50.07   49.93
2S, E, C, 6            4   14.39   16.52   50.87   46.99
2S, W, C, 5            1   40.18   27.50   50.13   62.55
2S, W, C, 6            1   14.83   27.50   50.13   37.19
2SX, E, C, 5           1   80.73   64.35   49.88   66.50
2SX, E, C, 6           1   70.93   64.35   49.88   56.70
2SX, E, D, 6           1   70.93   64.35   54.95   51.63
2SX, E, H, 7           1   15.11   64.35   -0.32   51.08
3C, N, C, 12           3   44.49   63.34   31.40   49.75
3C, N, D, 10           2   73.40   63.34   59.99   50.06
3C, N, D, 9            1   79.65   63.34   59.99   56.31
3C, S, D, 10           3   73.62   73.62   48.31   51.69
3D, E, S, 6            1   40.62   40.62   50.61   49.39
3D, W, C, 6            1   40.62   40.62   50.61   49.39
3D, W, D, 6            1   40.62   40.62   50.61   49.39
3DX, W, H, 6           1   81.49   81.49   48.33   51.67
3H, N, D, 10           1   43.94   43.94   50.80   49.20
3H, S, D, 10           3   44.05   46.79   50.83   46.43
3NT, N, S, 11          1    8.85    8.85   49.92   50.08
3S, E, C, 5            1   64.64   40.07   51.60   72.97
3S, E, C, 6            2   40.62   40.07   51.60   48.95
3S, E, C, 7            1   15.11   40.07   51.60   23.45
3SX, E, C, 5           1   96.45   79.71   48.80   67.94
3SX, E, C, 6           5   81.49   79.71   48.80   52.98
3SX, E, D, 6           1   81.49   79.71   50.12   51.67
3SX, E, S, 6           2   81.49   79.71   50.12   51.67
4C, N, D, 10           2   73.40   65.44   61.40   46.56
4H, S, D, 10           1   10.60   21.34   51.47   37.80
4HX, N, D, 10          2    6.22    6.22   49.92   50.08
4SX, E, C, 6           1   97.22   95.05   50.22   51.94
4SX, N, D, 7           1  100.00  100.00   50.00   50.00
5C, S, D, 10           1   97.23   97.23   49.26   50.74
5DX, W, C, 6           1   99.89   99.89   50.11   49.89

DECLARER, Board 20|23

Contract           Count Overall     Bid    Play
2D, W, C, 9            1   63.77   63.77   50.00
3NT, E, H, 10          1   77.56   72.61   54.95
3NT, E, H, 11          1   90.35   72.61   67.74
3NT, E, H, 7           1   24.98   72.61    2.37
3NT, E, H, 9           5   69.03   72.61   46.42
3NT, W, C, 10          1   78.24   83.56   44.68
3NT, W, C, 11          1   90.67   83.56   57.11
3NT, W, C, 12          1   98.59   83.56   65.03
3NT, W, H, 10          1   78.24   83.56   44.68
3NT, W, S, 11          2   90.67   83.56   57.11
4NT, E, D, 10          1   77.56   60.73   66.83
4NT, E, D, 11          2   90.35   60.73   79.62
4NT, E, H, 11          1   90.35   60.73   79.62
4NT, E, H, 9           8   48.16   60.73   37.44
4NT, E, S, 11          1   90.35   60.73   79.62
4NT, W, S, 11          1   90.67   80.72   59.95
5NT, W, C, 11          1   90.67   68.84   71.83
6C, W, S, 9            1    8.37    8.37   50.00
6D, E, C, 10           1   24.17   24.17   50.00
6D, W, C, 10           3   23.95   20.22   53.73
6NT, E, D, 10          1   23.86   20.02   53.84
6NT, E, D, 11          2   47.19   20.02   77.17
6NT, E, H, 10          2   23.86   20.02   53.84
6NT, E, H, 7           1    0.42   20.02   30.40
6NT, E, H, 9           2    8.67   20.02   38.65
6NT, W, C, 10          3   24.55   37.44   37.10
6NT, W, C, 8           1    1.50   37.44   14.06
6NT, W, C, 9           1    9.09   37.44   21.65
6NT, W, H, 10          1   24.55   37.44   37.10
6NT, W, H, 11          4   47.52   37.44   60.07
6NT, W, S, 10          1   24.55   37.44   37.10
6NT, W, S, 11          3   47.52   37.44   60.07
6NT, W, S, 9           1    9.09   37.44   21.65

DEFENDER, Board 20|23

Contract           Count Overall     Bid    Lead Restdef
2D, W, C, 9            1   36.23   36.23   48.40   51.60
3NT, E, H, 10          1   22.44   27.39   53.83   41.22
3NT, E, H, 11          1    9.65   27.39   53.83   28.43
3NT, E, H, 7           1   75.02   27.39   53.83   93.80
3NT, E, H, 9           5   30.97   27.39   53.83   49.75
3NT, W, C, 10          1   21.76   16.44   54.42   50.90
3NT, W, C, 11          1    9.33   16.44   54.42   38.47
3NT, W, C, 12          1    1.41   16.44   54.42   30.55
3NT, W, H, 10          1   21.76   16.44   47.31   58.01
3NT, W, S, 11          2    9.33   16.44   47.27   45.62
4NT, E, D, 10          1   22.44   39.27   24.47   58.70
4NT, E, D, 11          2    9.65   39.27   24.47   45.91
4NT, E, H, 11          1    9.65   39.27   57.74   12.64
4NT, E, H, 9           8   51.84   39.27   57.74   54.83
4NT, E, S, 11          1    9.65   39.27   20.37   50.00
4NT, W, S, 11          1    9.33   19.28   47.06   42.99
5NT, W, C, 11          1    9.33   31.16   62.50   15.66
6C, W, S, 9            1   91.63   91.63   51.35   48.65
6D, E, C, 10           1   75.83   75.83   51.36   48.64
6D, W, C, 10           3   76.05   79.78   51.36   44.91
6NT, E, D, 10          1   76.14   79.98   29.67   66.49
6NT, E, D, 11          2   52.81   79.98   29.67   43.16
6NT, E, H, 10          2   76.14   79.98   57.66   38.50
6NT, E, H, 7           1   99.58   79.98   57.66   61.94
6NT, E, H, 9           2   91.33   79.98   57.66   53.69
6NT, W, C, 10          3   75.45   62.56   54.30   58.59
6NT, W, C, 8           1   98.50   62.56   54.30   81.64
6NT, W, C, 9           1   90.91   62.56   54.30   74.05
6NT, W, H, 10          1   75.45   62.56   47.09   65.80
6NT, W, H, 11          4   52.48   62.56   47.09   42.84
6NT, W, S, 10          1   75.45   62.56   46.87   66.02
6NT, W, S, 11          3   52.48   62.56   46.87   43.05
6NT, W, S, 9           1   90.91   62.56   46.87   81.48

DECLARER, Board 20|24

Contract           Count Overall     Bid    Play
1H, N, H, 6            1   22.06   22.06   50.00
1NT, W, C, 7           1   80.11   83.42   46.69
1NT, W, C, 8           1   90.34   83.42   56.92
1NTX, N, S, 6          1   14.82   14.82   50.00
1SX, S, H, 6           1   14.82   14.82   50.00
2C, W, H, 6            1   30.29   30.29   50.00
2CX, N, C, 7           1   14.82   14.82   50.00
2CX, N, H, 7           1   14.82   14.82   50.00
2CX, N, S, 7           1   14.82   14.82   50.00
2H, E, S, 7            1   62.26   62.26   50.00
2NT, E, H, 8           1   90.44   67.49   72.95
2NT, E, S, 7           1   62.44   67.49   44.95
2SX, S, H, 6           2    5.70    5.70   50.00
3D, E, S, 6            1    6.66    6.66   50.00
3NT, E, C, 7           1   30.47   42.05   38.42
3NT, E, D, 8           1   61.85   42.05   69.81
3NT, E, H, 7           1   30.47   42.05   38.42
3NT, E, H, 8           6   61.85   42.05   69.81
3NT, E, H, 9           2   97.63   42.05  105.58
3NT, E, S, 6           6    7.31   42.05   15.27
3NT, E, S, 7           4   30.47   42.05   38.42
3NT, E, S, 8           1   61.85   42.05   69.81
3NT, W, C, 7           6   30.59   43.34   37.25
3NT, W, C, 8           1   61.76   43.34   68.42
3NT, W, C, 9           1   97.59   43.34  104.25
3NT, W, D, 7           4   30.59   43.34   37.25
3NT, W, D, 8           2   61.76   43.34   68.42
3NT, W, H, 7           2   30.59   43.34   37.25
3NT, W, H, 8           2   61.76   43.34   68.42
3NT, W, S, 6           1    7.49   43.34   14.15
3NT, W, S, 8           1   61.76   43.34   68.42
3NTX, W, H, 8          1   29.79   14.71   65.08

DEFENDER, Board 20|24

Contract           Count Overall     Bid    Lead Restdef
1H, N, H, 6            1   77.94   77.94   49.26   50.74
1NT, W, C, 7           1   19.89   16.58   50.95   52.36
1NT, W, C, 8           1    9.66   16.58   50.95   42.13
1NTX, N, S, 6          1   85.18   85.18   49.03   50.97
1SX, S, H, 6           1   85.18   85.18   49.03   50.97
2C, W, H, 6            1   69.71   69.71   49.58   50.42
2CX, N, C, 7           1   85.18   85.18   49.03   50.97
2CX, N, H, 7           1   85.18   85.18   49.03   50.97
2CX, N, S, 7           1   85.18   85.18   49.03   50.97
2H, E, S, 7            1   37.74   37.74   49.97   50.03
2NT, E, H, 8           1    9.56   32.51   29.74   47.31
2NT, E, S, 7           1   37.56   32.51   68.66   36.39
2SX, S, H, 6           2   94.30   94.30   49.56   50.44
3D, E, S, 6            1   93.34   93.34   50.51   49.49
3NT, E, C, 7           1   69.53   57.95   61.34   50.23
3NT, E, D, 8           1   38.15   57.95   29.76   50.43
3NT, E, H, 7           1   69.53   57.95   25.73   85.85
3NT, E, H, 8           6   38.15   57.95   25.73   54.46
3NT, E, H, 9           2    2.37   57.95   25.73   18.69
3NT, E, S, 6           6   92.69   57.95   70.99   63.74
3NT, E, S, 7           4   69.53   57.95   70.99   40.58
3NT, E, S, 8           1   38.15   57.95   70.99    9.20
3NT, W, C, 7           6   69.41   56.66   49.57   63.18
3NT, W, C, 8           1   38.24   56.66   49.57   32.01
3NT, W, C, 9           1    2.41   56.66   49.57   -3.82
3NT, W, D, 7           4   69.41   56.66   52.11   60.64
3NT, W, D, 8           2   38.24   56.66   52.11   29.47
3NT, W, H, 7           2   69.41   56.66   43.69   69.06
3NT, W, H, 8           2   38.24   56.66   43.69   37.89
3NT, W, S, 6           1   92.51   56.66   59.13   76.72
3NT, W, S, 8           1   38.24   56.66   59.13   22.45
3NTX, W, H, 8          1   70.21   85.29   46.29   38.63

DECLARER, Board 21|25

Contract           Count Overall     Bid    Play
2H, N, C, 8            1   38.80   39.29   49.51
2H, N, C, 9            1   48.19   39.29   58.90
2H, N, D, 8            1   38.80   39.29   49.51
2H, N, H, 7            1   24.25   39.29   34.96
2H, N, H, 8            1   38.80   39.29   49.51
2H, N, H, 9            7   48.19   39.29   58.90
2H, N, S, 6            1   15.69   39.29   26.39
2H, N, S, 7            2   24.25   39.29   34.96
2H, S, S, 6            1   14.86   14.86   50.00
2HX, N, D, 8           1   95.84   77.43   68.41
2NTX, W, D, 5          1    0.88    6.22   44.66
2S, W, C, 6            2   36.14   56.88   29.25
2S, W, C, 7            5   69.33   56.88   62.45
2S, W, D, 7            1   69.33   56.88   62.45
3C, S, D, 7            1   14.86   14.86   50.00
3CX, S, D, 7           2    3.82    3.82   50.00
3DX, N, D, 8           1   14.64   12.10   52.54
3DX, N, S, 7           1    4.48   12.10   42.38
3DX, N, S, 8           2   14.64   12.10   52.54
3DX, S, C, 8           1   14.86   14.86   50.00
3HX, N, S, 8           1   15.07   51.11   13.96
3HX, S, D, 6           1    0.05    0.05   50.00
3NT, E, C, 7           1   35.15   23.57   61.58
3NT, E, H, 5           1    6.86   23.57   33.29
3NT, E, H, 6           1   17.12   23.57   43.55
3NT, E, H, 7           1   35.15   23.57   61.58
3NT, N, C, 6           1    7.53    7.53   50.00
3NT, W, C, 6           2   16.90   17.70   49.20
3NT, W, D, 6           4   16.90   17.70   49.20
3NT, W, D, 7           1   34.80   17.70   67.10
3NT, W, H, 6           1   16.90   17.70   49.20
3NTX, W, D, 6          1    0.09    0.32   49.76
3S, W, C, 6            1   17.45   28.58   38.87
3S, W, C, 7            4   35.26   28.58   56.68
3S, W, D, 6            3   17.45   28.58   38.87

DEFENDER, Board 21|25

Contract           Count Overall     Bid    Lead Restdef
2H, N, C, 8            1   61.20   60.71   44.12   56.37
2H, N, C, 9            1   51.81   60.71   44.12   46.98
2H, N, D, 8            1   61.20   60.71   48.94   51.55
2H, N, H, 7            1   75.75   60.71   43.19   71.85
2H, N, H, 8            1   61.20   60.71   43.19   57.30
2H, N, H, 9            7   51.81   60.71   43.19   47.91
2H, N, S, 6            1   84.31   60.71   63.20   60.41
2H, N, S, 7            2   75.75   60.71   63.20   51.84
2H, S, S, 6            1   85.14   85.14   49.95   50.05
2HX, N, D, 8           1    4.16   22.57   30.94   50.65
2NTX, W, D, 5          1   99.12   93.78   48.62   56.72
2S, W, C, 6            2   63.86   43.12   47.45   73.29
2S, W, C, 7            5   30.67   43.12   47.45   40.10
2S, W, D, 7            1   30.67   43.12   63.68   23.87
3C, S, D, 7            1   85.14   85.14   49.95   50.05
3CX, S, D, 7           2   96.18   96.18   50.31   49.69
3DX, N, D, 8           1   85.36   87.90   47.19   50.27
3DX, N, S, 7           1   95.52   87.90   50.99   56.63
3DX, N, S, 8           2   85.36   87.90   50.99   46.47
3DX, S, C, 8           1   85.14   85.14   49.95   50.05
3HX, N, S, 8           1   84.93   48.89   95.63   40.42
3HX, S, D, 6           1   99.95   99.95   50.05   49.95
3NT, E, C, 7           1   64.85   76.43   38.48   49.94
3NT, E, H, 5           1   93.14   76.43   54.56   62.15
3NT, E, H, 6           1   82.88   76.43   54.56   51.88
3NT, E, H, 7           1   64.85   76.43   54.56   33.86
3NT, N, C, 6           1   92.47   92.47   50.52   49.48
3NT, W, C, 6           2   83.10   82.30   51.04   49.76
3NT, W, D, 6           4   83.10   82.30   50.03   50.77
3NT, W, D, 7           1   65.20   82.30   50.03   32.87
3NT, W, H, 6           1   83.10   82.30   51.04   49.76
3NTX, W, D, 6          1   99.91   99.68   49.20   51.03
3S, W, C, 6            1   82.55   71.42   48.10   63.03
3S, W, C, 7            4   64.74   71.42   48.10   45.22
3S, W, D, 6            3   82.55   71.42   57.31   53.82

DECLARER, Board 21|26

Contract           Count Overall     Bid    Play
2H, S, S, 10           1   89.99   87.42   52.57
3H, S, C, 8            1   63.74   78.17   35.57
3H, S, S, 8            2   63.74   78.17   35.57
3H, S, S, 9            1   87.93   78.17   59.76
3NT, S, S, 6           1    3.51    3.51   50.00
3SX, W, H, 9           1   98.25   98.25   50.00
4H, N, D, 9            1   62.64   36.25   76.40
4H, N, S, 8            2   23.05   36.25   36.80
4H, S, H, 10           1   94.38   49.69   94.68
4H, S, H, 9            1   62.95   49.69   63.26
4H, S, S, 10           3   94.38   49.69   94.68
4H, S, S, 8           18   23.27   49.69   23.58
4H, S, S, 9           23   62.95   49.69   63.26
pass                   2   85.33   85.33   50.00

DEFENDER, Board 21|26

Contract           Count Overall     Bid    Lead Restdef
2H, S, S, 10           1   10.01   12.58   46.70   50.73
3H, S, C, 8            1   36.26   21.83   65.89   48.54
3H, S, S, 8            2   36.26   21.83   48.86   65.57
3H, S, S, 9            1   12.07   21.83   48.86   41.39
3NT, S, S, 6           1   96.49   96.49   51.75   48.25
3SX, W, H, 9           1    1.75    1.75   48.25   51.75
4H, N, D, 9            1   37.36   63.75   23.97   49.64
4H, N, S, 8            2   76.95   63.75   66.07   47.13
4H, S, H, 10           1    5.62   50.31   19.87   35.45
4H, S, H, 9            1   37.05   50.31   19.87   66.87
4H, S, S, 10           3    5.62   50.31   52.03    3.29
4H, S, S, 8           18   76.73   50.31   52.03   74.39
4H, S, S, 9           23   37.05   50.31   52.03   34.71
pass                   2   14.67   14.67   50.00   50.00

DECLARER, Board 22|27

Contract           Count Overall     Bid    Play
2DX, S, D, 6           1   12.16   12.16   50.00
2H, S, H, 7            1   22.81   22.81   50.00
2NT, W, D, 7           1   73.68   61.42   62.27
2SX, S, D, 6           1   12.16   12.16   50.00
2SX, S, H, 6           1   12.16   12.16   50.00
3C, E, D, 8            1   74.00   74.00   50.00
3D, N, C, 7            2   19.80   19.30   50.50
3D, N, D, 7            1   19.80   19.30   50.50
3DX, N, S, 6           1    5.14    9.97   45.17
3DX, N, S, 7           2   11.90    9.97   51.93
3H, W, S, 8            1   74.00   74.00   50.00
3NT, E, D, 6           2   20.40   30.38   40.02
3NT, E, D, 7           1   50.34   30.38   69.96
3NT, W, D, 4           1    2.79   38.00   14.79
3NT, W, D, 5           4    7.22   38.00   19.22
3NT, W, D, 6           7   20.56   38.00   32.56
3NT, W, D, 7          22   50.61   38.00   62.61
3NT, W, S, 6           1   20.56   38.00   32.56
3NTX, W, D, 6          1    0.00    0.03   49.97
3SX, S, C, 6           1    4.51    4.51   50.00
3SX, S, H, 6           1    4.51    4.51   50.00
4CX, N, H, 5           1    0.00    0.00   50.00
4DX, N, S, 6           1    1.75    3.54   48.21
4NT, W, D, 7           2   19.79   14.59   55.20

DEFENDER, Board 22|27

Contract           Count Overall     Bid    Lead Restdef
2DX, S, D, 6           1   87.84   87.84   49.87   50.13
2H, S, H, 7            1   77.19   77.19   50.00   50.00
2NT, W, D, 7           1   26.32   38.58   49.94   37.79
2SX, S, D, 6           1   87.84   87.84   49.87   50.13
2SX, S, H, 6           1   87.84   87.84   49.87   50.13
3C, E, D, 8            1   26.00   26.00   50.31   49.69
3D, N, C, 7            2   80.20   80.70   50.00   49.50
3D, N, D, 7            1   80.20   80.70   50.00   49.50
3DX, N, S, 6           1   94.86   90.03   51.20   53.63
3DX, N, S, 7           2   88.10   90.03   51.20   46.87
3H, W, S, 8            1   26.00   26.00   50.31   49.69
3NT, E, D, 6           2   79.60   69.62   49.97   60.01
3NT, E, D, 7           1   49.66   69.62   49.97   30.07
3NT, W, D, 4           1   97.21   62.00   49.58   85.62
3NT, W, D, 5           4   92.78   62.00   49.58   81.19
3NT, W, D, 6           7   79.44   62.00   49.58   67.85
3NT, W, D, 7          22   49.39   62.00   49.58   37.80
3NT, W, S, 6           1   79.44   62.00   67.82   49.62
3NTX, W, D, 6          1  100.00   99.97   48.89   51.13
3SX, S, C, 6           1   95.49   95.49   49.25   50.75
3SX, S, H, 6           1   95.49   95.49   49.25   50.75
4CX, N, H, 5           1  100.00  100.00   50.00   50.00
4DX, N, S, 6           1   98.25   96.46   50.04   51.75
4NT, W, D, 7           2   80.21   85.41   49.80   45.00

DECLARER, Board 22|28

Contract           Count Overall     Bid    Play
2H, E, C, 9            1   33.85   40.14   43.71
2S, E, C, 10           3   71.93   55.97   65.96
2S, E, C, 9            1   34.21   55.97   28.24
2S, E, D, 10           1   71.93   55.97   65.96
2S, W, H, 10           1   72.01   59.44   62.57
2S, W, H, 9            1   34.29   59.44   24.85
2S, W, S, 9            1   34.29   59.44   24.85
3C, S, C, 10           1   93.71   93.71   50.00
3DX, N, S, 10          1  100.00  100.00   50.00
3H, E, C, 10           1   71.57   40.14   81.43
3H, E, C, 9            3   33.85   40.14   43.71
3H, E, H, 9            1   33.85   40.14   43.71
3S, E, C, 10           8   71.93   55.97   65.96
3S, E, C, 9            7   34.21   55.97   28.24
3S, E, D, 9            1   34.21   55.97   28.24
3S, E, H, 10           2   71.93   55.97   65.96
3S, W, C, 10           2   72.01   59.44   62.57
3S, W, C, 9            2   34.29   59.44   24.85
3S, W, H, 10           6   72.01   59.44   62.57
3S, W, H, 9            1   34.29   59.44   24.85
3S, W, S, 9            1   34.29   59.44   24.85
3SX, E, C, 9           1  100.00  100.00   50.00
4C, N, H, 10           1   93.71   93.71   50.00
4D, N, H, 10           2   93.57   92.15   51.42
4D, N, S, 10           2   93.57   92.15   51.42
4D, N, S, 9            1   85.07   92.15   42.91
4S, E, C, 10           1   95.99   61.22   84.76
4S, E, C, 9            1   13.82   61.22    2.60
4S, W, C, 10           1   96.06   68.68   77.39
4S, W, D, 10           2   96.06   68.68   77.39

DEFENDER, Board 22|28

Contract           Count Overall     Bid    Lead Restdef
2H, E, C, 9            1   66.15   59.86   49.96   56.32
2S, E, C, 10           3   28.07   44.03   52.46   31.58
2S, E, C, 9            1   65.79   44.03   52.46   69.30
2S, E, D, 10           1   28.07   44.03   54.22   29.82
2S, W, H, 10           1   27.99   40.56   46.96   40.47
2S, W, H, 9            1   65.71   40.56   46.96   78.19
2S, W, S, 9            1   65.71   40.56   76.98   48.17
3C, S, C, 10           1    6.29    6.29   49.85   50.15
3DX, N, S, 10          1    0.00    0.00   50.43   49.57
3H, E, C, 10           1   28.43   59.86   49.96   18.61
3H, E, C, 9            3   66.15   59.86   49.96   56.32
3H, E, H, 9            1   66.15   59.86   57.68   48.61
3S, E, C, 10           8   28.07   44.03   52.46   31.58
3S, E, C, 9            7   65.79   44.03   52.46   69.30
3S, E, D, 9            1   65.79   44.03   54.22   67.54
3S, E, H, 10           2   28.07   44.03   34.92   49.12
3S, W, C, 10           2   27.99   40.56   53.82   33.61
3S, W, C, 9            2   65.71   40.56   53.82   71.32
3S, W, H, 10           6   27.99   40.56   46.96   40.47
3S, W, H, 9            1   65.71   40.56   46.96   78.19
3S, W, S, 9            1   65.71   40.56   76.98   48.17
3SX, E, C, 9           1    0.00    0.00   50.00   50.00
4C, N, H, 10           1    6.29    6.29   49.85   50.15
4D, N, H, 10           2    6.43    7.85   48.29   50.29
4D, N, S, 10           2    6.43    7.85   50.26   48.32
4D, N, S, 9            1   14.93    7.85   50.26   56.82
4S, E, C, 10           1    4.01   38.78   53.49   11.75
