DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
1NT, N, D, 6           5   -0.56   -0.56   -0.00
3S, W, C, 7            1   -0.65   -0.42   -0.23
4D, S, H, 8            2   -4.39   -2.68   -1.71
4S, E, D, 7            1   -1.90   -1.68   -0.22

DEFENDER, Board 2|8

Contract           Count Overall     Bid    Lead Restdef
1NTX, W, C, 5          1    5.21    5.21    0.00    0.00
2NT, S, H, 10          1   -2.73   -0.62    0.25   -2.36
2NT, S, H, 8           1   -1.21   -0.62    0.25   -0.84
2NT, S, H, 9           2   -1.90   -0.62    0.25   -1.53
2NT, S, S, 10          2   -2.73   -0.62   -0.12   -1.99
2NT, S, S, 12          1   -4.09   -0.62   -0.12   -3.35
2NT, S, S, 9           1   -1.90   -0.62   -0.12   -1.15
2S, E, C, 7            2   -0.86   -1.49   -1.18    1.81
2S, E, C, 8            4   -4.48   -1.49   -1.18   -1.81
2S, E, D, 7            7   -0.86   -1.49    0.63    0.00
2S, W, C, 7            8   -0.86   -1.41   -0.10    0.66
2S, W, C, 8            2   -4.48   -1.41   -0.10   -2.96
2S, W, D, 7            1   -0.86   -1.41    0.56    0.00
2S, W, H, 7            1   -0.86   -1.41    0.56    0.00
3C, N, D, 9            1   -0.79   -0.79    0.00    0.00
3D, N, H, 10           1   -1.32    0.92    0.00   -2.25
3D, N, H, 8            1    3.17    0.92    0.00    2.25
3D, S, C, 9            1   -0.79    0.70   -1.49    0.00
3D, S, D, 9            1   -0.79    0.70   -1.49    0.00
3D, S, H, 10           2   -1.32    0.70    0.72   -2.75
3D, S, H, 7            1    4.39    0.70    0.72    2.96
3D, S, H, 8            2    3.17    0.70    0.72    1.74
3D, S, H, 9            2   -0.79    0.70    0.72   -2.22
3D, S, S, 10           1   -1.32    0.70   -1.76   -0.27
3D, S, S, 9            1   -0.79    0.70   -1.76    0.27
3DX, E, D, 7           1    5.21    5.21    0.00    0.00
3NT, N, H, 8           1    3.17    0.22    2.95    0.00
3NT, N, S, 10          1   -7.92    0.22   -1.47   -6.67
3NT, N, S, 6           1    5.42    0.22   -1.47    6.67
3NT, S, H, 7           2    4.39   -3.11    2.05    5.45
3NT, S, H, 8           1    3.17   -3.11    2.05    4.23
3NT, S, S, 10          2   -7.92   -3.11   -1.03   -3.79
3NT, S, S, 5           1    6.52   -3.11   -1.03   10.66
3NT, S, S, 7           2    4.39   -3.11   -1.03    8.53
3NT, S, S, 9           1   -7.30   -3.11   -1.03   -3.16
3NTX, S, S, 10         1  -11.13   -3.56   -1.39   -6.18
3NTX, S, S, 7          1    8.31   -3.56   -1.39   13.27
3NTX, S, S, 9          2   -9.88   -3.56   -1.39   -4.93
3S, E, C, 7            2    0.65    0.39   -0.49    0.75
3S, E, D, 7            6    0.65    0.39    0.26    0.00
3S, E, H, 7            1    0.65    0.39    0.26    0.00
3S, W, C, 7            1    0.65    0.42   -0.04    0.27
4D, S, H, 8            2    4.39    2.68    0.28    1.43
4S, E, D, 7            1    1.90    1.68    0.22    0.00

DECLARER, Board 2|9

Contract           Count Overall     Bid    Play
2S, N, D, 9            1    6.31    6.31   -0.00
2S, S, D, 8            1    5.39    6.26   -0.87
2S, S, D, 9            1    6.31    6.26    0.06
3H, E, S, 10           1    0.60    0.85   -0.25
3H, W, S, 11           1    1.49    1.49   -0.00
3NT, E, S, 6           1   -9.09   -9.09   -0.00
3S, S, D, 9            4    6.31    6.06    0.25
4C, S, D, 9            1    2.27    2.27   -0.00
4H, E, S, 10           8    8.79    8.94   -0.15
4H, E, S, 11           1    9.34    8.94    0.39
4HX, E, S, 10          1   10.55   11.10   -0.56
4HX, E, S, 11          3   12.55   11.10    1.44
4S, N, D, 9            1    2.27    2.27   -0.00
4S, S, D, 9           23    2.27    2.18    0.09
4SX, N, D, 9           2    0.77    0.77   -0.00
4SX, S, D, 8           2   -3.39    0.51   -3.90
4SX, S, D, 9          18    0.77    0.51    0.25
5C, N, D, 8            1   -0.49    0.89   -1.38
5C, S, D, 9            2    0.77    0.77   -0.00
5CX, N, H, 10          1    0.77   -3.14    3.91
5HX, E, C, 10          1   -7.29   -2.09   -5.20
5HX, E, S, 10          2   -7.29   -2.09   -5.20
5HX, E, S, 11          1   11.43   -2.09   13.52

DEFENDER, Board 2|9

Contract           Count Overall     Bid    Lead Restdef
2S, N, D, 9            1   -6.31   -6.31    0.00    0.00
2S, S, D, 8            1   -5.39   -6.26    0.00    0.87
2S, S, D, 9            1   -6.31   -6.26    0.00   -0.06
3H, E, S, 10           1   -0.60   -0.85   -0.01    0.26
3H, W, S, 11           1   -1.49   -1.49    0.00    0.00
3NT, E, S, 6           1    9.09    9.09    0.00    0.00
3S, S, D, 9            4   -6.31   -6.06    0.00   -0.25
4C, S, D, 9            1   -2.27   -2.27    0.00    0.00
4H, E, S, 10           8   -8.79   -8.94   -0.01    0.16
4H, E, S, 11           1   -9.34   -8.94   -0.01   -0.39
4HX, E, S, 10          1  -10.55  -11.10   -0.03    0.59
4HX, E, S, 11          3  -12.55  -11.10   -0.03   -1.41
4S, N, D, 9            1   -2.27   -2.27    0.00    0.00
4S, S, D, 9           23   -2.27   -2.18    0.00   -0.09
4SX, N, D, 9           2   -0.77   -0.77    0.00    0.00
4SX, S, D, 8           2    3.39   -0.51    0.00    3.90
4SX, S, D, 9          18   -0.77   -0.51    0.00   -0.25
5C, N, D, 8            1    0.49   -0.89    1.38    0.00
5C, S, D, 9            2   -0.77   -0.77    0.00    0.00
5CX, N, H, 10          1   -0.77    3.14   -3.91    0.00
5HX, E, C, 10          1    7.29    2.09    5.20    0.00
5HX, E, S, 10          2    7.29    2.09   -0.31    5.50
5HX, E, S, 11          1  -11.43    2.09   -0.31  -13.21

DECLARER, Board 3|11

Contract           Count Overall     Bid    Play
3NT, N, C, 10          2    0.10    0.54   -0.43
3NT, N, D, 11          2    1.12    0.54    0.58
3NT, N, S, 10          2    0.10    0.54   -0.43
3NT, N, S, 11          1    1.12    0.54    0.58
3NT, S, C, 10          2    0.10    0.09    0.01
3NT, S, C, 11          4    1.12    0.09    1.03
3NT, S, C, 9           1   -0.88    0.09   -0.97
3NT, S, D, 10          5    0.10    0.09    0.01
3NT, S, D, 11         15    1.12    0.09    1.03
3NT, S, D, 9           1   -0.88    0.09   -0.97
3NT, S, H, 10          1    0.10    0.09    0.01
3NT, S, H, 11          2    1.12    0.09    1.03
3NT, S, S, 10         26    0.10    0.09    0.01
3NT, S, S, 11          1    1.12    0.09    1.03
3NT, S, S, 8           1  -10.19    0.09  -10.29
3NT, S, S, 9          11   -0.88    0.09   -0.97
4S, S, D, 9            1  -10.19  -10.19   -0.00

DEFENDER, Board 3|11

Contract           Count Overall     Bid    Lead Restdef
3NT, N, C, 10          2   -0.10   -0.54    0.43    0.00
3NT, N, D, 11          2   -1.12   -0.54   -0.58    0.00
3NT, N, S, 10          2   -0.10   -0.54    0.10    0.34
3NT, N, S, 11          1   -1.12   -0.54    0.10   -0.68
3NT, S, C, 10          2   -0.10   -0.09   -0.45    0.44
3NT, S, C, 11          4   -1.12   -0.09   -0.45   -0.58
3NT, S, C, 9           1    0.88   -0.09   -0.45    1.42
3NT, S, D, 10          5   -0.10   -0.09   -0.69    0.68
3NT, S, D, 11         15   -1.12   -0.09   -0.69   -0.34
3NT, S, D, 9           1    0.88   -0.09   -0.69    1.66
3NT, S, H, 10          1   -0.10   -0.09   -0.69    0.68
3NT, S, H, 11          2   -1.12   -0.09   -0.69   -0.34
3NT, S, S, 10         26   -0.10   -0.09    0.50   -0.52
3NT, S, S, 11          1   -1.12   -0.09    0.50   -1.53
3NT, S, S, 8           1   10.19   -0.09    0.50    9.78
3NT, S, S, 9          11    0.88   -0.09    0.50    0.47
4S, S, D, 9            1   10.19   10.19    0.00    0.00

DECLARER, Board 3|12

Contract           Count Overall     Bid    Play
1H, N, C, 7            1    8.17    8.17   -0.00
1NT, W, C, 9           1   -3.66   -3.63   -0.04
1NTX, S, S, 4          1  -10.00  -10.00   -0.00
2NT, E, H, 9           1   -3.66   -4.41    0.75
2NT, W, H, 9           2   -3.66   -3.63   -0.04
2S, E, C, 7            1   -7.82   -6.24   -1.58
2S, E, H, 8            1   -4.66   -6.24    1.58
3NT, E, D, 8           4   -7.82   -3.94   -3.87
3NT, E, D, 9           2    2.17   -3.94    6.11
3NT, E, H, 7           2   -9.03   -3.94   -5.08
3NT, E, H, 8           6   -7.82   -3.94   -3.87
3NT, E, H, 9           5    2.17   -3.94    6.11
3NT, W, C, 9           6    2.17    2.09    0.08
3NT, W, H, 10          6    2.99    2.09    0.90
3NT, W, H, 9          24    2.17    2.09    0.08
3NT, W, S, 10          1    2.99    2.09    0.90
3NT, W, S, 8           1   -7.82    2.09   -9.91
3NT, W, S, 9          13    2.17    2.09    0.08

DEFENDER, Board 3|12

Contract           Count Overall     Bid    Lead Restdef
1H, N, C, 7            1   -8.17   -8.17    0.00    0.00
1NT, W, C, 9           1    3.66    3.63    0.04    0.00
1NTX, S, S, 4          1   10.00   10.00    0.00    0.00
2NT, E, H, 9           1    3.66    4.41    0.13   -0.88
2NT, W, H, 9           2    3.66    3.63   -0.03    0.07
2S, E, C, 7            1    7.82    6.24    1.58    0.00
2S, E, H, 8            1    4.66    6.24   -1.58    0.00
3NT, E, D, 8           4    7.82    3.94    0.55    3.33
3NT, E, D, 9           2   -2.17    3.94    0.55   -6.66
3NT, E, H, 7           2    9.03    3.94   -0.23    5.32
3NT, E, H, 8           6    7.82    3.94   -0.23    4.11
3NT, E, H, 9           5   -2.17    3.94   -0.23   -5.88
3NT, W, C, 9           6   -2.17   -2.09   -0.08    0.00
3NT, W, H, 10          6   -2.99   -2.09   -0.23   -0.66
3NT, W, H, 9          24   -2.17   -2.09   -0.23    0.15
3NT, W, S, 10          1   -2.99   -2.09    0.53   -1.43
3NT, W, S, 8           1    7.82   -2.09    0.53    9.38
3NT, W, S, 9          13   -2.17   -2.09    0.53   -0.61

DECLARER, Board 3|13

Contract           Count Overall     Bid    Play
3NT, E, D, 10          1    0.48    0.19    0.29
3NT, E, H, 10         39    0.48    0.19    0.29
3NT, E, H, 11          2    1.48    0.19    1.29
3NT, E, H, 9          19   -0.52    0.19   -0.71
3NT, E, S, 10          6    0.48    0.19    0.29
3NT, E, S, 9           4   -0.52    0.19   -0.71
3NT, W, H, 10          2    0.48    0.48   -0.00
3NT, W, H, 11          1    1.48    0.48    1.00
3NT, W, H, 9           1   -0.52    0.48   -1.00
4NT, E, H, 10          1    0.48   -3.40    3.89
5D, E, H, 11           1   -0.52   -0.52   -0.00
7DX, E, D, 11          1  -15.00  -15.00   -0.00

DEFENDER, Board 3|13

Contract           Count Overall     Bid    Lead Restdef
3NT, E, D, 10          1   -0.48   -0.19   -0.29    0.00
3NT, E, H, 10         39   -0.48   -0.19   -0.01   -0.28
3NT, E, H, 11          2   -1.48   -0.19   -0.01   -1.28
3NT, E, H, 9          19    0.52   -0.19   -0.01    0.72
3NT, E, S, 10          6   -0.48   -0.19    0.11   -0.40
3NT, E, S, 9           4    0.52   -0.19    0.11    0.60
3NT, W, H, 10          2   -0.48   -0.48    0.00    0.00
3NT, W, H, 11          1   -1.48   -0.48    0.00   -1.00
3NT, W, H, 9           1    0.52   -0.48    0.00    1.00
4NT, E, H, 10          1   -0.48    3.40   -0.10   -3.78
5D, E, H, 11           1    0.52    0.52    0.00    0.00
7DX, E, D, 11          1   15.00   15.00    0.00    0.00

DECLARER, Board 3|14

Contract           Count Overall     Bid    Play
2HX, S, S, 2           1  -14.16  -14.16   -0.00
3NT, E, D, 10          4    0.70    0.83   -0.13
3NT, E, D, 9           1   -0.23    0.83   -1.06
3NT, E, H, 10          1    0.70    0.83   -0.13
3NT, W, D, 10         32    0.70    0.45    0.25
3NT, W, D, 11          5    1.68    0.45    1.22
3NT, W, D, 9          24   -0.23    0.45   -0.69
3NT, W, S, 11          1    1.68    0.45    1.22
4H, W, D, 10           1    0.70    1.19   -0.49
4NT, E, C, 11          1    1.68   -0.35    2.02
4NT, W, D, 11          1    1.68   -3.12    4.80
5H, W, D, 11           1    1.68   -3.97    5.65
6C, W, H, 10           1  -10.58  -10.10   -0.48
6C, W, H, 11           1   -9.62  -10.10    0.48
6H, E, D, 10           1  -10.58  -10.10   -0.48
6H, E, D, 11           1   -9.62  -10.10    0.48
6NT, E, C, 11          1   -9.62  -10.35    0.73

DEFENDER, Board 3|14

Contract           Count Overall     Bid    Lead Restdef
2HX, S, S, 2           1   14.16   14.16    0.00    0.00
3NT, E, D, 10          4   -0.70   -0.83    0.31   -0.19
3NT, E, D, 9           1    0.23   -0.83    0.31    0.75
3NT, E, H, 10          1   -0.70   -0.83    0.13    0.00
3NT, W, D, 10         32   -0.70   -0.45    0.02   -0.27
3NT, W, D, 11          5   -1.68   -0.45    0.02   -1.24
3NT, W, D, 9          24    0.23   -0.45    0.02    0.67
3NT, W, S, 11          1   -1.68   -0.45   -1.22    0.00
4H, W, D, 10           1   -0.70   -1.19    0.00    0.49
4NT, E, C, 11          1   -1.68    0.35   -2.02    0.00
4NT, W, D, 11          1   -1.68    3.12    0.08   -4.88
5H, W, D, 11           1   -1.68    3.97    0.00   -5.65
6C, W, H, 10           1   10.58   10.10    0.00    0.48
6C, W, H, 11           1    9.62   10.10    0.00   -0.48
6H, E, D, 10           1   10.58   10.10    0.00    0.48
6H, E, D, 11           1    9.62   10.10    0.00   -0.48
6NT, E, C, 11          1    9.62   10.35   -0.73    0.00

DECLARER, Board 3|15

Contract           Count Overall     Bid    Play
1H, N, D, 9            1    3.70    3.04    0.66
1NT, N, S, 6           3   -2.38   -0.07   -2.30
1NT, N, S, 7           4    2.17   -0.07    2.24
1NT, S, S, 5           1   -4.77   -0.81   -3.96
1NT, S, S, 6           2   -2.38   -0.81   -1.57
1NT, S, S, 7           1    2.17   -0.81    2.98
2C, N, D, 9            1    2.69    2.69   -0.00
2C, S, S, 8            3    2.17    2.24   -0.07
2C, S, S, 9            1    2.69    2.24    0.45
2D, N, D, 8            1    2.17    2.82   -0.66
2D, S, C, 9            1    2.69    2.63    0.06
2D, S, S, 8            2    2.17    2.63   -0.46
2H, N, C, 9            1    3.70    3.04    0.66
2H, N, H, 8            1    2.69    3.04   -0.35
2H, N, S, 8           11    2.69    3.04   -0.35
2H, N, S, 9            4    3.70    3.04    0.66
2H, S, S, 7            1   -2.38    0.16   -2.53
2H, S, S, 8            1    2.69    0.16    2.53
2NT, N, H, 8           1    3.13   -2.84    5.97
2NT, N, S, 6           5   -4.77   -2.84   -1.92
2NT, N, S, 7           2   -2.38   -2.84    0.47
2NT, N, S, 8           1    3.13   -2.84    5.97
2NT, S, D, 9           1    3.78   -3.63    7.41
2NT, S, H, 7           1   -2.38   -3.63    1.25
2NT, S, S, 6           5   -4.77   -3.63   -1.14
2NT, S, S, 7           2   -2.38   -3.63    1.25
2S, E, C, 6            1   -2.51   -2.04   -0.47
2S, E, C, 7            1   -1.10   -2.04    0.94
2S, E, S, 6            1   -2.51   -2.04   -0.47
2S, W, C, 6            2   -2.51   -1.81   -0.70
2S, W, C, 7            2   -1.10   -1.81    0.70
3C, S, D, 8            1   -2.38   -1.65   -0.72
3C, S, S, 8            2   -2.38   -1.65   -0.72
3D, N, S, 10           1    3.48    0.55    2.93
3D, S, S, 10           1    3.48    0.35    3.13
3H, N, S, 8            1   -2.38   -0.25   -2.13
3H, N, S, 9            1    3.70   -0.25    3.95
3NT, N, D, 8           1   -2.38   -5.58    3.20
3NT, N, H, 6           1   -6.97   -5.58   -1.39
3NT, N, S, 6           2   -6.97   -5.58   -1.39
3NT, N, S, 7           1   -4.77   -5.58    0.82
3NT, S, S, 6           1   -6.97   -5.16   -1.82

DEFENDER, Board 3|15

Contract           Count Overall     Bid    Lead Restdef
1H, N, D, 9            1   -3.70   -3.04   -0.66    0.00
1NT, N, S, 6           3    2.38    0.07    0.23    2.07
1NT, N, S, 7           4   -2.17    0.07    0.23   -2.47
1NT, S, S, 5           1    4.77    0.81    0.63    3.33
1NT, S, S, 6           2    2.38    0.81    0.63    0.94
1NT, S, S, 7           1   -2.17    0.81    0.63   -3.61
2C, N, D, 9            1   -2.69   -2.69    0.00    0.00
2C, S, S, 8            3   -2.17   -2.24   -0.01    0.09
2C, S, S, 9            1   -2.69   -2.24   -0.01   -0.43
2D, N, D, 8            1   -2.17   -2.82    0.66    0.00
2D, S, C, 9            1   -2.69   -2.63   -0.06    0.00
2D, S, S, 8            2   -2.17   -2.63    0.02    0.44
2H, N, C, 9            1   -3.70   -3.04   -0.66    0.00
2H, N, H, 8            1   -2.69   -3.04    0.35    0.00
2H, N, S, 8           11   -2.69   -3.04    0.06    0.30
2H, N, S, 9            4   -3.70   -3.04    0.06   -0.72
2H, S, S, 7            1    2.38   -0.16    0.00    2.53
2H, S, S, 8            1   -2.69   -0.16    0.00   -2.53
2NT, N, H, 8           1   -3.13    2.84   -2.02   -3.95
2NT, N, S, 6           5    4.77    2.84    0.56    1.37
2NT, N, S, 7           2    2.38    2.84    0.56   -1.02
2NT, N, S, 8           1   -3.13    2.84    0.56   -6.53
2NT, S, D, 9           1   -3.78    3.63   -7.41    0.00
2NT, S, H, 7           1    2.38    3.63   -1.25    0.00
2NT, S, S, 6           5    4.77    3.63    0.72    0.41
2NT, S, S, 7           2    2.38    3.63    0.72   -1.98
2S, E, C, 6            1    2.51    2.04   -0.23    0.70
2S, E, C, 7            1    1.10    2.04   -0.23   -0.70
2S, E, S, 6            1    2.51    2.04    0.47    0.00
2S, W, C, 6            2    2.51    1.81    0.00    0.70
2S, W, C, 7            2    1.10    1.81    0.00   -0.70
3C, S, D, 8            1    2.38    1.65    0.72    0.00
3C, S, S, 8            2    2.38    1.65   -0.12    0.84
3D, N, S, 10           1   -3.48   -0.55   -2.93    0.00
3D, S, S, 10           1   -3.48   -0.35    0.78   -3.90
3H, N, S, 8            1    2.38    0.25    0.34    1.79
3H, N, S, 9            1   -3.70    0.25    0.34   -4.29
3NT, N, D, 8           1    2.38    5.58   -3.20    0.00
3NT, N, H, 6           1    6.97    5.58   -0.91    2.30
3NT, N, S, 6           2    6.97    5.58    0.28    1.11
3NT, N, S, 7           1    4.77    5.58    0.28   -1.09
3NT, S, S, 6           1    6.97    5.16    1.40    0.41

DECLARER, Board 3|16

Contract           Count Overall     Bid    Play
2H, W, S, 10           2   -6.55   -6.57    0.02
2S, S, H, 5            1    6.84    6.24    0.60
3D, N, H, 7            1    7.83    7.05    0.78
3DX, N, H, 5           1   -7.29    0.16   -7.45
3DX, N, H, 6           3   -0.65    0.16   -0.81
3DX, N, H, 7           4    3.95    0.16    3.79
3DX, N, S, 6           1   -0.65    0.16   -0.81
3H, E, H, 10           1   -6.55   -6.59    0.04
3H, E, S, 10           1   -6.55   -6.59    0.04
3H, E, S, 9            1   -6.86   -6.59   -0.27
3H, W, D, 10           2   -6.55   -6.57    0.02
3H, W, H, 10           1   -6.55   -6.57    0.02
3H, W, S, 10           5   -6.55   -6.57    0.02
3H, W, S, 9            2   -6.86   -6.57   -0.29
3HX, W, C, 10          1    9.01    8.76    0.26
3NT, E, D, 11          1    4.06   -0.94    5.00
3NT, E, D, 8           1  -10.27   -0.94   -9.33
3NT, E, S, 10          1    3.39   -0.94    4.33
3NT, S, H, 5           1    5.64    5.64   -0.00
3S, S, H, 4            1    5.14    5.39   -0.25
4D, N, H, 6            1    5.64    6.06   -0.42
4DX, N, H, 5           1  -11.38   -5.20   -6.17
4H, E, C, 10           1    3.31    1.37    1.94
4H, E, S, 10           3    3.31    1.37    1.94
4H, W, C, 10           5    3.31    2.29    1.03
4H, W, D, 10           4    3.31    2.29    1.03
4H, W, S, 10          29    3.31    2.29    1.03
4H, W, S, 9            2  -10.27    2.29  -12.56

DEFENDER, Board 3|16

Contract           Count Overall     Bid    Lead Restdef
2H, W, S, 10           2    6.55    6.57    0.01   -0.03
2S, S, H, 5            1   -6.84   -6.24    0.00   -0.60
3D, N, H, 7            1   -7.83   -7.05   -0.02   -0.76
3DX, N, H, 5           1    7.29   -0.16   -0.07    7.52
3DX, N, H, 6           3    0.65   -0.16   -0.07    0.88
3DX, N, H, 7           4   -3.95   -0.16   -0.07   -3.71
3DX, N, S, 6           1    0.65   -0.16    0.81    0.00
3H, E, H, 10           1    6.55    6.59   -0.04    0.00
3H, E, S, 10           1    6.55    6.59    0.02   -0.06
3H, E, S, 9            1    6.86    6.59    0.02    0.25
3H, W, D, 10           2    6.55    6.57   -0.02    0.00
3H, W, H, 10           1    6.55    6.57   -0.02    0.00
3H, W, S, 10           5    6.55    6.57    0.01   -0.03
3H, W, S, 9            2    6.86    6.57    0.01    0.28
3HX, W, C, 10          1   -9.01   -8.76   -0.26    0.00
3NT, E, D, 11          1   -4.06    0.94    2.16   -7.17
3NT, E, D, 8           1   10.27    0.94    2.16    7.17
3NT, E, S, 10          1   -3.39    0.94   -4.33    0.00
3NT, S, H, 5           1   -5.64   -5.64    0.00    0.00
3S, S, H, 4            1   -5.14   -5.39    0.00    0.25
4D, N, H, 6            1   -5.64   -6.06   -0.04    0.46
4DX, N, H, 5           1   11.38    5.20   -0.19    6.36
4H, E, C, 10           1   -3.31   -1.37   -1.94    0.00
4H, E, S, 10           3   -3.31   -1.37    0.78   -2.72
4H, W, C, 10           5   -3.31   -2.29   -1.03    0.00
4H, W, D, 10           4   -3.31   -2.29   -1.03    0.00
4H, W, S, 10          29   -3.31   -2.29    0.33   -1.36
4H, W, S, 9            2   10.27   -2.29    0.33   12.23

DECLARER, Board 3|17

Contract           Count Overall     Bid    Play
2NT, W, H, 10          1   -5.84   -5.94    0.09
2S, E, C, 10           1   -5.87   -5.87   -0.00
2S, E, H, 10           1   -5.87   -5.87   -0.00
3NT, E, C, 10          1    0.42    0.43   -0.01
3NT, E, C, 9           3   -0.55    0.43   -0.97
3NT, E, D, 10          2    0.42    0.43   -0.01
3NT, E, D, 11          1    1.43    0.43    1.00
3NT, E, H, 10          3    0.42    0.43   -0.01
3NT, E, H, 9           1   -0.55    0.43   -0.97
3NT, E, S, 10          4    0.42    0.43   -0.01
3NT, E, S, 11          3    1.43    0.43    1.00
3NT, E, S, 12          1    2.42    0.43    1.99
3NT, E, S, 9           2   -0.55    0.43   -0.97
3NT, W, H, 10         40    0.42    0.29    0.12
3NT, W, H, 11          2    1.43    0.29    1.13
3NT, W, H, 9          10   -0.55    0.29   -0.84
3NT, W, S, 11          1    1.43    0.29    1.13
4D, W, H, 10           1   -6.88   -6.88   -0.00

DEFENDER, Board 3|17

Contract           Count Overall     Bid    Lead Restdef
2NT, W, H, 10          1    5.84    5.94    0.01   -0.10
2S, E, C, 10           1    5.87    5.87    0.00    0.00
2S, E, H, 10           1    5.87    5.87    0.00    0.00
3NT, E, C, 10          1   -0.42   -0.43    0.73   -0.72
3NT, E, C, 9           3    0.55   -0.43    0.73    0.24
3NT, E, D, 10          2   -0.42   -0.43   -0.32    0.34
3NT, E, D, 11          1   -1.43   -0.43   -0.32   -0.68
3NT, E, H, 10          3   -0.42   -0.43    0.25   -0.24
3NT, E, H, 9           1    0.55   -0.43    0.25    0.72
3NT, E, S, 10          4   -0.42   -0.43   -0.30    0.31
3NT, E, S, 11          3   -1.43   -0.43   -0.30   -0.70
3NT, E, S, 12          1   -2.42   -0.43   -0.30   -1.69
3NT, E, S, 9           2    0.55   -0.43   -0.30    1.27
3NT, W, H, 10         40   -0.42   -0.29    0.02   -0.14
3NT, W, H, 11          2   -1.43   -0.29    0.02   -1.16
3NT, W, H, 9          10    0.55   -0.29    0.02    0.82
3NT, W, S, 11          1   -1.43   -0.29   -1.13    0.00
4D, W, H, 10           1    6.88    6.88    0.00    0.00

DECLARER, Board 3|18

Contract           Count Overall     Bid    Play
1NT, N, S, 8           1    3.47    3.73   -0.26
1NT, S, D, 8           2    3.47    3.43    0.04
1NT, S, D, 9           3    3.91    3.43    0.48
1NT, S, S, 7           3    2.53    3.43   -0.89
1NT, S, S, 8           2    3.47    3.43    0.04
2C, E, C, 5            1   -3.91   -3.91   -0.00
2DX, W, C, 7           1   -2.68   -2.68   -0.00
2H, S, C, 8            1    2.99    2.74    0.25
2NT, N, S, 8           1    3.47    3.73   -0.26
2NT, S, S, 8           3    3.47    2.89    0.58
2S, E, C, 7            1   -1.56   -0.30   -1.26
2S, E, C, 9            1    2.77   -0.30    3.07
2S, E, H, 7            2   -1.56   -0.30   -1.26
2S, E, S, 11           1    4.39   -0.30    4.69
2S, E, S, 5            1   -3.91   -0.30   -3.61
2S, E, S, 7            2   -1.56   -0.30   -1.26
2S, E, S, 8            2    1.95   -0.30    2.25
2S, W, H, 8            1    1.95    1.07    0.88
2SX, W, S, 7           1   -2.68    6.45   -9.12
3C, S, D, 6            1   -6.45   -1.73   -4.72
3D, S, S, 5            1   -8.29   -8.29   -0.00
3H, S, D, 8            5   -1.94   -1.20   -0.73
3H, S, D, 9            2    3.88   -1.20    5.08
3H, S, S, 8            2   -1.94   -1.20   -0.73
3NT, N, S, 9           3   11.01    5.83    5.18
3NT, S, D, 8           2   -1.94   -0.16   -1.78
3NT, S, S, 8           8   -1.94   -0.16   -1.78
3NT, S, S, 9           1   11.01   -0.16   11.17
3NTX, S, S, 8          1   -4.39   -2.38   -2.01
3S, W, H, 8            2   -1.56   -1.84    0.28
4C, S, H, 9            1   -1.94   -5.11    3.18
4H, N, H, 7            1   -6.45   -3.44   -3.01
4H, N, H, 9            2   -1.94   -3.44    1.51
4H, S, D, 7            2   -6.45   -4.16   -2.29
4H, S, D, 8            9   -4.39   -4.16   -0.23
4H, S, D, 9            1   -1.94   -4.16    2.23
4H, S, S, 8            2   -4.39   -4.16   -0.23
4H, S, S, 9            1   -1.94   -4.16    2.23
4SX, E, D, 6           1  -12.94   -7.48   -5.46

DEFENDER, Board 3|18

Contract           Count Overall     Bid    Lead Restdef
1NT, N, S, 8           1   -3.47   -3.73    0.00    0.26
1NT, S, D, 8           2   -3.47   -3.43   -0.23    0.19
1NT, S, D, 9           3   -3.91   -3.43   -0.23   -0.25
1NT, S, S, 7           3   -2.53   -3.43    0.09    0.80
1NT, S, S, 8           2   -3.47   -3.43    0.09   -0.13
2C, E, C, 5            1    3.91    3.91    0.00    0.00
2DX, W, C, 7           1    2.68    2.68    0.00    0.00
2H, S, C, 8            1   -2.99   -2.74   -0.25    0.00
2NT, N, S, 8           1   -3.47   -3.73    0.00    0.26
2NT, S, S, 8           3   -3.47   -2.89    0.30   -0.88
2S, E, C, 7            1    1.56    0.30   -0.91    2.16
2S, E, C, 9            1   -2.77    0.30   -0.91   -2.16
2S, E, H, 7            2    1.56    0.30    1.26    0.00
2S, E, S, 11           1   -4.39    0.30   -0.51   -4.18
2S, E, S, 5            1    3.91    0.30   -0.51    4.12
2S, E, S, 7            2    1.56    0.30   -0.51    1.77
2S, E, S, 8            2   -1.95    0.30   -0.51   -1.74
2S, W, H, 8            1   -1.95   -1.07   -0.88    0.00
2SX, W, S, 7           1    2.68   -6.45    9.12    0.00
3C, S, D, 6            1    6.45    1.73    4.72    0.00
3D, S, S, 5            1    8.29    8.29    0.00    0.00
3H, S, D, 8            5    1.94    1.20    0.07    0.66
3H, S, D, 9            2   -3.88    1.20    0.07   -5.16
3H, S, S, 8            2    1.94    1.20   -0.43    1.16
3NT, N, S, 9           3  -11.01   -5.83    0.00   -5.18
3NT, S, D, 8           2    1.94    0.16   -3.77    5.55
3NT, S, S, 8           8    1.94    0.16    1.47    0.31
3NT, S, S, 9           1  -11.01    0.16    1.47  -12.64
3NTX, S, S, 8          1    4.39    2.38    1.99    0.03
3S, W, H, 8            2    1.56    1.84   -0.28    0.00
4C, S, H, 9            1    1.94    5.11   -3.18    0.00
