DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2CX, W, C, 3           1  -12.00  -12.00    0.00
2HX, S, C, 5           1   -1.84   -1.84    0.00
2NT, S, S, 4           1    4.29    4.29    0.00
2S, W, C, 11           1   -4.30   -4.85    0.55
2S, W, D, 10           2   -4.99   -4.85   -0.14
2S, W, H, 10           2   -4.99   -4.85   -0.14
3C, N, C, 5            1    4.28    3.99    0.30
3C, N, D, 4            2    3.24    3.99   -0.75
3CX, N, H, 6           1   -1.97   -8.22    6.25
3CX, N, S, 5           1   -7.46   -8.22    0.76
3D, E, C, 10           1   -6.08   -5.64   -0.44
3D, E, C, 11           1   -5.49   -5.64    0.15
3D, E, H, 11           1   -5.49   -5.64    0.15
3D, W, C, 11           2   -5.48   -5.48    0.00
3D, W, D, 11           1   -5.48   -5.48    0.00
3D, W, H, 11           5   -5.48   -5.48    0.00
3H, N, S, 5            1    4.28    3.76    0.52
3HX, N, S, 4           1  -11.23   -9.36   -1.87
3NT, E, C, 10          1    4.44    2.17    2.27
3NT, E, C, 11          1    4.95    2.17    2.77
3NT, E, C, 8           1   -9.66    2.17  -11.84
3NT, E, H, 10          1    4.44    2.17    2.27
5DX, W, C, 11          1    6.56    6.56    0.00

DEFENDER, Board 2|16

Contract           Count Overall     Bid    Lead Restdef
1NTX, E, H, 10         1   -7.02   -6.24   -0.82    0.04
1NTX, S, S, 4          1    1.84    1.84    0.06   -0.06
1NTXX, E, C, 10        1  -16.68  -16.12    0.39   -0.95
2C, S, C, 5            1   -5.47   -4.99    0.01   -0.49
2CX, N, C, 3           1   11.13    3.76    1.28    6.10
2CX, N, C, 5           1    1.88    3.76    1.28   -3.16
2CX, N, D, 6           1   -2.14    3.76    0.49   -6.39
2CX, N, S, 4           4    7.36    3.76    0.16    3.44
2CX, N, S, 5           3    1.88    3.76    0.16   -2.04
2CX, N, S, 6           1   -2.14    3.76    0.16   -6.06
2CX, S, C, 3           1   11.13    4.15   -0.25    7.23
2CX, S, C, 4           3    7.37    4.15   -0.25    3.46
2CX, S, C, 5           5    1.89    4.15   -0.25   -2.02
2CX, S, C, 6           1   -2.14    4.15   -0.25   -6.04
2CX, S, S, 4           1    7.37    4.15    3.31   -0.09
2D, E, D, 11           1    5.49    5.64   -0.21    0.06
2D, W, C, 11           2    5.48    5.48   -0.06    0.06
2D, W, D, 11           3    5.48    5.48   -0.06    0.06
2D, W, H, 11           2    5.48    5.48   -0.06    0.06
2HX, S, C, 5           1    1.84    1.84    0.06   -0.06
2NT, S, S, 4           1   -4.29   -4.29    0.07   -0.07
2S, W, C, 11           1    4.30    4.85   -0.63    0.08
2S, W, D, 10           2    4.99    4.85    0.07    0.07
2S, W, H, 10           2    4.99    4.85    0.07    0.07
3C, N, C, 5            1   -4.28   -3.99    0.45   -0.74
3C, N, D, 4            2   -3.24   -3.99    0.08    0.67
3CX, N, H, 6           1    1.97    8.22   -6.31    0.06
3CX, N, S, 5           1    7.46    8.22    0.33   -1.09
3D, E, C, 10           1    6.08    5.64    0.09    0.35
3D, E, C, 11           1    5.49    5.64    0.09   -0.23
3D, E, H, 11           1    5.49    5.64   -0.21    0.06
3D, W, C, 11           2    5.48    5.48   -0.06    0.06
3D, W, D, 11           1    5.48    5.48   -0.06    0.06
3D, W, H, 11           5    5.48    5.48   -0.06    0.06
3H, N, S, 5            1   -4.28   -3.76    0.07   -0.59
3HX, N, S, 4           1   11.23    9.36    0.03    1.85
3NT, E, C, 10          1   -4.44   -2.17    1.11   -3.37
3NT, E, C, 11          1   -4.95   -2.17    1.11   -3.88
3NT, E, C, 8           1    9.66   -2.17    1.11   10.73
3NT, E, H, 10          1   -4.44   -2.17   -2.34    0.07
5DX, W, C, 11          1   -6.56   -6.56   -0.04    0.04

DECLARER, Board 2|17

Contract           Count Overall     Bid    Play
2H, W, D, 12           1   -4.05   -4.55    0.50
3H, E, S, 11           1   -4.46   -4.46    0.00
3H, W, S, 11           3   -4.46   -4.55    0.09
3S, N, D, 8            2    7.64    7.64    0.00
3S, S, H, 8            1    7.64    7.64    0.00
4H, E, H, 11           2    1.71    1.71    0.00
4H, E, S, 11           3    1.71    1.71    0.00
4H, W, D, 11           4    1.70    1.42    0.28
4H, W, S, 10           4    0.84    1.42   -0.59
4H, W, S, 11          25    1.70    1.42    0.28
4H, W, S, 12           2    2.66    1.42    1.23
4H, W, S, 9            1   -9.41    1.42  -10.84
4HX, W, S, 11          1    7.20    6.73    0.47
4S, N, H, 8            1    6.56    6.56   -0.00
4SX, N, C, 8           1    2.16    2.16    0.00
4SX, N, D, 8           1    2.16    2.16    0.00
4SX, N, H, 8           1    2.16    2.16    0.00
4SX, S, C, 8           1    2.16    2.16    0.00
4SX, S, D, 8           1    2.16    2.16    0.00
4SX, S, H, 8           4    2.16    2.16    0.00
5H, W, S, 10           1   -9.43    0.26   -9.69
5H, W, S, 11           2    1.69    0.26    1.43
5HX, W, S, 11          1    6.36    4.27    2.09

DEFENDER, Board 2|17

Contract           Count Overall     Bid    Lead Restdef
2H, W, D, 12           1    4.05    4.55   -0.28   -0.23
3H, E, S, 11           1    4.46    4.46   -0.10    0.10
3H, W, S, 11           3    4.46    4.55   -0.09   -0.01
3S, N, D, 8            2   -7.64   -7.64    0.10   -0.10
3S, S, H, 8            1   -7.64   -7.64    0.10   -0.10
4H, E, H, 11           2   -1.71   -1.71   -0.10    0.10
4H, E, S, 11           3   -1.71   -1.71   -0.10    0.10
4H, W, D, 11           4   -1.70   -1.42   -0.58    0.30
4H, W, S, 10           4   -0.84   -1.42   -0.04    0.62
4H, W, S, 11          25   -1.70   -1.42   -0.04   -0.24
4H, W, S, 12           2   -2.66   -1.42   -0.04   -1.19
4H, W, S, 9            1    9.41   -1.42   -0.04   10.88
4HX, W, S, 11          1   -7.20   -6.73    0.07   -0.54
4S, N, H, 8            1   -6.56   -6.56    0.10   -0.10
4SX, N, C, 8           1   -2.16   -2.16    0.10   -0.10
4SX, N, D, 8           1   -2.16   -2.16    0.10   -0.10
4SX, N, H, 8           1   -2.16   -2.16    0.10   -0.10
4SX, S, C, 8           1   -2.16   -2.16    0.10   -0.10
4SX, S, D, 8           1   -2.16   -2.16    0.10   -0.10
4SX, S, H, 8           4   -2.16   -2.16    0.10   -0.10
5H, W, S, 10           1    9.43   -0.26    0.10    9.59
5H, W, S, 11           2   -1.69   -0.26    0.10   -1.53
5HX, W, S, 11          1   -6.36   -4.27    0.25   -2.34

DECLARER, Board 2|18

Contract           Count Overall     Bid    Play
3D, E, C, 9            1    3.47    3.47    0.00
3NT, W, C, 10          1    9.48    5.41    4.07
3NT, W, C, 8           1    0.28    5.41   -5.13
3NT, W, C, 9           1    9.33    5.41    3.92
3NT, W, H, 7           1   -1.38    5.41   -6.79
3NT, W, H, 9           1    9.33    5.41    3.92
3S, E, C, 7            1   -1.44    1.12   -2.57
3S, E, D, 7            2   -1.44    1.12   -2.57
3S, E, D, 9            1    4.34    1.12    3.22
3S, E, H, 8            1    0.21    1.12   -0.91
3S, E, S, 8            1    0.21    1.12   -0.91
4S, E, C, 8            2   -1.48   -0.61   -0.87
4S, E, D, 10           4    9.37   -0.61    9.98
4S, E, D, 7            7   -2.95   -0.61   -2.34
4S, E, D, 8           19   -1.48   -0.61   -0.87
4S, E, D, 9            9    0.18   -0.61    0.79
4S, E, H, 8            4   -1.48   -0.61   -0.87
4S, W, D, 10           1    9.40    0.89    8.51
4S, W, D, 7            1   -2.93    0.89   -3.82
4S, W, D, 8            1   -1.45    0.89   -2.34
4S, W, H, 8            1   -1.45    0.89   -2.34
4SX, E, D, 8           1   -5.95   -4.48   -1.47
4SX, E, H, 8           1   -5.95   -4.48   -1.47
4SX, E, H, 9           1   -1.54   -4.48    2.93

DEFENDER, Board 2|18

Contract           Count Overall     Bid    Lead Restdef
3D, E, C, 9            1   -3.47   -3.47    0.04   -0.04
3NT, W, C, 10          1   -9.48   -5.41   -0.96   -3.11
3NT, W, C, 8           1   -0.28   -5.41   -0.96    6.08
3NT, W, C, 9           1   -9.33   -5.41   -0.96   -2.97
3NT, W, H, 7           1    1.38   -5.41    1.49    5.30
3NT, W, H, 9           1   -9.33   -5.41    1.49   -5.41
3S, E, C, 7            1    1.44   -1.12    1.52    1.05
3S, E, D, 7            2    1.44   -1.12   -0.14    2.71
3S, E, D, 9            1   -4.34   -1.12   -0.14   -3.08
3S, E, H, 8            1   -0.21   -1.12    0.35    0.56
3S, E, S, 8            1   -0.21   -1.12    0.95   -0.04
4S, E, C, 8            2    1.48    0.61    1.44   -0.57
4S, E, D, 10           4   -9.37    0.61   -0.18   -9.80
4S, E, D, 7            7    2.95    0.61   -0.18    2.52
4S, E, D, 8           19    1.48    0.61   -0.18    1.05
4S, E, D, 9            9   -0.18    0.61   -0.18   -0.61
4S, E, H, 8            4    1.48    0.61    0.69    0.18
4S, W, D, 10           1   -9.40   -0.89   -0.75   -7.76
4S, W, D, 7            1    2.93   -0.89   -0.75    4.57
4S, W, D, 8            1    1.45   -0.89   -0.75    3.09
4S, W, H, 8            1    1.45   -0.89    2.43   -0.09
4SX, E, D, 8           1    5.95    4.48   -0.33    1.80
4SX, E, H, 8           1    5.95    4.48    0.90    0.57
4SX, E, H, 9           1    1.54    4.48    0.90   -3.83

DECLARER, Board 2|19

Contract           Count Overall     Bid    Play
4H, E, S, 10           2    9.47    6.01    3.46
4HX, E, D, 11          1   13.15    7.08    6.07
4S, N, D, 9            1   -1.33   -1.33    0.00
4S, S, D, 9            1   -1.24    3.46   -4.70
4S, S, H, 10           6    7.19    3.46    3.73
4S, S, H, 11           1    7.72    3.46    4.26
4S, S, H, 9            6   -1.24    3.46   -4.70
4SX, S, H, 10          4    9.83    4.46    5.37
4SX, S, H, 9           3   -2.35    4.46   -6.81
5H, E, D, 10           3   -1.22    2.29   -3.51
5H, E, D, 11           8    9.90    2.29    7.61
5H, E, D, 9            8   -3.02    2.29   -5.31
5H, E, H, 11           1    9.90    2.29    7.61
5H, E, S, 10           2   -1.22    2.29   -3.51
5HX, E, D, 10          2   -3.07    0.65   -3.72
5HX, E, D, 11          3   11.88    0.65   11.22
5HX, E, D, 9           1   -8.40    0.65   -9.06
5HX, E, S, 10          1   -3.07    0.65   -3.72
5HX, E, S, 9           3   -8.40    0.65   -9.06
5HX, W, D, 9           1   -8.53   -8.53    0.00
5S, S, H, 10           4   -1.34   -1.49    0.15
5S, S, H, 9            1   -2.43   -1.49   -0.94
5SX, S, S, 9           1   -5.51   -3.34   -2.17

DEFENDER, Board 2|19

Contract           Count Overall     Bid    Lead Restdef
4H, E, S, 10           2   -9.47   -6.01    0.81   -4.27
4HX, E, D, 11          1  -13.15   -7.08    0.08   -6.15
4S, N, D, 9            1    1.33    1.33   -0.33    0.33
4S, S, D, 9            1    1.24   -3.46    4.46    0.24
4S, S, H, 10           6   -7.19   -3.46   -0.60   -3.12
4S, S, H, 11           1   -7.72   -3.46   -0.60   -3.66
4S, S, H, 9            6    1.24   -3.46   -0.60    5.30
4SX, S, H, 10          4   -9.83   -4.46   -0.76   -4.60
4SX, S, H, 9           3    2.35   -4.46   -0.76    7.57
5H, E, D, 10           3    1.22   -2.29   -0.75    4.27
5H, E, D, 11           8   -9.90   -2.29   -0.75   -6.85
5H, E, D, 9            8    3.02   -2.29   -0.75    6.07
5H, E, H, 11           1   -9.90   -2.29   -7.50   -0.10
5H, E, S, 10           2    1.22   -2.29    4.55   -1.04
5HX, E, D, 10          2    3.07   -0.65   -1.16    4.88
5HX, E, D, 11          3  -11.88   -0.65   -1.16  -10.06
5HX, E, D, 9           1    8.40   -0.65   -1.16   10.22
5HX, E, S, 10          1    3.07   -0.65    6.02   -2.29
5HX, E, S, 9           3    8.40   -0.65    6.02    3.04
5HX, W, D, 9           1    8.53    8.53    0.14   -0.14
5S, S, H, 10           4    1.34    1.49   -0.41    0.25
5S, S, H, 9            1    2.43    1.49   -0.41    1.35
5SX, S, S, 9           1    5.51    3.34    1.85    0.32

DECLARER, Board 2|20

Contract           Count Overall     Bid    Play
2CX, E, S, 7           1    6.07    8.00   -1.93
2H, N, C, 10           1   -6.79   -6.73   -0.06
2S, W, H, 4            1    2.65    2.65    0.00
3C, E, C, 7            1    6.03    6.79   -0.76
3CX, E, C, 7           1    0.17    2.48   -2.31
4H, N, C, 10          33    2.39    1.45    0.94
4H, N, C, 11           4    3.29    1.45    1.83
4H, N, C, 9            2   -9.74    1.45  -11.19
4H, N, D, 10           3    2.39    1.45    0.94
4H, N, D, 9            2   -9.74    1.45  -11.19
4H, N, H, 10           1    2.39    1.45    0.94
4H, S, C, 10           3    2.36   -0.34    2.70
4H, S, C, 9            1   -9.77   -0.34   -9.44
4H, S, D, 9            1   -9.77   -0.34   -9.44
4H, S, H, 10           1    2.36   -0.34    2.70
4H, S, S, 10           2    2.36   -0.34    2.70
4S, N, C, 9            2   -9.92   -9.92    0.00
5C, E, H, 8            1    4.63    3.46    1.18
6CX, E, H, 8           1  -11.12  -12.73    1.61
6H, N, C, 11           1   -9.96  -11.15    1.19
6HX, S, S, 10          1  -13.96  -14.26    0.31

DEFENDER, Board 2|20

Contract           Count Overall     Bid    Lead Restdef
2CX, E, S, 7           1   -6.07   -8.00    1.97   -0.04
2H, N, C, 10           1    6.79    6.73   -0.01    0.06
2S, W, H, 4            1   -2.65   -2.65    0.04   -0.04
3C, E, C, 7            1   -6.03   -6.79    0.76   -0.00
3CX, E, C, 7           1   -0.17   -2.48    2.40   -0.09
4H, N, C, 10          33   -2.39   -1.45   -0.50   -0.43
4H, N, C, 11           4   -3.29   -1.45   -0.50   -1.33
4H, N, C, 9            2    9.74   -1.45   -0.50   11.70
4H, N, D, 10           3   -2.39   -1.45    3.97   -4.90
4H, N, D, 9            2    9.74   -1.45    3.97    7.23
4H, N, H, 10           1   -2.39   -1.45   -0.99    0.06
4H, S, C, 10           3   -2.36    0.34    0.32   -3.02
4H, S, C, 9            1    9.77    0.34    0.32    9.12
4H, S, D, 9            1    9.77    0.34    9.62   -0.18
4H, S, H, 10           1   -2.36    0.34   -2.78    0.08
4H, S, S, 10           2   -2.36    0.34   -2.78    0.08
4S, N, C, 9            2    9.92    9.92    0.03   -0.03
5C, E, H, 8            1   -4.63   -3.46   -1.19    0.02
6CX, E, H, 8           1   11.12   12.73   -1.60   -0.00
6H, N, C, 11           1    9.96   11.15   -0.16   -1.03
6HX, S, S, 10          1   13.96   14.26   -0.30   -0.01

DECLARER, Board 3|21

Contract           Count Overall     Bid    Play
3NT, N, C, 11          1    0.57    0.33    0.24
3NT, N, D, 11          2    0.57    0.33    0.24
3NT, N, H, 10          1   -0.42    0.33   -0.76
3NT, N, H, 11          2    0.57    0.33    0.24
3NT, N, S, 10         12   -0.42    0.33   -0.76
3NT, N, S, 11         16    0.57    0.33    0.24
3NT, N, S, 12          3    1.54    0.33    1.21
3NT, S, D, 11          1    0.57    0.41    0.16
3NT, S, D, 12          1    1.54    0.41    1.13
3NT, S, H, 10          3   -0.42    0.41   -0.83
3NT, S, H, 11          3    0.57    0.41    0.16
3NT, S, S, 10          6   -0.42    0.41   -0.83
3NT, S, S, 11          7    0.57    0.41    0.16
3NT, S, S, 12          4    1.54    0.41    1.13
4H, S, S, 9            1  -12.46  -12.46    0.00
6NT, N, C, 12          1   13.06   -9.90   22.96

DEFENDER, Board 3|21

Contract           Count Overall     Bid    Lead Restdef
3NT, N, C, 11          1   -0.57   -0.33   -0.38    0.15
3NT, N, D, 11          2   -0.57   -0.33    0.11   -0.35
3NT, N, H, 10          1    0.42   -0.33    0.44    0.31
3NT, N, H, 11          2   -0.57   -0.33    0.44   -0.68
3NT, N, S, 10         12    0.42   -0.33    0.40    0.36
3NT, N, S, 11         16   -0.57   -0.33    0.40   -0.64
3NT, N, S, 12          3   -1.54   -0.33    0.40   -1.61
3NT, S, D, 11          1   -0.57   -0.41   -0.31    0.14
3NT, S, D, 12          1   -1.54   -0.41   -0.31   -0.82
3NT, S, H, 10          3    0.42   -0.41    0.68    0.15
3NT, S, H, 11          3   -0.57   -0.41    0.68   -0.85
3NT, S, S, 10          6    0.42   -0.41    0.30    0.52
3NT, S, S, 11          7   -0.57   -0.41    0.30   -0.47
3NT, S, S, 12          4   -1.54   -0.41    0.30   -1.44
4H, S, S, 9            1   12.46   12.46    0.25   -0.25
6NT, N, C, 12          1  -13.06    9.90  -10.07  -12.89

DECLARER, Board 3|22

Contract           Count Overall     Bid    Play
3NT, N, C, 12          1    2.06    1.84    0.22
3NT, N, D, 11          2    1.59    1.84   -0.26
3NT, N, H, 11          1    1.59    1.84   -0.26
3NT, N, H, 12          1    2.06    1.84    0.22
3NT, S, D, 10          1    0.79    1.67   -0.88
3NT, S, D, 11         14    1.58    1.67   -0.09
3NT, S, D, 12          2    2.06    1.67    0.39
3NT, S, D, 9           1    0.33    1.67   -1.34
4NT, N, D, 12          1    2.06    1.84    0.22
4NT, S, D, 11          3    1.58    1.49    0.09
4NT, S, D, 12          1    2.06    1.49    0.56
4S, N, H, 12           1    2.06    2.06    0.00
4S, S, H, 11           1    1.58    1.58    0.00
5NT, N, D, 12          1    2.06    1.84    0.22
6C, S, D, 11           2   -7.87   -7.87    0.00
6NT, N, C, 12          2   10.08    1.85    8.23
6NT, N, D, 11          2   -7.75    1.85   -9.60
6NT, N, D, 12          1   10.08    1.85    8.23
6NT, N, H, 11          1   -7.75    1.85   -9.60
6NT, S, C, 12          3   10.04   -1.67   11.71
6NT, S, D, 10          2   -8.48   -1.67   -6.80
6NT, S, D, 11          9   -7.79   -1.67   -6.12
6NT, S, D, 12         10   10.04   -1.67   11.71
6S, S, D, 11           1   -7.87   -7.87    0.00

DEFENDER, Board 3|22

Contract           Count Overall     Bid    Lead Restdef
3NT, N, C, 12          1   -2.06   -1.84    1.26   -1.48
3NT, N, D, 11          2   -1.59   -1.84    1.54   -1.28
3NT, N, H, 11          1   -1.59   -1.84    1.59   -1.33
3NT, N, H, 12          1   -2.06   -1.84    1.59   -1.80
3NT, S, D, 10          1   -0.79   -1.67    1.51   -0.63
3NT, S, D, 11         14   -1.58   -1.67    1.51   -1.42
3NT, S, D, 12          2   -2.06   -1.67    1.51   -1.89
3NT, S, D, 9           1   -0.33   -1.67    1.51   -0.17
4NT, N, D, 12          1   -2.06   -1.84    1.54   -1.76
4NT, S, D, 11          3   -1.58   -1.49    1.51   -1.60
4NT, S, D, 12          1   -2.06   -1.49    1.51   -2.07
4S, N, H, 12           1   -2.06   -2.06    1.49   -1.49
4S, S, H, 11           1   -1.58   -1.58    1.48   -1.48
5NT, N, D, 12          1   -2.06   -1.84    1.54   -1.76
6C, S, D, 11           2    7.87    7.87    1.01   -1.01
6NT, N, C, 12          2  -10.08   -1.85   -7.34   -0.89
6NT, N, D, 11          2    7.75   -1.85    2.99    6.62
6NT, N, D, 12          1  -10.08   -1.85    2.99  -11.21
6NT, N, H, 11          1    7.75   -1.85    4.71    4.90
6NT, S, C, 12          3  -10.04    1.67  -10.86   -0.85
6NT, S, D, 10          2    8.48    1.67    1.81    4.99
6NT, S, D, 11          9    7.79    1.67    1.81    4.31
6NT, S, D, 12         10  -10.04    1.67    1.81  -13.53
6S, S, D, 11           1    7.87    7.87    1.01   -1.01

DECLARER, Board 3|23

Contract           Count Overall     Bid    Play
1H, S, D, 8            1    4.43    4.27    0.16
1NT, N, C, 5           2   -3.31   -0.07   -3.24
1NT, N, C, 6           4   -0.62   -0.07   -0.55
1NT, N, C, 7           5    4.01   -0.07    4.08
1NT, N, D, 5           3   -3.31   -0.07   -3.24
1NT, N, D, 6          11   -0.62   -0.07   -0.55
1NT, N, D, 7           1    4.01   -0.07    4.08
1NT, S, D, 5           1   -3.36   -3.36    0.00
1S, E, H, 4            1   -8.47   -8.47    0.00
2D, E, C, 9            1    0.75    0.82   -0.07
2H, N, C, 7            3   -0.59    1.75   -2.35
2H, N, C, 8            4    4.39    1.75    2.64
2H, N, D, 8            1    4.39    1.75    2.64
2H, N, S, 7            2   -0.59    1.75   -2.35
2H, S, C, 7            1   -0.58    2.41   -2.99
2H, S, D, 7            1   -0.58    2.41   -2.99
2S, N, C, 8            1    4.43    4.43    0.00
3D, E, C, 9            1    0.75    0.82   -0.07
3D, E, H, 9            4    0.75    0.82   -0.07
3D, E, S, 10           1    1.59    0.82    0.77
3D, E, S, 9            2    0.75    0.82   -0.07
3DX, E, H, 9           1   11.35   11.50   -0.14
3H, N, C, 7            2   -3.34   -2.08   -1.26
3H, N, C, 8            1   -0.66   -2.08    1.42
3H, N, H, 8            1   -0.66   -2.08    1.42
3H, N, S, 7            1   -3.34   -2.08   -1.26
3H, S, D, 8            1   -0.65   -1.72    1.07
3H, S, S, 8            1   -0.65   -1.72    1.07
4D, E, C, 9            1   -4.20   -3.72   -0.48
4D, E, H, 9            1   -4.20   -3.72   -0.48
4H, N, C, 7            1   -5.54   -4.52   -1.01
4H, N, C, 8            1   -3.39   -4.52    1.14

DEFENDER, Board 3|23

Contract           Count Overall     Bid    Lead Restdef
1H, S, D, 8            1   -4.43   -4.27   -0.04   -0.12
1NT, N, C, 5           2    3.31    0.07   -1.12    4.36
1NT, N, C, 6           4    0.62    0.07   -1.12    1.67
1NT, N, C, 7           5   -4.01    0.07   -1.12   -2.96
1NT, N, D, 5           3    3.31    0.07    0.76    2.48
1NT, N, D, 6          11    0.62    0.07    0.76   -0.21
1NT, N, D, 7           1   -4.01    0.07    0.76   -4.84
1NT, S, D, 5           1    3.36    3.36   -0.02    0.02
1S, E, H, 4            1    8.47    8.47    0.03   -0.03
2D, E, C, 9            1   -0.75   -0.82    0.11   -0.04
2H, N, C, 7            3    0.59   -1.75   -0.18    2.53
2H, N, C, 8            4   -4.39   -1.75   -0.18   -2.46
2H, N, D, 8            1   -4.39   -1.75   -2.72    0.08
2H, N, S, 7            2    0.59   -1.75    2.35   -0.00
2H, S, C, 7            1    0.58   -2.41    3.01   -0.01
2H, S, D, 7            1    0.58   -2.41   -0.37    3.36
2S, N, C, 8            1   -4.43   -4.43   -0.03    0.03
3D, E, C, 9            1   -0.75   -0.82    0.11   -0.04
3D, E, H, 9            4   -0.75   -0.82    0.11   -0.04
3D, E, S, 10           1   -1.59   -0.82   -0.18   -0.59
3D, E, S, 9            2   -0.75   -0.82   -0.18    0.25
3DX, E, H, 9           1  -11.35  -11.50    0.16   -0.02
3H, N, C, 7            2    3.34    2.08   -0.11    1.37
3H, N, C, 8            1    0.66    2.08   -0.11   -1.31
3H, N, H, 8            1    0.66    2.08   -1.48    0.06
3H, N, S, 7            1    3.34    2.08    1.26   -0.00
3H, S, D, 8            1    0.65    1.72   -0.21   -0.86
3H, S, S, 8            1    0.65    1.72   -1.13    0.05
4D, E, C, 9            1    4.20    3.72    0.52   -0.04
4D, E, H, 9            1    4.20    3.72    0.52   -0.04
4H, N, C, 7            1    5.54    4.52   -0.09    1.10
4H, N, C, 8            1    3.39    4.52   -0.09   -1.05

DECLARER, Board 3|24

Contract           Count Overall     Bid    Play
1NT, E, C, 7           1   -0.82   -0.82    0.00
1NT, E, H, 7           2   -0.82   -0.82    0.00
1NT, S, S, 5           1    0.12    1.01   -0.89
1NT, S, S, 6           1    1.89    1.01    0.89
1NT, W, D, 8           1    0.14   -0.33    0.47
1NT, W, S, 7           1   -0.81   -0.33   -0.47
2CX, S, C, 6           1   -4.75    0.12   -4.87
2S, W, C, 8            4    0.01    0.21   -0.21
2S, W, C, 9            4    0.97    0.21    0.76
2S, W, D, 8            1    0.01    0.21   -0.21
2S, W, S, 8           26    0.01    0.21   -0.21
2S, W, S, 9            5    0.97    0.21    0.76
3C, S, S, 7            3    0.10    0.04    0.06
3C, S, S, 8            2    1.88    0.04    1.84
3CX, S, S, 5           1  -11.92   -5.01   -6.90
3D, N, S, 5            1   -2.70    1.15   -3.85
3D, N, S, 7            2    0.12    1.15   -1.03
3D, N, S, 8            2    1.90    1.15    0.75
3D, N, S, 9            1    5.55    1.15    4.40
3HX, S, S, 7           1   -4.82   -4.82    0.00
3S, W, S, 8            2   -4.06   -2.99   -1.07
pass                   1    3.04    3.04    0.00

DEFENDER, Board 3|24

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 7           1    0.82    0.82    0.04   -0.04
1NT, E, H, 7           2    0.82    0.82    0.04   -0.04
1NT, S, S, 5           1   -0.12   -1.01   -0.05    0.94
1NT, S, S, 6           1   -1.89   -1.01   -0.05   -0.84
1NT, W, D, 8           1   -0.14    0.33   -0.43   -0.04
1NT, W, S, 7           1    0.81    0.33    0.52   -0.05
2CX, S, C, 6           1    4.75   -0.12    4.88   -0.01
2S, W, C, 8            4   -0.01   -0.21   -0.23    0.44
2S, W, C, 9            4   -0.97   -0.21   -0.23   -0.53
2S, W, D, 8            1   -0.01   -0.21    0.26   -0.05
2S, W, S, 8           26   -0.01   -0.21    0.11    0.10
2S, W, S, 9            5   -0.97   -0.21    0.11   -0.87
3C, S, S, 7            3   -0.10   -0.04   -0.24    0.18
3C, S, S, 8            2   -1.88   -0.04   -0.24   -1.60
3CX, S, S, 5           1   11.92    5.01   -0.66    7.56
3D, N, S, 5            1    2.70   -1.15   -0.07    3.91
3D, N, S, 7            2   -0.12   -1.15   -0.07    1.09
3D, N, S, 8            2   -1.90   -1.15   -0.07   -0.68
3D, N, S, 9            1   -5.55   -1.15   -0.07   -4.34
3HX, S, S, 7           1    4.82    4.82   -0.05    0.05
3S, W, S, 8            2    4.06    2.99    0.42    0.64
pass                   1   -3.04   -3.04    0.00    0.00

DECLARER, Board 3|25

Contract           Count Overall     Bid    Play
1NT, N, S, 7           1    1.56    1.56    0.00
1NT, S, S, 7           3    1.56    1.89   -0.33
1NT, S, S, 8           5    2.54    1.89    0.65
1S, W, S, 8            1    3.47    2.61    0.86
2C, S, C, 9            1    2.17    2.08    0.09
2C, S, D, 8            1    1.57    2.08   -0.51
2C, S, H, 9            1    2.17    2.08    0.09
2NT, N, S, 7           1   -1.88   -1.88    0.00
2NT, S, S, 7           6   -1.86   -0.41   -1.45
2S, E, S, 8            1    3.49    3.49    0.00
2S, W, C, 6            2   -4.38    0.83   -5.21
2S, W, C, 7            3   -1.80    0.83   -2.63
2S, W, C, 8            2    3.45    0.83    2.62
2S, W, S, 7            2   -1.80    0.83   -2.63
2S, W, S, 8            5    3.45    0.83    2.62
3C, S, C, 9            4    2.16    1.55    0.61
3C, S, D, 8            1   -1.83    1.55   -3.38
3C, S, D, 9            2    2.16    1.55    0.61
3C, S, H, 9            1    2.16    1.55    0.61
3C, S, S, 9            2    2.16    1.55    0.61
3D, N, D, 7            1   -3.29   -3.48    0.19
3D, N, S, 6            1   -4.41   -3.48   -0.93
3D, N, S, 7            3   -3.29   -3.48    0.19
3H, S, C, 7            1   -3.21    1.79   -5.00
3H, S, D, 8            1   -1.82    1.79   -3.62
3H, S, D, 9            1    3.02    1.79    1.23
3H, S, H, 9            3    3.02    1.79    1.23
3H, S, S, 9            3    3.02    1.79    1.23
3NT, N, D, 7           1   -3.29   -3.29    0.00
3NT, S, S, 7           1   -3.28   -2.82   -0.46
3NTX, N, S, 7          1   -7.61   -7.61    0.00
3S, W, C, 8            1   -1.87   -3.25    1.38
4D, N, S, 7            1   -4.44   -4.64    0.19

DEFENDER, Board 3|25

Contract           Count Overall     Bid    Lead Restdef
1NT, N, S, 7           1   -1.56   -1.56   -0.05    0.05
1NT, S, S, 7           3   -1.56   -1.89   -0.05    0.37
1NT, S, S, 8           5   -2.54   -1.89   -0.05   -0.60
1S, W, S, 8            1   -3.47   -2.61   -0.67   -0.20
2C, S, C, 9            1   -2.17   -2.08   -0.11    0.02
2C, S, D, 8            1   -1.57   -2.08    0.18    0.33
