DECLARER, Board 10|1

Contract           Count Overall     Bid    Play
2D, N, S, 7            1   35.92   35.92   50.00
5NT, E, D, 11          1   71.11   55.42   65.69
6H, E, D, 11           1    4.44    3.31   51.14
6NT, E, S, 11          1    4.44    3.91   50.53
pass                   2   90.00   90.00   50.00

DEFENDER, Board 34|6

Contract           Count Overall     Bid    Lead Restdef
3DX, N, C, 7           1   13.33   14.29   49.05   50.00
3NT, E, D, 11          1   28.89   37.78   41.11   50.00
3NT, E, H, 11          1   28.89   37.78   41.11   50.00
3NT, E, S, 10          4   66.67   37.78   51.90   76.98
3NT, E, S, 11          7   28.89   37.78   51.90   39.21
3NT, W, S, 10          1   66.67   65.19   50.00   51.48
3NT, W, S, 11          1   28.89   65.19   50.00   13.70
3NT, W, S, 6           1  100.00   65.19   50.00   84.81
4DX, S, H, 7           1   15.56   15.56   50.00   50.00
4H, E, D, 10           2   77.78   64.44   54.44   58.89
4H, E, S, 11           1   51.11   64.44   36.67   50.00
4H, W, S, 10           3   77.78   60.00   50.81   66.97
4H, W, S, 11           6   51.11   60.00   50.81   40.30
5DX, N, D, 6           1   97.78   92.70   55.08   50.00
5DX, N, H, 6           2   97.78   92.70   49.75   55.33
5DX, N, H, 7           3   88.89   92.70   49.75   46.44
5DX, S, D, 7           1   88.89   88.89   50.00   50.00
5DX, S, H, 7           1   88.89   88.89   50.00   50.00
5H, W, C, 11           1   51.11   65.93   35.19   50.00
5H, W, S, 10           1   95.56   65.93   51.35   78.28
5H, W, S, 11           1   51.11   65.93   51.35   33.84
5NT, E, D, 11          1   28.89   44.58   34.31   50.00
6H, E, D, 11           1   95.56   96.69   50.38   48.49
6NT, E, S, 11          1   95.56   96.09   50.11   49.35
pass                   2   10.00   10.00   50.00   50.00

DECLARER, Board 35|1

Contract           Count Overall     Bid    Play
2S, N, H, 4            1   38.00   77.25   10.75
2S, N, H, 5            1   56.00   77.25   28.75
2S, N, H, 6            3   80.00   77.25   52.75
2S, N, H, 7            2   94.00   77.25   66.75
2SX, N, C, 7           1   80.00   39.63   90.38
2SX, N, S, 6           1   30.00   39.63   40.38
3C, W, S, 11           1   44.00   41.00   53.00
3H, E, S, 10           1   56.00   52.15   53.85
3HX, E, H, 10          1   96.00   95.12   50.88
3NT, E, D, 10          1   82.00   82.00   50.00
3NT, W, D, 10          1   82.00   82.00   50.00
3S, N, H, 5            1   38.00   58.79   29.21
3S, N, H, 6            2   56.00   58.79   47.21
3S, N, H, 7            1   80.00   58.79   71.21
3SX, N, H, 5           1    0.00   12.88   37.12
3SX, N, H, 6           1    8.00   12.88   45.13
3SX, N, H, 7           1   30.00   12.88   67.12
4C, W, D, 10           1   32.00   41.00   41.00
4C, W, S, 11           1   44.00   41.00   53.00
4H, E, C, 9            1    0.00   60.46  -10.46
4H, E, S, 11           1   88.00   60.46   77.54
5C, W, S, 11           1   76.00   57.00   69.00

DEFENDER, Board 35|1

Contract           Count Overall     Bid    Lead Restdef
2S, N, H, 4            1   62.00   22.75   51.39   87.86
2S, N, H, 5            1   44.00   22.75   51.39   69.86
2S, N, H, 6            3   20.00   22.75   51.39   45.86
2S, N, H, 7            2    6.00   22.75   51.39   31.86
2SX, N, C, 7           1   20.00   60.38    9.63   50.00
2SX, N, S, 6           1   70.00   60.38   59.63   50.00
3C, W, S, 11           1   56.00   59.00   47.00   50.00
3H, E, S, 10           1   44.00   47.85   43.15   53.00
3HX, E, H, 10          1    4.00    4.88   49.12   50.00
3NT, E, D, 10          1   18.00   18.00   50.00   50.00
3NT, W, D, 10          1   18.00   18.00   50.00   50.00
3S, N, H, 5            1   62.00   41.21   51.32   69.47
3S, N, H, 6            2   44.00   41.21   51.32   51.47
3S, N, H, 7            1   20.00   41.21   51.32   27.47
3SX, N, H, 5           1  100.00   87.13   50.88   62.00
3SX, N, H, 6           1   92.00   87.13   50.88   54.00
3SX, N, H, 7           1   70.00   87.13   50.88   32.00
4C, W, D, 10           1   68.00   59.00   59.00   50.00
4C, W, S, 11           1   56.00   59.00   47.00   50.00
4H, E, C, 9            1  100.00   39.54  110.46   50.00
4H, E, S, 11           1   12.00   39.54   28.00   44.46
5C, W, S, 11           1   24.00   43.00   31.00   50.00

DECLARER, Board 35|2

Contract           Count Overall     Bid    Play
2D, N, H, 11           1    0.00    0.00   50.00
3NT, N, S, 10          3   30.00   46.00   34.00
3NT, N, S, 11          3   76.00   46.00   80.00
3NT, N, S, 9           1    4.00   46.00    8.00
3NT, S, H, 11          1   76.00   54.33   71.67
3NT, S, S, 10          9   30.00   54.33   25.67
3NT, S, S, 11          7   76.00   54.33   71.67
3NT, S, S, 12          1  100.00   54.33   95.67

DEFENDER, Board 35|2

Contract           Count Overall     Bid    Lead Restdef
2D, N, H, 11           1  100.00  100.00   50.00   50.00
3NT, N, S, 10          3   70.00   54.00   50.00   66.00
3NT, N, S, 11          3   24.00   54.00   50.00   20.00
3NT, N, S, 9           1   96.00   54.00   50.00   92.00
3NT, S, H, 11          1   24.00   45.67   28.33   50.00
3NT, S, S, 10          9   70.00   45.67   51.27   73.06
3NT, S, S, 11          7   24.00   45.67   51.27   27.06
3NT, S, S, 12          1    0.00   45.67   51.27    3.06

DECLARER, Board 35|7

Contract           Count Overall     Bid    Play
4H, N, H, 11           1   27.78   27.78   50.00
4S, N, D, 12           5   65.56   47.61   67.94
4S, N, H, 11          10   27.78   47.61   30.17
4S, N, H, 12          11   65.56   47.61   67.94
4S, S, H, 11           1   27.78   56.11   21.67
4S, S, H, 12           1   65.56   56.11   59.44
5HX, E, S, 7           1   13.33   13.33   50.00
5S, N, D, 11           2   27.78   47.61   30.17
5S, N, D, 12           1   65.56   47.61   67.94
5S, N, H, 11           2   27.78   47.61   30.17
6S, N, C, 12           1   94.44   51.17   93.28
6S, N, D, 11           2    3.33   51.17    2.17
6S, N, H, 12           3   94.44   51.17   93.28
6S, S, H, 12           2   94.44   71.67   72.78
6SX, N, H, 11          1    0.00   52.50   -2.50
pass                   2    7.78    7.78   50.00

DEFENDER, Board 35|7

Contract           Count Overall     Bid    Lead Restdef
4H, N, H, 11           1   72.22   72.22   50.00   50.00
4S, N, D, 12           5   34.44   52.39   47.17   34.89
4S, N, H, 11          10   72.22   52.39   51.60   68.24
4S, N, H, 12          11   34.44   52.39   51.60   30.46
4S, S, H, 11           1   72.22   43.89   50.00   78.33
4S, S, H, 12           1   34.44   43.89   50.00   40.56
5HX, E, S, 7           1   86.67   86.67   50.00   50.00
5S, N, D, 11           2   72.22   52.39   47.17   72.67
5S, N, D, 12           1   34.44   52.39   47.17   34.89
5S, N, H, 11           2   72.22   52.39   51.60   68.24
6S, N, C, 12           1    5.56   48.83    6.72   50.00
6S, N, D, 11           2   96.67   48.83   43.17  104.67
6S, N, H, 12           3    5.56   48.83   53.85    2.87
6S, S, H, 12           2    5.56   28.33   50.00   27.22
6SX, N, H, 11          1  100.00   47.50   54.22   98.28
pass                   2   92.22   92.22   50.00   50.00

DECLARER, Board 35|8

Contract           Count Overall     Bid    Play
2NT, N, D, 8           1   31.11   31.11   50.00
3C, N, D, 11           1   53.33   43.83   59.51
3C, N, S, 10           2   41.11   43.83   47.28
3C, N, S, 11           1   53.33   43.83   59.51
3DX, E, C, 7           3   27.78   33.56   44.22
3DX, E, C, 8           1   71.11   33.56   87.56
3DX, E, H, 7           6   27.78   33.56   44.22
3DX, E, S, 7           3   27.78   33.56   44.22
3DX, W, C, 7           1   27.78   27.78   50.00
3H, E, H, 8            1   73.33   73.33   50.00
3HX, W, C, 5           1    0.00    0.00   50.00
3NT, N, D, 8           2   12.22   12.22   50.00
3NT, S, D, 8           1   12.22   12.22   50.00
3NT, S, S, 8           1   12.22   12.22   50.00
3SX, E, C, 9           1  100.00   85.56   64.44
4C, N, S, 10           6   41.11   43.83   47.28
4C, S, D, 11           1   53.33   49.26   54.07
4DX, E, D, 7           1    3.33    6.59   46.74
4SX, E, D, 8           1   27.78   49.44   28.33
5C, N, C, 11           1   91.11   29.75  111.36
5C, N, D, 11           1   91.11   29.75  111.36
5C, N, S, 10           3   12.22   29.75   32.47
5C, S, D, 11           1   91.11   64.81   76.30
5C, S, S, 10           1   12.22   64.81   -2.59
5DX, E, C, 8           1    3.33    0.44   52.89
6C, N, D, 10           1    2.22    4.44   47.78
pass                   2   23.33   23.33   50.00

DEFENDER, Board 35|8

Contract           Count Overall     Bid    Lead Restdef
2NT, N, D, 8           1   68.89   68.89   50.00   50.00
3C, N, D, 11           1   46.67   56.17   47.83   42.67
3C, N, S, 10           2   58.89   56.17   51.70   51.02
3C, N, S, 11           1   46.67   56.17   51.70   38.80
3DX, E, C, 7           3   72.22   66.44   38.44   67.33
3DX, E, C, 8           1   28.89   66.44   38.44   24.00
3DX, E, H, 7           6   72.22   66.44   55.78   50.00
3DX, E, S, 7           3   72.22   66.44   55.78   50.00
3DX, W, C, 7           1   72.22   72.22   50.00   50.00
3H, E, H, 8            1   26.67   26.67   50.00   50.00
3HX, W, C, 5           1  100.00  100.00   50.00   50.00
3NT, N, D, 8           2   87.78   87.78   50.00   50.00
3NT, S, D, 8           1   87.78   87.78   50.00   50.00
3NT, S, S, 8           1   87.78   87.78   50.00   50.00
3SX, E, C, 9           1    0.00   14.44   35.56   50.00
4C, N, S, 10           6   58.89   56.17   51.70   51.02
4C, S, D, 11           1   46.67   50.74   45.93   50.00
4DX, E, D, 7           1   96.67   93.41   53.26   50.00
4SX, E, D, 8           1   72.22   50.56   71.67   50.00
5C, N, C, 11           1    8.89   70.25  -11.36   50.00
5C, N, D, 11           1    8.89   70.25   35.98    2.67
5C, N, S, 10           3   87.78   70.25   60.96   56.57
5C, S, D, 11           1    8.89   35.19   23.70   50.00
5C, S, S, 10           1   87.78   35.19  102.59   50.00
5DX, E, C, 8           1   96.67   99.56   49.11   48.00
6C, N, D, 10           1   97.78   95.56   48.22   54.00
pass                   2   76.67   76.67   50.00   50.00

DECLARER, Board 36|10

Contract           Count Overall     Bid    Play
1NT, N, H, 7           6   42.22   41.05   51.18
1NT, N, H, 8           2   87.78   41.05   96.73
2C, E, D, 6            1    6.67    6.67   50.00
2C, W, D, 6            1    6.67   27.50   29.17
2C, W, D, 7            2   34.44   27.50   56.94
2CX, W, D, 7           1    6.67    5.00   51.67
2D, E, C, 5            1    2.22    2.22   50.00
2D, N, H, 8            1   42.22   42.22   50.00
2D, W, D, 7            1   34.44   34.44   50.00
2H, E, C, 7            4   34.44   30.97   53.47
2H, E, D, 7            2   34.44   30.97   53.47
2H, E, S, 7            1   34.44   30.97   53.47
2H, W, C, 7            1   34.44   45.78   38.67
2H, W, D, 7            2   34.44   45.78   38.67
2H, W, D, 8            1   91.11   45.78   95.33
2H, W, H, 7            1   34.44   45.78   38.67
2HX, E, C, 6           1    0.00    5.83   44.17
2NT, N, C, 7           2   20.00   23.40   46.60
2NT, N, H, 6           2    4.44   23.40   31.05
2NT, N, H, 7           2   20.00   23.40   46.60
2S, N, C, 6            1    4.44   35.93   18.52
2S, N, H, 7            1   20.00   35.93   34.07
2S, N, H, 8            1   83.33   35.93   97.41
2S, S, C, 7            2   20.00   32.67   37.33
2S, S, H, 7            2   20.00   32.67   37.33
2S, S, H, 8            1   83.33   32.67  100.67
3NT, N, H, 6           1    0.00    4.97   45.03
pass                   2   32.22   32.22   50.00

DEFENDER, Board 36|10

Contract           Count Overall     Bid    Lead Restdef
1NT, N, H, 7           6   57.78   58.95   50.16   48.67
1NT, N, H, 8           2   12.22   58.95   50.16    3.11
2C, E, D, 6            1   93.33   93.33   50.00   50.00
2C, W, D, 6            1   93.33   72.50   50.00   70.83
2C, W, D, 7            2   65.56   72.50   50.00   43.06
2CX, W, D, 7           1   93.33   95.00   50.00   48.33
2D, E, C, 5            1   97.78   97.78   50.00   50.00
2D, N, H, 8            1   57.78   57.78   50.00   50.00
2D, W, D, 7            1   65.56   65.56   50.00   50.00
2H, E, C, 7            4   65.56   69.03   52.08   44.44
2H, E, D, 7            2   65.56   69.03   46.53   50.00
2H, E, S, 7            1   65.56   69.03   46.53   50.00
2H, W, C, 7            1   65.56   54.22   61.33   50.00
2H, W, D, 7            2   65.56   54.22   42.44   68.89
2H, W, D, 8            1    8.89   54.22   42.44   12.22
2H, W, H, 7            1   65.56   54.22   61.33   50.00
2HX, E, C, 6           1  100.00   94.17   50.50   55.33
2NT, N, C, 7           2   80.00   76.60   53.40   50.00
2NT, N, H, 6           2   95.56   76.60   49.55   69.41
2NT, N, H, 7           2   80.00   76.60   49.55   53.85
2S, N, C, 6            1   95.56   64.07   81.48   50.00
2S, N, H, 7            1   80.00   64.07   34.26   81.67
2S, N, H, 8            1   16.67   64.07   34.26   18.33
2S, S, C, 7            2   80.00   67.33   62.67   50.00
2S, S, H, 7            2   80.00   67.33   41.56   71.11
2S, S, H, 8            1   16.67   67.33   41.56    7.78
3NT, N, H, 6           1  100.00   95.03   49.93   55.04
pass                   2   67.78   67.78   50.00   50.00

DECLARER, Board 36|3

Contract           Count Overall     Bid    Play
1H, N, C, 8            1   54.00   47.46   56.54
2NT, W, H, 9           1   88.00   88.00   50.00
2S, E, H, 7            1   52.00   52.00   50.00
3C, N, D, 11           3   68.00   67.06   50.94
3C, S, S, 9            1   54.00   54.00   50.00
3H, N, C, 7            3   20.00   21.33   48.67
3HX, N, C, 7           1    8.00   10.00   48.00
3S, E, H, 7            3   12.00   12.00   50.00
3S, W, H, 7            2   12.00   36.21   25.79
3SX, W, H, 9           1  100.00   35.90  114.10
4C, N, D, 11           1   68.00   67.06   50.94
4C, N, S, 11           1   68.00   67.06   50.94
4HX, N, C, 7           1    4.00    4.67   49.33
5C, N, D, 10           1   28.00   89.96  -11.96
5CX, N, H, 11          1  100.00   92.73   57.27
pass                   4   38.00   38.00   50.00

DEFENDER, Board 36|3

Contract           Count Overall     Bid    Lead Restdef
1H, N, C, 8            1   46.00   52.54   50.00   43.46
2NT, W, H, 9           1   12.00   12.00   50.00   50.00
2S, E, H, 7            1   48.00   48.00   50.00   50.00
3C, N, D, 11           3   32.00   32.94   51.12   47.94
3C, S, S, 9            1   46.00   46.00   50.00   50.00
3H, N, C, 7            3   80.00   78.67   50.00   51.33
3HX, N, C, 7           1   92.00   90.00   50.00   52.00
3S, E, H, 7            3   88.00   88.00   50.00   50.00
3S, W, H, 7            2   88.00   63.79   50.00   74.21
3SX, W, H, 9           1    0.00   64.10   50.00  -14.10
4C, N, D, 11           1   32.00   32.94   51.12   47.94
4C, N, S, 11           1   32.00   32.94   49.06   50.00
4HX, N, C, 7           1   96.00   95.33   50.00   50.67
5C, N, D, 10           1   72.00   10.04   57.43  104.52
5CX, N, H, 11          1    0.00    7.27   42.73   50.00
pass                   4   62.00   62.00   50.00   50.00

DECLARER, Board 36|4

Contract           Count Overall     Bid    Play
2C, W, C, 8            1   50.00   54.00   46.00
2C, W, S, 8            1   50.00   54.00   46.00
2S, N, H, 9            1   82.00   82.00   50.00
3C, W, C, 8            1   34.00   42.00   42.00
3C, W, S, 9            1   66.00   42.00   74.00
3D, E, C, 10           1   82.00   76.63   55.38
3D, E, C, 9            3   66.00   76.63   39.38
3D, E, H, 11           1   92.00   76.63   65.38
3S, N, H, 9            1   82.00   82.00   50.00
3S, S, H, 10           1   88.00   88.00   50.00
3SX, N, H, 9           1  100.00  100.00   50.00
4D, E, C, 10           2   82.00   64.63   67.38
4D, E, C, 9            1   34.00   64.63   19.38
4D, E, H, 9            1   34.00   64.63   19.38
4D, E, S, 10           1   82.00   64.63   67.38
4DX, E, S, 10          1   98.00   63.63   84.38
4DX, W, S, 10          1   98.00   98.00   50.00
4S, N, H, 9            1   44.00   44.00   50.00
5D, E, C, 10           1   34.00   27.14   56.86
5D, E, S, 10           2   34.00   27.14   56.86
5D, E, S, 9            1    6.00   27.14   28.86
5DX, E, S, 10          1    6.00   11.07   44.93

DEFENDER, Board 36|4

Contract           Count Overall     Bid    Lead Restdef
2C, W, C, 8            1   50.00   46.00   54.00   50.00
2C, W, S, 8            1   50.00   46.00   46.00   58.00
2S, N, H, 9            1   18.00   18.00   50.00   50.00
3C, W, C, 8            1   66.00   58.00   58.00   50.00
3C, W, S, 9            1   34.00   58.00   42.00   34.00
3D, E, C, 10           1   18.00   23.38   52.63   42.00
3D, E, C, 9            3   34.00   23.38   52.63   58.00
3D, E, H, 11           1    8.00   23.38   47.63   37.00
3S, N, H, 9            1   18.00   18.00   50.00   50.00
3S, S, H, 10           1   12.00   12.00   50.00   50.00
3SX, N, H, 9           1    0.00    0.00   50.00   50.00
4D, E, C, 10           2   18.00   35.38   56.62   26.00
4D, E, C, 9            1   66.00   35.38   56.62   74.00
4D, E, H, 9            1   66.00   35.38   51.63   79.00
4D, E, S, 10           1   18.00   35.38   40.63   42.00
4DX, E, S, 10          1    2.00   36.38   30.96   34.67
4DX, W, S, 10          1    2.00    2.00   50.00   50.00
4S, N, H, 9            1   56.00   56.00   50.00   50.00
5D, E, C, 10           1   66.00   72.86   57.14   36.00
5D, E, S, 10           2   66.00   72.86   47.81   45.33
5D, E, S, 9            1   94.00   72.86   47.81   73.33
5DX, E, S, 10          1   94.00   88.93   55.43   49.64

DECLARER, Board 36|9

Contract           Count Overall     Bid    Play
3NT, E, C, 10          1   82.22   55.65   76.57
3NT, E, C, 11          5   93.33   55.65   87.68
3NT, E, C, 7           4    5.56   55.65   -0.10
3NT, E, C, 8           8   28.89   55.65   23.24
3NT, E, C, 9           6   66.67   55.65   61.01
3NT, E, D, 9           1   66.67   55.65   61.01
3NT, E, H, 10          2   82.22   55.65   76.57
3NT, E, H, 11          1   93.33   55.65   87.68
3NT, E, H, 9           4   66.67   55.65   61.01
3NT, E, S, 11          1   93.33   55.65   87.68
3NT, E, S, 7           1    5.56   55.65   -0.10
3NT, W, S, 7           1    5.56   25.97   29.58
3NT, W, S, 8           7   28.89   25.97   52.92
3S, N, D, 7            1   48.89   48.89   50.00
4HX, S, S, 7           1   46.67   46.67   50.00
pass                   2   52.22   52.22   50.00

DEFENDER, Board 36|9

Contract           Count Overall     Bid    Lead Restdef
3NT, E, C, 10          1   17.78   44.35   55.56   17.87
3NT, E, C, 11          5    6.67   44.35   55.56    6.76
3NT, E, C, 7           4   94.44   44.35   55.56   94.54
3NT, E, C, 8           8   71.11   44.35   55.56   71.20
3NT, E, C, 9           6   33.33   44.35   55.56   33.43
3NT, E, D, 9           1   33.33   44.35   38.99   50.00
3NT, E, H, 10          2   17.78   44.35   30.73   42.70
3NT, E, H, 11          1    6.67   44.35   30.73   31.59
3NT, E, H, 9           4   33.33   44.35   30.73   58.25
3NT, E, S, 11          1    6.67   44.35   56.21    6.11
3NT, E, S, 7           1   94.44   44.35   56.21   93.89
3NT, W, S, 7           1   94.44   74.03   50.00   70.42
3NT, W, S, 8           7   71.11   74.03   50.00   47.08
3S, N, D, 7            1   51.11   51.11   50.00   50.00
4HX, S, S, 7           1   53.33   53.33   50.00   50.00
pass                   2   47.78   47.78   50.00   50.00

DECLARER, Board 37|11

Contract           Count Overall     Bid    Play
4H, N, C, 10           5   57.78   69.81   37.96
4H, N, C, 9            1    7.78   69.81  -12.04
4H, N, D, 11           2   96.67   69.81   76.85
4H, N, H, 10           1   57.78   69.81   37.96
4H, S, C, 10           6   57.78   54.75   53.03
4H, S, D, 10          16   57.78   54.75   53.03
4H, S, D, 9            1    7.78   54.75    3.03
4H, S, H, 10           3   57.78   54.75   53.03
4H, S, H, 9            1    7.78   54.75    3.03
4H, S, S, 10           2   57.78   54.75   53.03
4SX, W, H, 5           1    0.00    0.00   50.00
5H, S, D, 10           2    7.78    7.31   50.47
5H, S, H, 10           2    7.78    7.31   50.47
6H, N, S, 11           1    7.78    3.24   54.54
pass                   2   18.89   18.89   50.00

DEFENDER, Board 37|11

Contract           Count Overall     Bid    Lead Restdef
4H, N, C, 10           5   42.22   30.19   70.37   41.67
4H, N, C, 9            1   92.22   30.19   70.37   91.67
4H, N, D, 11           2    3.33   30.19   23.15   50.00
4H, N, H, 10           1   42.22   30.19   62.04   50.00
4H, S, C, 10           6   42.22   45.25   46.97   50.00
4H, S, D, 10          16   42.22   45.25   49.60   47.37
4H, S, D, 9            1   92.22   45.25   49.60   97.37
4H, S, H, 10           3   42.22   45.25   55.30   41.67
4H, S, H, 9            1   92.22   45.25   55.30   91.67
4H, S, S, 10           2   42.22   45.25   46.97   50.00
4SX, W, H, 5           1  100.00  100.00   50.00   50.00
5H, S, D, 10           2   92.22   92.69   49.94   49.59
5H, S, H, 10           2   92.22   92.69   50.82   48.70
6H, N, S, 11           1   92.22   96.76   45.46   50.00
pass                   2   81.11   81.11   50.00   50.00

DECLARER, Board 37|12

Contract           Count Overall     Bid    Play
2DX, N, H, 5           1    0.00    0.00   50.00
2H, W, D, 7            1   13.33   25.35   37.99
2NT, E, S, 9           1   42.22   44.39   47.83
2S, E, D, 10           1   44.44   36.11   58.33
2S, E, D, 9            6   34.44   36.11   48.33
3CX, S, H, 7           1    2.22    2.22   50.00
3NT, E, C, 10          3   70.00   69.19   50.81
3NT, E, C, 11          3   91.11   69.19   71.92
3NT, E, C, 8           1   13.33   69.19   -5.86
3NT, E, D, 10          7   70.00   69.19   50.81
3NT, E, D, 11          1   91.11   69.19   71.92
3NT, E, D, 9           1   47.78   69.19   28.59
3NT, E, H, 11          1   91.11   69.19   71.92
3NT, E, S, 10          3   70.00   69.19   50.81
3NT, E, S, 9           1   47.78   69.19   28.59
3NT, W, D, 10          1   70.00   70.00   50.00
4H, W, D, 8            1    1.11    4.81   46.30
4H, W, D, 9            1   13.33    4.81   58.52
4S, E, C, 9            1   13.33   19.81   43.52
4S, E, D, 10           2   52.22   19.81   82.41
4S, E, D, 9            5   13.33   19.81   43.52
4SX, E, D, 9           1    1.11   17.23   33.88
pass                   2   74.44   74.44   50.00

DEFENDER, Board 37|12

Contract           Count Overall     Bid    Lead Restdef
2DX, N, H, 5           1  100.00  100.00   50.00   50.00
2H, W, D, 7            1   86.67   74.65   50.00   62.01
2NT, E, S, 9           1   57.78   55.61   50.11   52.06
2S, E, D, 10           1   55.56   63.89   49.90   41.76
2S, E, D, 9            6   65.56   63.89   49.90   51.76
3CX, S, H, 7           1   97.78   97.78   50.00   50.00
3NT, E, C, 10          3   30.00   30.81   48.24   50.95
3NT, E, C, 11          3    8.89   30.81   48.24   29.84
3NT, E, C, 8           1   86.67   30.81   48.24  107.62
3NT, E, D, 10          7   30.00   30.81   49.32   49.88
3NT, E, D, 11          1    8.89   30.81   49.32   28.77
3NT, E, D, 9           1   52.22   30.81   49.32   72.10
3NT, E, H, 11          1    8.89   30.81   28.08   50.00
3NT, E, S, 10          3   30.00   30.81   58.08   41.11
3NT, E, S, 9           1   52.22   30.81   58.08   63.33
3NT, W, D, 10          1   30.00   30.00   50.00   50.00
4H, W, D, 8            1   98.89   95.19   50.00   53.70
4H, W, D, 9            1   86.67   95.19   50.00   41.48
4S, E, C, 9            1   86.67   80.19   56.48   50.00
4S, E, D, 10           2   47.78   80.19   49.62   17.97
4S, E, D, 9            5   86.67   80.19   49.62   56.86
4SX, E, D, 9           1   98.89   82.77   49.05   67.07
pass                   2   25.56   25.56   50.00   50.00

DECLARER, Board 37|5

Contract           Count Overall     Bid    Play
2H, E, S, 7            1   82.00   88.00   44.00
3D, W, S, 7            1   72.00   72.00   50.00
3DX, E, C, 8           1   72.00   72.00   50.00
3DX, W, C, 7           1   36.00   36.00   50.00
3H, E, S, 7            1   72.00   75.33   46.67
3H, E, S, 8            1   82.00   75.33   56.67
3NT, N, D, 10          1   74.00   80.15   43.85
3NT, N, H, 10          3   74.00   80.15   43.85
3NT, N, H, 11          3   88.00   80.15   57.85
3NT, N, S, 12          1   96.00   80.15   65.85
3NTX, N, D, 9          1  100.00  100.00   50.00
4C, N, D, 11           1   60.00   53.00   57.00
4C, N, H, 10           1   46.00   53.00   43.00
4C, S, H, 10           5   46.00   41.56   54.44
4C, S, H, 9            1    6.00   41.56   14.44
5C, S, H, 10           3    6.00    5.33   50.67

DEFENDER, Board 37|5

Contract           Count Overall     Bid    Lead Restdef
2H, E, S, 7            1   18.00   12.00   50.00   56.00
3D, W, S, 7            1   28.00   28.00   50.00   50.00
3DX, E, C, 8           1   28.00   28.00   50.00   50.00
3DX, W, C, 7           1   64.00   64.00   50.00   50.00
3H, E, S, 7            1   28.00   24.67   50.00   53.33
3H, E, S, 8            1   18.00   24.67   50.00   43.33
3NT, N, D, 10          1   26.00   19.85   60.46   45.69
3NT, N, H, 10          3   26.00   19.85   49.15   57.00
3NT, N, H, 11          3   12.00   19.85   49.15   43.00
3NT, N, S, 12          1    4.00   19.85   34.15   50.00
3NTX, N, D, 9          1    0.00    0.00   50.00   50.00
4C, N, D, 11           1   40.00   47.00   43.00   50.00
4C, N, H, 10           1   54.00   47.00   57.00   50.00
4C, S, H, 10           5   54.00   58.44   50.00   45.56
4C, S, H, 9            1   94.00   58.44   50.00   85.56
5C, S, H, 10           3   94.00   94.67   50.00   49.33

DECLARER, Board 37|6

Contract           Count Overall     Bid    Play
3NT, E, C, 11          1   74.00   56.00   68.00
3NT, E, D, 10          1   32.00   56.00   26.00
3NT, E, S, 10          4   32.00   56.00   26.00
3NT, E, S, 11          5   74.00   56.00   68.00
3NT, W, S, 10          1   32.00   53.00   29.00
3NT, W, S, 11          1   74.00   53.00   71.00
4H, E, D, 10           1   12.00   12.00   50.00
4H, W, S, 10           2   12.00   32.00   30.00
4H, W, S, 11           3   52.00   32.00   70.00
4NT, E, D, 10          1   32.00   56.00   26.00
4NT, E, D, 11          1   74.00   56.00   68.00
5DX, N, H, 6           1    0.00    4.00   46.00
5DX, N, H, 7           2    6.00    4.00   52.00
5H, W, S, 10           1    2.00   27.00   25.00
6NT, E, C, 11          1    2.00    1.14   50.86

DEFENDER, Board 37|6

Contract           Count Overall     Bid    Lead Restdef
3NT, E, C, 11          1   26.00   44.00   32.00   50.00
3NT, E, D, 10          1   68.00   44.00   60.00   64.00
3NT, E, S, 10          4   68.00   44.00   50.67   73.33
3NT, E, S, 11          5   26.00   44.00   50.67   31.33
3NT, W, S, 10          1   68.00   47.00   50.00   71.00
3NT, W, S, 11          1   26.00   47.00   50.00   29.00
4H, E, D, 10           1   88.00   88.00   50.00   50.00
4H, W, S, 10           2   88.00   68.00   50.00   70.00
4H, W, S, 11           3   48.00   68.00   50.00   30.00
4NT, E, D, 10          1   68.00   44.00   60.00   64.00
4NT, E, D, 11          1   26.00   44.00   60.00   22.00
5DX, N, H, 6           1  100.00   96.00   50.00   54.00
5DX, N, H, 7           2   94.00   96.00   50.00   48.00
5H, W, S, 10           1   98.00   73.00   50.00   75.00
6NT, E, C, 11          1   98.00   98.86   49.14   50.00

DECLARER, Board 38|13

Contract           Count Overall     Bid    Play
2H, S, S, 10           1   12.22   11.52   50.71
2SX, E, H, 6           1   77.78   80.00   47.78
2SX, E, H, 7           2   81.11   80.00   51.11
3H, N, D, 10           1   12.22   11.34   50.88
3H, S, D, 10           1   12.22   11.52   50.71
3H, S, S, 10           1   12.22   11.52   50.71
3NT, N, D, 10         16   77.78   69.88   57.89
3NT, N, D, 9           3   27.78   69.88    7.89
3NT, S, C, 10          1   77.78   72.22   55.56
3NT, S, C, 11          1  100.00   72.22   77.78
3NT, S, D, 10          1   77.78   72.22   55.56
3NT, S, D, 9           1   27.78   72.22    5.56
3NT, S, S, 10          1   77.78   72.22   55.56
4H, N, D, 10           2   44.44   33.61   60.83
4H, N, S, 9            1    1.11   33.61   17.50
4H, S, D, 10           2   44.44   35.78   58.67
4H, S, D, 9            1    1.11   35.78   15.33
4H, S, S, 10           7   44.44   35.78   58.67
pass                   2    5.56    5.56   50.00

