DECLARER, Board 10|3

Contract           Count Overall     Bid    Play
1DX, E, H, 5           1    5.38   36.92   18.46
4D, E, S, 10           1   46.15   48.99   50.85   46.31
4H, N, C, 7            1   78.46   72.24   50.00   56.22
4HX, N, C, 8           1   96.15   94.90   50.00   51.26
4HX, S, D, 8           1   96.15   97.44   48.72   50.00
4S, E, H, 9            1   64.62   64.62   50.00   50.00
4SX, W, H, 6           1   98.46   86.67   50.00   61.79

DECLARER, Board 19|6

Contract           Count Overall     Bid    Play
3NT, E, C, 10          1   31.54   36.37   45.16
3NT, E, D, 10          7   31.54   36.37   45.16
3NT, E, D, 11          4   75.38   36.37   89.01
3NT, E, D, 9           6    4.62   36.37   18.24
3NT, E, H, 11          2   75.38   36.37   89.01
3NT, E, S, 10          1   31.54   36.37   45.16
3NT, W, C, 10          3   31.54   55.37   26.17
3NT, W, C, 11          9   75.38   55.37   70.02
3NT, W, C, 12          1   98.46   55.37   93.09
3NT, W, D, 10         16   31.54   55.37   26.17
3NT, W, D, 11         11   75.38   55.37   70.02
3NT, W, D, 9           1    4.62   55.37   -0.75
3NT, W, H, 11          2   75.38   55.37   70.02
3NT, W, S, 11          1   75.38   55.37   70.02
4DX, S, S, 6           1    0.00    0.00   50.00

DEFENDER, Board 19|6

Contract           Count Overall     Bid    Lead Restdef
3NT, E, C, 10          1   68.46   63.63   54.84   50.00
3NT, E, D, 10          7   68.46   63.63   54.02   50.81
3NT, E, D, 11          4   24.62   63.63   54.02    6.97
3NT, E, D, 9           6   95.38   63.63   54.02   77.74
3NT, E, H, 11          2   24.62   63.63   10.99   50.00
3NT, E, S, 10          1   68.46   63.63   54.84   50.00
3NT, W, C, 10          3   68.46   44.63   38.33   85.50
3NT, W, C, 11          9   24.62   44.63   38.33   41.66
3NT, W, C, 12          1    1.54   44.63   38.33   18.58
3NT, W, D, 10         16   68.46   44.63   57.56   66.26
3NT, W, D, 11         11   24.62   44.63   57.56   22.42
3NT, W, D, 9           1   95.38   44.63   57.56   93.19
3NT, W, H, 11          2   24.62   44.63   29.98   50.00
3NT, W, S, 11          1   24.62   44.63   29.98   50.00
4DX, S, S, 6           1  100.00  100.00   50.00   50.00

DECLARER, Board 1|1

Contract           Count Overall     Bid    Play
1DX, W, D, 6           1   77.69   86.01   41.68
1DX, W, S, 6           1   77.69   86.01   41.68
1NTX, N, S, 9          1   53.85   71.82   32.03
2CX, E, C, 7           1   77.69   62.69   65.00
2DX, W, D, 7           1   77.69   59.69   68.00
2H, N, D, 10           1   40.77   38.02   52.75
2H, N, S, 10           1   40.77   38.02   52.75
2H, S, D, 8            1   26.15   34.14   42.01
2NT, N, S, 10          1   50.00   38.24   61.76
2NT, S, C, 10          1   50.00   38.94   61.06
2NT, S, C, 9           1   32.31   38.94   43.37
3CX, E, C, 6           1    0.77   24.23   26.54
3DX, W, D, 6           1    0.77   19.54   31.23
3DX, W, D, 7           1   47.69   19.54   78.15
3H, N, D, 10           1   40.77   38.02   52.75
3H, N, D, 9            1   29.23   38.02   41.21
3H, N, H, 10           2   40.77   38.02   52.75
3H, S, D, 10           1   40.77   32.31   58.46
3H, S, D, 7            1    2.31   32.31   20.00
3H, S, D, 9            2   29.23   32.31   46.92
3H, S, S, 10           4   40.77   32.31   58.46
3NT, N, C, 6           1    0.00   65.98  -15.98
3NT, N, C, 8           1   11.54   65.98   -4.44
3NT, N, C, 9           1   58.46   65.98   42.48
3NT, N, D, 10          2   93.08   65.98   77.09
3NT, N, S, 10          2   93.08   65.98   77.09
3NT, S, C, 10          1   93.08   71.44   71.63
3NT, S, D, 9           4   58.46   71.44   37.02
3NT, S, S, 10          1   93.08   71.44   71.63
4H, N, C, 10           1   75.38   60.18   65.20
4H, N, D, 10           6   75.38   60.18   65.20
4H, N, S, 10           4   75.38   60.18   65.20
4H, N, S, 9            4   11.54   60.18    1.36
4H, S, C, 10           1   75.38   43.55   81.83
4H, S, D, 10           2   75.38   43.55   81.83
4H, S, D, 8            1    2.31   43.55    8.75
4H, S, D, 9            4   11.54   43.55   17.99
4H, S, S, 10           3   75.38   43.55   81.83
4H, S, S, 9            1   11.54   43.55   17.99

DEFENDER, Board 1|1

Contract           Count Overall     Bid    Lead Restdef
1DX, W, D, 6           1   22.31   13.99   47.92   60.40
1DX, W, S, 6           1   22.31   13.99   58.32   50.00
1NTX, N, S, 9          1   46.15   28.18   35.63   82.34
2CX, E, C, 7           1   22.31   37.31   50.00   35.00
2DX, W, D, 7           1   22.31   40.31   47.00   35.00
2H, N, D, 10           1   59.23   61.98   48.53   48.72
2H, N, S, 10           1   59.23   61.98   52.38   44.87
2H, S, D, 8            1   73.85   65.86   54.01   53.97
2NT, N, S, 10          1   50.00   61.76   42.67   45.58
2NT, S, C, 10          1   50.00   61.06   44.84   44.10
2NT, S, C, 9           1   67.69   61.06   44.84   61.79
3CX, E, C, 6           1   99.23   75.77   50.00   73.46
3DX, W, D, 6           1   99.23   80.46   45.31   73.46
3DX, W, D, 7           1   52.31   80.46   45.31   26.54
3H, N, D, 10           1   59.23   61.98   48.53   48.72
3H, N, D, 9            1   70.77   61.98   48.53   60.26
3H, N, H, 10           2   59.23   61.98   47.25   50.00
3H, S, D, 10           1   59.23   67.69   55.38   36.15
3H, S, D, 7            1   97.69   67.69   55.38   74.62
3H, S, D, 9            2   70.77   67.69   55.38   47.69
3H, S, S, 10           4   59.23   67.69   42.98   48.56
3NT, N, C, 6           1  100.00   34.02   92.65   73.33
3NT, N, C, 8           1   88.46   34.02   92.65   61.79
3NT, N, C, 9           1   41.54   34.02   92.65   14.87
3NT, N, D, 10          2    6.92   34.02   22.91   50.00
3NT, N, S, 10          2    6.92   34.02   31.56   41.35
3NT, S, C, 10          1    6.92   28.56   39.90   38.46
3NT, S, D, 9           4   41.54   28.56   62.98   50.00
3NT, S, S, 10          1    6.92   28.56   28.37   50.00
4H, N, C, 10           1   24.62   39.82   34.80   50.00
4H, N, D, 10           6   24.62   39.82   41.89   42.91
4H, N, S, 10           4   24.62   39.82   63.17   21.62
4H, N, S, 9            4   88.46   39.82   63.17   85.47
4H, S, C, 10           1   24.62   56.45   18.17   50.00
4H, S, D, 10           2   24.62   56.45   68.55   -0.38
4H, S, D, 8            1   97.69   56.45   68.55   72.69
4H, S, D, 9            4   88.46   56.45   68.55   63.46
4H, S, S, 10           3   24.62   56.45   26.15   42.02
4H, S, S, 9            1   88.46   56.45   26.15  105.87

DECLARER, Board 1|2

Contract           Count Overall     Bid    Play
1NT, E, H, 10          2    6.15    6.35   49.81
1NT, W, C, 10          1    6.15    8.48   47.68
2NT, E, H, 9           1    1.54    6.35   45.19
2NT, E, S, 12          1   16.92    6.35   60.58
2NT, W, C, 11          2   13.08    8.48   54.60
2NT, W, H, 10          2    6.15    8.48   47.68
2NT, W, H, 11          1   13.08    8.48   54.60
2NT, W, S, 11          1   13.08    8.48   54.60
3NT, E, D, 10          1   51.54   50.19   51.35
3NT, E, H, 10          2   51.54   50.19   51.35
3NT, E, H, 9           1   22.31   50.19   22.12
3NT, W, C, 10          8   51.54   62.38   39.16
3NT, W, C, 11          9   86.15   62.38   73.78
3NT, W, C, 12          1   99.23   62.38   86.85
3NT, W, C, 9           1   22.31   62.38    9.93
3NT, W, D, 10          1   51.54   62.38   39.16
3NT, W, H, 10         18   51.54   62.38   39.16
3NT, W, H, 11          3   86.15   62.38   73.78
3NT, W, H, 9           4   22.31   62.38    9.93
3NT, W, S, 11          3   86.15   62.38   73.78
3NT, W, S, 12          1   99.23   62.38   86.85
4S, W, C, 10           1   27.69   13.85   63.85
4S, W, C, 9            1    0.00   13.85   36.15

DEFENDER, Board 1|2

Contract           Count Overall     Bid    Lead Restdef
1NT, E, H, 10          2   93.85   93.65   51.73   48.46
1NT, W, C, 10          1   93.85   91.52   48.58   53.74
2NT, E, H, 9           1   98.46   93.65   51.73   53.08
2NT, E, S, 12          1   83.08   93.65   39.42   50.00
2NT, W, C, 11          2   86.92   91.52   48.58   46.82
2NT, W, H, 10          2   93.85   91.52   51.99   50.33
2NT, W, H, 11          1   86.92   91.52   51.99   43.41
2NT, W, S, 11          1   86.92   91.52   44.63   50.77
3NT, E, D, 10          1   48.46   49.81   48.65   50.00
3NT, E, H, 10          2   48.46   49.81   58.40   40.26
3NT, E, H, 9           1   77.69   49.81   58.40   69.49
3NT, W, C, 10          8   48.46   37.62   42.69   68.15
3NT, W, C, 11          9   13.85   37.62   42.69   33.53
3NT, W, C, 12          1    0.77   37.62   42.69   20.45
3NT, W, C, 9           1   77.69   37.62   42.69   97.38
3NT, W, D, 10          1   48.46   37.62   60.84   50.00
3NT, W, H, 10         18   48.46   37.62   60.07   50.77
3NT, W, H, 11          3   13.85   37.62   60.07   16.15
3NT, W, H, 9           4   77.69   37.62   60.07   80.00
3NT, W, S, 11          3   13.85   37.62   23.61   52.62
3NT, W, S, 12          1    0.77   37.62   23.61   39.54
4S, W, C, 10           1   72.31   86.15   50.00   36.15
4S, W, C, 9            1  100.00   86.15   50.00   63.85

DECLARER, Board 20|7

Contract           Count Overall     Bid    Play
1NT, E, H, 9           1   26.92   30.09   46.83
1S, W, H, 6            1    4.62    4.62   50.00
2D, E, H, 10           2   13.08   13.08   50.00
3C, E, H, 11           1   26.92   20.00   56.92
3C, W, H, 11           7   26.92   27.64   49.29
3C, W, H, 13           1   36.92   27.64   59.29
3D, E, H, 10           3   13.08   13.08   50.00
3NT, E, H, 10         20   81.54   62.52   69.02
3NT, E, H, 8           4    4.62   62.52   -7.91
3NT, E, H, 9          15   51.54   62.52   39.02
3NT, W, H, 10          1   81.54   81.54   50.00
3NTX, E, H, 10         1  100.00   90.23   59.77
3NTX, E, H, 9          1   98.46   90.23   58.23
4C, E, H, 10           1   13.08   20.00   43.08
4C, W, H, 11           3   26.92   27.64   49.29
5C, W, H, 11           3   51.54   54.78   46.75
6NTX, E, H, 10         1    0.00    0.00   50.00

DEFENDER, Board 20|7

Contract           Count Overall     Bid    Lead Restdef
1NT, E, H, 9           1   73.08   69.91   50.00   53.17
1S, W, H, 6            1   95.38   95.38   50.00   50.00
2D, E, H, 10           2   86.92   86.92   50.00   50.00
3C, E, H, 11           1   73.08   80.00   50.00   43.08
3C, W, H, 11           7   73.08   72.36   50.00   50.71
3C, W, H, 13           1   63.08   72.36   50.00   40.71
3D, E, H, 10           3   86.92   86.92   50.00   50.00
3NT, E, H, 10         20   18.46   37.48   50.00   30.98
3NT, E, H, 8           4   95.38   37.48   50.00  107.91
3NT, E, H, 9          15   48.46   37.48   50.00   60.98
3NT, W, H, 10          1   18.46   18.46   50.00   50.00
3NTX, E, H, 10         1    0.00    9.77   50.00   40.23
3NTX, E, H, 9          1    1.54    9.77   50.00   41.77
4C, E, H, 10           1   86.92   80.00   50.00   56.92
4C, W, H, 11           3   73.08   72.36   50.00   50.71
5C, W, H, 11           3   48.46   45.22   50.00   53.25
6NTX, E, H, 10         1  100.00  100.00   50.00   50.00

DECLARER, Board 20|8

Contract           Count Overall     Bid    Play
1NTX, E, H, 3          1    1.54    1.54   50.00
2CX, W, S, 2           1    0.00    0.00   50.00
2DX, E, D, 5           2    3.85    3.85   50.00
2H, S, C, 8            1   10.77   10.77   50.00
2NT, N, C, 9           1   28.46   35.81   42.65
2NT, N, D, 9           2   28.46   35.81   42.65
2NT, S, C, 11          1   61.54   30.79   80.75
2NT, S, C, 8           4   15.38   30.79   34.59
2NT, S, C, 9           1   28.46   30.79   47.67
2NT, S, H, 8           1   15.38   30.79   34.59
2NT, S, H, 9           2   28.46   30.79   47.67
2S, N, D, 10           8   42.31   45.08   47.22
2S, N, D, 11           5   56.15   45.08   61.07
2S, N, H, 10           1   42.31   45.08   47.22
2S, N, H, 9            1   23.08   45.08   27.99
3C, N, D, 10           1   20.77   20.77   50.00
3D, S, C, 10           1   20.77   20.77   50.00
3H, S, C, 8            1    4.62    4.62   50.00
3NT, N, C, 9           1   68.46   73.76   44.70
3NT, N, D, 11          2   92.31   73.76   68.55
3NT, N, D, 9           2   68.46   73.76   44.70
3NT, N, H, 9           1   68.46   73.76   44.70
3NT, S, C, 10          2   85.38   47.19   88.20
3NT, S, C, 8           1    4.62   47.19    7.43
3NT, S, C, 9           2   68.46   47.19   71.27
3NT, S, D, 10          2   85.38   47.19   88.20
3NT, S, D, 8           3    4.62   47.19    7.43
3NT, S, H, 8           2    4.62   47.19    7.43
3NT, S, H, 9           2   68.46   47.19   71.27
3NT, S, S, 10          2   85.38   47.19   88.20
3NT, S, S, 11          1   92.31   47.19   95.12
3S, N, D, 10           2   42.31   45.08   47.22
3S, N, D, 11           1   56.15   45.08   61.07
3S, N, H, 10           1   42.31   45.08   47.22
4S, N, D, 10           3   77.69   77.57   50.12
4S, N, H, 10           1   77.69   77.57   50.12

DEFENDER, Board 20|8

Contract           Count Overall     Bid    Lead Restdef
1NTX, E, H, 3          1   98.46   98.46   50.00   50.00
2CX, W, S, 2           1  100.00  100.00   50.00   50.00
2DX, E, D, 5           2   96.15   96.15   50.00   50.00
2H, S, C, 8            1   89.23   89.23   50.00   50.00
2NT, N, C, 9           1   71.54   64.19   57.35   50.00
2NT, N, D, 9           2   71.54   64.19   46.32   61.03
2NT, S, C, 11          1   38.46   69.21   51.08   18.18
2NT, S, C, 8           4   84.62   69.21   51.08   64.33
2NT, S, C, 9           1   71.54   69.21   51.08   51.25
2NT, S, H, 8           1   84.62   69.21   57.94   57.47
2NT, S, H, 9           2   71.54   69.21   57.94   44.40
2S, N, D, 10           8   57.69   54.92   48.40   54.37
2S, N, D, 11           5   43.85   54.92   48.40   40.53
2S, N, H, 10           1   57.69   54.92   57.58   45.19
2S, N, H, 9            1   76.92   54.92   57.58   64.42
3C, N, D, 10           1   79.23   79.23   50.00   50.00
3D, S, C, 10           1   79.23   79.23   50.00   50.00
3H, S, C, 8            1   95.38   95.38   50.00   50.00
3NT, N, C, 9           1   31.54   26.24   55.30   50.00
3NT, N, D, 11          2    7.69   26.24   47.35   34.10
3NT, N, D, 9           2   31.54   26.24   47.35   57.95
3NT, N, H, 9           1   31.54   26.24   55.30   50.00
3NT, S, C, 10          2   14.62   52.81   52.50    9.30
3NT, S, C, 8           1   95.38   52.81   52.50   90.07
3NT, S, C, 9           2   31.54   52.81   52.50   26.22
3NT, S, D, 10          2   14.62   52.81   60.27    1.54
3NT, S, D, 8           3   95.38   52.81   60.27   82.31
3NT, S, H, 8           2   95.38   52.81   56.09   86.48
3NT, S, H, 9           2   31.54   52.81   56.09   22.64
3NT, S, S, 10          2   14.62   52.81    9.50   52.31
3NT, S, S, 11          1    7.69   52.81    9.50   45.38
3S, N, D, 10           2   57.69   54.92   48.40   54.37
3S, N, D, 11           1   43.85   54.92   48.40   40.53
3S, N, H, 10           1   57.69   54.92   57.58   45.19
4S, N, D, 10           3   22.31   22.43   46.18   53.70
4S, N, H, 10           1   22.31   22.43   68.14   31.73

DECLARER, Board 21|10

Contract           Count Overall     Bid    Play
3CX, W, S, 5           1   16.92   16.92   50.00
4S, N, C, 10           3   10.77   48.47   12.30
4S, N, C, 11          34   42.31   48.47   43.83
4S, N, C, 12           5   76.92   48.47   78.45
4S, N, D, 11           3   42.31   48.47   43.83
4S, N, H, 12           1   76.92   48.47   78.45
5S, N, C, 11           1   42.31   48.05   44.25
5S, N, H, 12           1   76.92   48.05   78.87
6S, N, C, 10           2    2.31   28.64   23.67
6S, N, C, 11           3    6.15   28.64   27.51
6S, N, C, 12          10   92.31   28.64  113.67
6S, N, C, 9            1    0.00   28.64   21.36
6S, S, C, 12           1   92.31   92.31   50.00

DEFENDER, Board 21|10

Contract           Count Overall     Bid    Lead Restdef
3CX, W, S, 5           1   83.08   83.08   50.00   50.00
4S, N, C, 10           3   89.23   51.53   50.65   87.05
4S, N, C, 11          34   57.69   51.53   50.65   55.51
4S, N, C, 12           5   23.08   51.53   50.65   20.90
4S, N, D, 11           3   57.69   51.53   56.17   50.00
4S, N, H, 12           1   23.08   51.53   21.55   50.00
5S, N, C, 11           1   57.69   51.95   50.69   55.06
5S, N, H, 12           1   23.08   51.95   21.13   50.00
6S, N, C, 10           2   97.69   71.36   51.01   75.32
6S, N, C, 11           3   93.85   71.36   51.01   71.47
6S, N, C, 12          10    7.69   71.36   51.01  -14.68
6S, N, C, 9            1  100.00   71.36   51.01   77.63
6S, S, C, 12           1    7.69    7.69   50.00   50.00

DECLARER, Board 21|9

Contract           Count Overall     Bid    Play
3NT, W, D, 10          1   16.15   17.52   48.63
3NT, W, H, 11          3   20.77   17.52   53.25
3NT, W, H, 8           1    5.38   17.52   37.86
3NT, W, S, 10          1   16.15   17.52   48.63
3NT, W, S, 11          1   20.77   17.52   53.25
3SX, S, D, 6           1   90.77   90.77   50.00
4HX, E, H, 6           1    0.00    0.00   50.00
5C, E, S, 12           1   12.31   12.31   50.00
5C, W, H, 12           2   12.31   13.51   48.80
6C, E, H, 12           4   53.85   53.85   50.00
6C, W, C, 13           1   87.69   60.77   76.92
6C, W, H, 12          31   53.85   60.77   43.08
6C, W, S, 13           8   87.69   60.77   76.92
6HX, N, D, 6           2    2.31   20.19   32.12
6HX, N, D, 7           1   73.85   20.19  103.65
6HX, N, S, 6           1    2.31   20.19   32.12
6HX, S, D, 6           1    2.31   38.85   13.46
6HX, S, S, 8           1   75.38   38.85   86.54
6NT, W, H, 11          1    5.38    3.67   51.71
6NT, W, S, 10          1    1.54    3.67   47.87
7C, W, H, 12           2    5.38   24.74   30.65

DEFENDER, Board 21|9

Contract           Count Overall     Bid    Lead Restdef
3NT, W, D, 10          1   83.85   82.48   51.37   50.00
3NT, W, H, 11          3   79.23   82.48   49.83   46.92
3NT, W, H, 8           1   94.62   82.48   49.83   62.31
3NT, W, S, 10          1   83.85   82.48   49.83   51.54
3NT, W, S, 11          1   79.23   82.48   49.83   46.92
3SX, S, D, 6           1    9.23    9.23   50.00   50.00
4HX, E, H, 6           1  100.00  100.00   50.00   50.00
5C, E, S, 12           1   87.69   87.69   50.00   50.00
5C, W, H, 12           2   87.69   86.49   51.20   50.00
6C, E, H, 12           4   46.15   46.15   50.00   50.00
6C, W, C, 13           1   12.31   39.23   23.08   50.00
6C, W, H, 12          31   46.15   39.23   56.92   50.00
6C, W, S, 13           8   12.31   39.23   23.08   50.00
6HX, N, D, 6           2   97.69   79.81   44.04   73.85
6HX, N, D, 7           1   26.15   79.81   44.04    2.31
6HX, N, S, 6           1   97.69   79.81   67.88   50.00
6HX, S, D, 6           1   97.69   61.15   86.54   50.00
6HX, S, S, 8           1   24.62   61.15   13.46   50.00
6NT, W, H, 11          1   94.62   96.33   49.06   49.23
6NT, W, S, 10          1   98.46   96.33   50.85   51.28
7C, W, H, 12           2   94.62   75.26   69.35   50.00

DECLARER, Board 22|11

Contract           Count Overall     Bid    Play
3NT, E, S, 8           1   23.85   71.83    2.02
3NT, E, S, 9           2   73.08   71.83   51.25
4H, E, S, 10           1   75.38   82.58   42.80
4NT, W, S, 9           1   23.85   23.85   50.00
4S, E, S, 11           1   85.38   85.38   50.00
4S, N, H, 9            2   62.31   58.40   53.91
4SX, N, H, 8           9   37.69   46.39   41.30
4SX, N, H, 9           9   53.85   46.39   57.46
5D, E, D, 6            1    1.54    1.54   50.00
5H, E, C, 10           1   23.85   68.15    5.69
5H, E, D, 11           1   85.38   68.15   67.23
5H, E, S, 10           5   23.85   68.15    5.69
5H, E, S, 11           6   85.38   68.15   67.23
5H, W, S, 10           1   23.85   75.13   -1.28
5H, W, S, 11           4   85.38   75.13   60.26
5HX, E, D, 11          1  100.00   73.94   76.06
5SX, N, H, 8           3    3.08   21.72   31.36
5SX, N, H, 9           3   37.69   21.72   65.98
6H, E, C, 11           1   23.85   19.11   54.74
6H, E, S, 11           5   23.85   19.11   54.74
6H, W, D, 11           1   23.85   21.03   52.82
6HX, E, C, 11          1    6.92    5.41   51.51
6HX, E, S, 11          3    6.92    5.41   51.51
6NTX, E, H, 11         1    6.92    2.31   54.62
6NTX, E, S, 11         1    6.92    2.31   54.62
6NTX, E, S, 9          1    0.00    2.31   47.69

DEFENDER, Board 22|11

Contract           Count Overall     Bid    Lead Restdef
3NT, E, S, 8           1   76.15   28.17   54.42   93.56
3NT, E, S, 9           2   26.92   28.17   54.42   44.33
4H, E, S, 10           1   24.62   17.42   50.20   57.00
4NT, W, S, 9           1   76.15   76.15   50.00   50.00
4S, E, S, 11           1   14.62   14.62   50.00   50.00
4S, N, H, 9            2   37.69   41.60   50.00   46.09
4SX, N, H, 8           9   62.31   53.61   50.00   58.70
4SX, N, H, 9           9   46.15   53.61   50.00   42.54
5D, E, D, 6            1   98.46   98.46   50.00   50.00
5H, E, C, 10           1   76.15   31.85   53.28   91.03
5H, E, D, 11           1   14.62   31.85   32.77   50.00
5H, E, S, 10           5   76.15   31.85   51.23   93.08
5H, E, S, 11           6   14.62   31.85   51.23   31.54
5H, W, S, 10           1   76.15   24.87   52.05   99.23
5H, W, S, 11           4   14.62   24.87   52.05   37.69
5HX, E, D, 11          1    0.00   26.06   23.94   50.00
5SX, N, H, 8           3   96.92   78.28   50.00   68.64
5SX, N, H, 9           3   62.31   78.28   50.00   34.02
6H, E, C, 11           1   76.15   80.89   50.90   44.36
6H, E, S, 11           5   76.15   80.89   50.34   44.92
6H, W, D, 11           1   76.15   78.97   47.18   50.00
6HX, E, C, 11          1   93.08   94.59   50.29   48.20
6HX, E, S, 11          3   93.08   94.59   50.11   48.38
6NTX, E, H, 11         1   93.08   97.69   45.38   50.00
6NTX, E, S, 11         1   93.08   97.69   50.92   44.46
6NTX, E, S, 9          1  100.00   97.69   50.92   51.38

DECLARER, Board 22|12

Contract           Count Overall     Bid    Play
1NT, E, C, 3           1   70.00   70.00   50.00
2NT, W, C, 3           1   66.15   66.15   50.00
2NTX, W, H, 3          1    0.00    0.00   50.00
2S, E, C, 4            1   70.00   82.88   37.12
2S, E, H, 5            1   82.31   82.88   49.42
2S, E, H, 6            1   96.92   82.88   64.04
2S, W, C, 4            2   70.00   82.73   37.27
2S, W, C, 5            6   82.31   82.73   49.58
2S, W, C, 6            2   96.92   82.73   64.20
2S, W, S, 5            1   82.31   82.73   49.58
2SX, E, C, 5           1   64.62   48.97   65.64
3C, N, D, 10           1    6.92   12.31   44.62
3C, N, D, 11           2   17.69   12.31   55.38
3C, N, S, 10           1    6.92   12.31   44.62
3C, S, C, 11           1   17.69   17.69   50.00
3C, S, D, 11           1   17.69   17.69   50.00
3NT, N, C, 11          1   76.15   69.52   56.63
3NT, N, D, 11         10   76.15   69.52   56.63
3NT, N, D, 9           2   39.23   69.52   19.71
3NT, N, H, 11          1   76.15   69.52   56.63
3NT, N, S, 10          3   47.69   69.52   28.17
3NT, N, S, 11          7   76.15   69.52   56.63
3NT, S, C, 10          1   47.69   65.11   32.58
3NT, S, D, 10          1   47.69   65.11   32.58
3NT, S, D, 11          6   76.15   65.11   61.04
3NT, S, D, 9           2   39.23   65.11   24.12
3NT, S, H, 10          2   47.69   65.11   32.58
3NT, S, H, 11          3   76.15   65.11   61.04
3NT, S, S, 11          2   76.15   65.11   61.04
4S, N, D, 8            1    0.00    0.00   50.00

DEFENDER, Board 22|12

Contract           Count Overall     Bid    Lead Restdef
1NT, E, C, 3           1   30.00   30.00   50.00   50.00
2NT, W, C, 3           1   33.85   33.85   50.00   50.00
2NTX, W, H, 3          1  100.00  100.00   50.00   50.00
2S, E, C, 4            1   30.00   17.12   56.73   56.15
2S, E, H, 5            1   17.69   17.12   43.27   57.31
2S, E, H, 6            1    3.08   17.12   43.27   42.69
2S, W, C, 4            2   30.00   17.27   49.96   62.77
2S, W, C, 5            6   17.69   17.27   49.96   50.46
2S, W, C, 6            2    3.08   17.27   49.96   35.85
2S, W, S, 5            1   17.69   17.27   50.42   50.00
2SX, E, C, 5           1   35.38   51.03   65.91   18.45
3C, N, D, 10           1   93.08   87.69   48.21   57.18
3C, N, D, 11           2   82.31   87.69   48.21   46.41
3C, N, S, 10           1   93.08   87.69   55.38   50.00
3C, S, C, 11           1   82.31   82.31   50.00   50.00
3C, S, D, 11           1   82.31   82.31   50.00   50.00
3NT, N, C, 11          1   23.85   30.48   43.37   50.00
3NT, N, D, 11         10   23.85   30.48   49.52   43.85
3NT, N, D, 9           2   60.77   30.48   49.52   80.77
3NT, N, H, 11          1   23.85   30.48   43.37   50.00
3NT, N, S, 10          3   52.31   30.48   51.90   69.92
3NT, N, S, 11          7   23.85   30.48   51.90   41.46
3NT, S, C, 10          1   52.31   34.89   67.42   50.00
3NT, S, D, 10          1   52.31   34.89   50.33   67.09
3NT, S, D, 11          6   23.85   34.89   50.33   38.63
3NT, S, D, 9           2   60.77   34.89   50.33   75.56
3NT, S, H, 10          2   52.31   34.89   50.34   67.08
3NT, S, H, 11          3   23.85   34.89   50.34   38.62
3NT, S, S, 11          2   23.85   34.89   38.96   50.00
4S, N, D, 8            1  100.00  100.00   50.00   50.00

DECLARER, Board 23|13

Contract           Count Overall     Bid    Play
3HX, N, D, 9           2   99.23   97.71   51.52
3NT, E, D, 6           1   10.77   20.36   40.41
3NT, E, H, 4           1    3.08   20.36   32.71
3NT, E, H, 5           1    4.62   20.36   34.25
3NT, E, H, 6           6   10.77   20.36   40.41
3NT, E, H, 7           2   19.23   20.36   48.87
3NT, E, H, 8           4   26.15   20.36   55.79
3NT, E, H, 9           1   93.85   20.36  123.48
3NT, W, H, 8           1   26.15   26.15   50.00
3NTX, E, H, 8          1   19.23   11.90   57.33
4H, N, D, 9            1   66.92   66.19   50.73
4H, N, S, 9            3   66.92   66.19   50.73
4HX, N, D, 8           1    8.46   36.23   22.23
4HX, N, D, 9          28   36.92   36.23   50.69
4HX, N, H, 9           1   36.92   36.23   50.69
4HX, N, S, 9           4   36.92   36.23   50.69
4HX, S, S, 9           2   36.92   36.92   50.00
4S, E, D, 10           1   97.69   97.69   50.00
4S, W, D, 10           3   97.69   97.69   50.00
5C, E, H, 9            1   19.23   19.23   50.00
5HX, N, S, 9           1    8.46    8.26   50.21

DEFENDER, Board 23|13

Contract           Count Overall     Bid    Lead Restdef
3HX, N, D, 9           2    0.77    2.29   50.43   48.05
3NT, E, D, 6           1   89.23   79.64   59.59   50.00
3NT, E, H, 4           1   96.92   79.64   49.40   67.88
3NT, E, H, 5           1   95.38   79.64   49.40   66.35
3NT, E, H, 6           6   89.23   79.64   49.40   60.19
3NT, E, H, 7           2   80.77   79.64   49.40   51.73
3NT, E, H, 8           4   73.85   79.64   49.40   44.81
3NT, E, H, 9           1    6.15   79.64   49.40  -22.88
3NT, W, H, 8           1   73.85   73.85   50.00   50.00
3NTX, E, H, 8          1   80.77   88.10   49.26   43.41
4H, N, D, 9            1   33.08   33.81   50.21   49.06
4H, N, S, 9            3   33.08   33.81   49.27   50.00
4HX, N, D, 8           1   91.54   63.77   50.20   77.57
4HX, N, D, 9          28   63.08   63.77   50.20   49.11
4HX, N, H, 9           1   63.08   63.77   49.31   50.00
4HX, N, S, 9           4   63.08   63.77   49.31   50.00
4HX, S, S, 9           2   63.08   63.08   50.00   50.00
4S, E, D, 10           1    2.31    2.31   50.00   50.00
4S, W, D, 10           3    2.31    2.31   50.00   50.00
5C, E, H, 9            1   80.77   80.77   50.00   50.00
5HX, N, S, 9           1   91.54   91.74   49.79   50.00

DECLARER, Board 23|14

Contract           Count Overall     Bid    Play
2C, E, C, 8            1   60.00   76.30   33.70
2C, E, S, 9            1   80.77   76.30   54.47
2C, W, D, 9            1   80.77   47.69   83.08
2NT, E, S, 7           1   14.62   14.62   50.00
2NT, N, C, 5           1    4.62   19.23   35.38
2NT, N, C, 6           1   33.85   19.23   64.62
2NT, W, S, 7           1   14.62   66.92   -2.31
